queue_ordinal	surface	final_recipe	original_support_tier	original_support_band	original_weak_reason	visible_route_class	old26_exact_cover_path_count	selected_segment_count	selected_canonical_segment_count	selected_learned_or_bounded_segment_count	selected_visible_trace	selected_visible_evidence	exact_surface_reconstruction	exact_recipe_reconstruction	lexical_visible_status	visible_route_caution	neutral_component_reading_de	known_contextual_readings_de	guard
1	aiicthy	AIIN+CH+T+Y	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	NEW_ATOM_INTERFACE	GDT546_SINGLETON_EXTENSION_PLUS_EXACT_OLD_STEM	0	2	0	2	aii→AIIN | cthy→CH+T+Y	aii channel n1; cthy old anchor events19	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	CURRENT_SINGLETON_AII_CHANNEL__AIIN>CH_INTERFACE_UNRESOLVED	Den Wert und den Posten nehmen und einstellen.	Nimm den Arbeitswert und den Pflanzenposten und stelle den Arbeitswert und den Pflanzenposten ein.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
2	chady	CH+A_ADDR+DY	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	OLD26_EXACT_ALIAS_COVER	1	3	3	0	ch→CH | a→A_ADDR | dy→DY	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | a:CANONICAL_AND_LEARNED:n121:share0.923664 | dy:CANONICAL_STEM:n0:share0.000000	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Nehmen; hier; abschließen.	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
3	chap	CH+A_ADDR+P	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	OLD26_EXACT_ALIAS_COVER	1	3	3	0	ch→CH | a→A_ADDR | p→P	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | a:CANONICAL_AND_LEARNED:n121:share0.923664 | p:CANONICAL_AND_LEARNED:n372:share0.961240	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Nehmen und einsetzen; hier.	Entnimm und setze ein; an der bezeichneten Stelle.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
4	choraly	CH+OR+AL+Y	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD26_EXACT_ALIAS_COVER	4	2	0	2	chor→CH+OR | aly→AL+Y	chor:LEARNED_SHORT_RENDERER:n85:share0.944444 | aly:LEARNED_SHORT_RENDERER:n39:share1.000000	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Die Einheit und den Posten nehmen; am Zielort.	Nimm die Arbeitseinheit und den Pflanzenposten; zur Zielstelle.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
5	dairykodas	D_ADDR+AIR+Y+K+O+DA+S	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD26_EXACT_ALIAS_COVER	8	4	1	3	dair→D_ADDR+AIR | yk→Y+K | oda→O+DA | s→S	dair:LEARNED_SHORT_RENDERER:n21:share0.777778 | yk:LEARNED_SHORT_RENDERER:n138:share0.896104 | oda:LEARNED_SHORT_RENDERER:n10:share0.714286 | s:CANONICAL_AND_LEARNED:n791:share0.743421	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Hier; entlang der Bahn; den Posten geben und wählen; zur Ausführung; auf der zweiten Stufe.	Ordne den laufenden Eintrag zu und wähle den laufenden Eintrag; entlang der Lesebahn; zur Ausführung und auf der zweiten Stufe; an der bezeichneten Stelle.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
6	dalalshedy	AL+AL+SH+E+DY	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD26_EXACT_ALIAS_COVER	4	3	1	2	dal→AL | al→AL | shedy→SH+E+DY	dal:LEARNED_RENDERER_ALIAS:n99:share0.798387 | al:CANONICAL_AND_LEARNED:n519:share0.920213 | shedy:LEARNED_SHORT_RENDERER:n159:share0.981481	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Am Zielort; erneut am Zielort; halten; auf Grad I; abschließen.	Halte den laufenden Eintrag [wie zuvor] fest; zur Zielspalte [außen] und zur Zielspalte [innen]; auf Grad I; schließe den Schritt.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
7	folchol	LOCAL_CHAR_F+OL+OL	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	ANCHOR_CONTEXT_MODE_DIFFERENCE	OLD26_EXACT_ALIAS_COVER	1	3	2	1	f→LOCAL_CHAR_F | ol→OL | chol→OL	f:CANONICAL_AND_LEARNED:n90:share0.947368 | ol:CANONICAL_AND_LEARNED:n956:share0.965657 | chol:LEARNED_RENDERER_ALIAS:n113:share0.812950	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Hier; zweimal fortsetzen.	Im laufenden Satz halte; an der bezeichneten Stelle; führe 2-mal fort.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
8	kodary	K+O+D_ADDR+AR+Y	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD26_EXACT_ALIAS_COVER	6	3	1	2	k→K | od→O+D_ADDR | ary→AR+Y	k:CANONICAL_AND_LEARNED:n937:share0.961026 | od:LEARNED_SHORT_RENDERER:n226:share0.849624 | ary:LEARNED_SHORT_RENDERER:n20:share0.869565	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Den Posten geben; zur Ausführung; hier; vom Ausgang.	Ordne den laufenden Eintrag zu; von der Ausgangszeile; zur Ausführung; an der bezeichneten Stelle.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
9	kody	K+O+DY	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	ANCHOR_CONTEXT_MODE_DIFFERENCE	OLD26_EXACT_ALIAS_COVER	1	3	3	0	k→K | o→O | dy→DY	k:CANONICAL_AND_LEARNED:n937:share0.961026 | o:CANONICAL_AND_LEARNED:n1340:share0.949681 | dy:CANONICAL_STEM:n0:share0.000000	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Geben; zur Ausführung; abschließen.	Ordne zu; zur Ausführung; schließe den Schritt.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
10	ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	NEW_ATOM_INTERFACE	OLD26_EXACT_ALIAS_COVER	3	3	2	1	o→O | far→LOCAL_CHAR_F+AR | am→AM_ADDR	o:CANONICAL_AND_LEARNED:n1340:share0.949681 | far:LEARNED_SHORT_RENDERER:n13:share1.000000 | am:CANONICAL_AND_LEARNED:n84:share0.965517	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Zur Ausführung; hier; vom Ausgang; hier.	Im laufenden Satz bearbeite den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; zur Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
11	qoekedy	CARRIER_Q+O+E+K+E+DY	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	ANCHOR_CONTEXT_MODE_DIFFERENCE	OLD26_EXACT_ALIAS_COVER	20	2	0	2	qoe→CARRIER_Q+O+E | kedy→K+E+DY	qoe:LEARNED_SHORT_RENDERER:n10:share0.833333 | kedy:LEARNED_SHORT_RENDERER:n34:share0.772727	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Mit Beginnmarker; zur Ausführung; auf Grad I; geben; erneut auf Grad I; abschließen.	Gib die Arbeitseinheit [wie zuvor] zu; mit Beginnmarker, zur Ausführung, auf Grad I [außen] und auf Grad I [innen]; schließe den Schritt.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
12	qokshd	OK+SH+D_ADDR	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	ANCHOR_CONTEXT_MODE_DIFFERENCE	OLD26_EXACT_ALIAS_COVER	2	2	0	2	qok→OK | shd→SH+D_ADDR	qok:LEARNED_RENDERER_ALIAS:n712:share0.995804 | shd:LEARNED_SHORT_RENDERER:n33:share0.846154	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Setzen und halten; hier.	Trage ein und halte fest; an der bezeichneten Stelle.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
13	qoteeod	OT+EE+O+D_ADDR	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	ANCHOR_CONTEXT_MODE_DIFFERENCE	OLD26_EXACT_ALIAS_COVER	6	2	0	2	qot→OT | eeod→EE+O+D_ADDR	qot:LEARNED_RENDERER_ALIAS:n226:share0.974138 | eeod:LEARNED_SHORT_RENDERER:n19:share0.950000	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Danach; auf Grad II; zur Ausführung; hier.	Danach: im laufenden Satz halte den laufenden Eintrag [wie zuvor] fest; auf Grad II und zur Ausführung; an der bezeichneten Stelle.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
