metric	value	guard
status	PASS_ALL_23_DEFAULTS_EXACTLY_VISIBLE__4_CURRENT_PEER_PROMOTIONS__19_SUPPORT_RESTS	GDT549_REPLAYED_METRIC
source_default_count	23	GDT549_REPLAYED_METRIC
exact_visible_composition_count	23	GDT549_REPLAYED_METRIC
old26_exact_cover_target_count	20	GDT549_REPLAYED_METRIC
old26_exact_cover_path_count	96	GDT549_REPLAYED_METRIC
bounded_current_visible_route_count	3	GDT549_REPLAYED_METRIC
two_segment_selected_route_count	13	GDT549_REPLAYED_METRIC
three_segment_selected_route_count	8	GDT549_REPLAYED_METRIC
four_segment_selected_route_count	2	GDT549_REPLAYED_METRIC
opaque_whole_gloss_count	0	GDT549_REPLAYED_METRIC
context_mismatch_source_count	9	GDT549_REPLAYED_METRIC
context_peer_repaired_count	5	GDT549_REPLAYED_METRIC
context_unresolved_count	4	GDT549_REPLAYED_METRIC
context_peer_event_count	8	GDT549_REPLAYED_METRIC
new_interface_source_count	6	GDT549_REPLAYED_METRIC
interface_peer_repaired_count	1	GDT549_REPLAYED_METRIC
interface_unresolved_count	5	GDT549_REPLAYED_METRIC
interface_peer_event_count	2	GDT549_REPLAYED_METRIC
promoted_card_count	4	GDT549_REPLAYED_METRIC
residual_card_count	19	GDT549_REPLAYED_METRIC
residual_higher_order_sequence_count	10	GDT549_REPLAYED_METRIC
residual_anchor_context_count	4	GDT549_REPLAYED_METRIC
residual_direct_interface_count	5	GDT549_REPLAYED_METRIC
complete_neutral_meaning_count	23	GDT549_REPLAYED_METRIC
complete_context_meaning_count	23	GDT549_REPLAYED_METRIC
new_pages	0	GDT549_REPLAYED_METRIC
recipe_changes	0	GDT549_REPLAYED_METRIC
root_meaning_changes	0	GDT549_REPLAYED_METRIC
