surface	final_recipe	residual_dimension	residual_detail	visible_status	next_search	guard
folchol	LOCAL_CHAR_F+OL+OL	ANCHOR_CONTEXT	NO_CURRENT_TARGET_MODE_PEER_FOR_OLD_ANCHOR	EXACT_VISIBLE_COMPOSITION	SEARCH_SHARED_CONTEXT_SWITCH_FRAME	CURRENT_READING_RETAINED__RESIDUAL_SUPPORT_DIMENSION_ONLY
qoteeod	OT+EE+O+D_ADDR	ANCHOR_CONTEXT	NO_CURRENT_TARGET_MODE_PEER_FOR_OLD_ANCHOR	EXACT_VISIBLE_COMPOSITION	SEARCH_SHARED_CONTEXT_SWITCH_FRAME	CURRENT_READING_RETAINED__RESIDUAL_SUPPORT_DIMENSION_ONLY
saiis	S+A_ADDR+IIN+S	ANCHOR_CONTEXT	NO_CURRENT_TARGET_MODE_PEER_FOR_OLD_ANCHOR	EXACT_VISIBLE_COMPOSITION	SEARCH_SHARED_CONTEXT_SWITCH_FRAME	CURRENT_READING_RETAINED__RESIDUAL_SUPPORT_DIMENSION_ONLY
shokaiir	SH+OK+IIN+R	ANCHOR_CONTEXT	NO_CURRENT_TARGET_MODE_PEER_FOR_OLD_ANCHOR	EXACT_VISIBLE_COMPOSITION	SEARCH_SHARED_CONTEXT_SWITCH_FRAME	CURRENT_READING_RETAINED__RESIDUAL_SUPPORT_DIMENSION_ONLY
aiicthy	AIIN+CH+T+Y	DIRECT_INTERFACE	AIIN>CH	EXACT_VISIBLE_COMPOSITION	SEARCH_SEPARATED_OR_FAMILY_PAIR_BRIDGE	CURRENT_READING_RETAINED__RESIDUAL_SUPPORT_DIMENSION_ONLY
chap	CH+A_ADDR+P	DIRECT_INTERFACE	A_ADDR>P	EXACT_VISIBLE_COMPOSITION	SEARCH_SEPARATED_OR_FAMILY_PAIR_BRIDGE	CURRENT_READING_RETAINED__RESIDUAL_SUPPORT_DIMENSION_ONLY
ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	DIRECT_INTERFACE	AR>AM_ADDR	EXACT_VISIBLE_COMPOSITION	SEARCH_SEPARATED_OR_FAMILY_PAIR_BRIDGE	CURRENT_READING_RETAINED__RESIDUAL_SUPPORT_DIMENSION_ONLY
rotaiin	R+OT+AIIN	DIRECT_INTERFACE	R>OT	EXACT_VISIBLE_COMPOSITION	SEARCH_SEPARATED_OR_FAMILY_PAIR_BRIDGE	CURRENT_READING_RETAINED__RESIDUAL_SUPPORT_DIMENSION_ONLY
shso	SH+S+O	DIRECT_INTERFACE	SH>S	EXACT_VISIBLE_COMPOSITION	SEARCH_SEPARATED_OR_FAMILY_PAIR_BRIDGE	CURRENT_READING_RETAINED__RESIDUAL_SUPPORT_DIMENSION_ONLY
choraly	CH+OR+AL+Y	HIGHER_ORDER_SEQUENCE_CONTEXT	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	EXACT_VISIBLE_COMPOSITION	GROUP_BY_RECURRENT_VISIBLE_RECIPE_FRAME	CURRENT_READING_RETAINED__NO_WHOLE_RECIPE_CLAIM
dairykodas	D_ADDR+AIR+Y+K+O+DA+S	HIGHER_ORDER_SEQUENCE_CONTEXT	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	EXACT_VISIBLE_COMPOSITION	GROUP_BY_RECURRENT_VISIBLE_RECIPE_FRAME	CURRENT_READING_RETAINED__NO_WHOLE_RECIPE_CLAIM
dalalshedy	AL+AL+SH+E+DY	HIGHER_ORDER_SEQUENCE_CONTEXT	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	EXACT_VISIBLE_COMPOSITION	GROUP_BY_RECURRENT_VISIBLE_RECIPE_FRAME	CURRENT_READING_RETAINED__NO_WHOLE_RECIPE_CLAIM
kodary	K+O+D_ADDR+AR+Y	HIGHER_ORDER_SEQUENCE_CONTEXT	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	EXACT_VISIBLE_COMPOSITION	GROUP_BY_RECURRENT_VISIBLE_RECIPE_FRAME	CURRENT_READING_RETAINED__NO_WHOLE_RECIPE_CLAIM
