directed_root_change	source_value_de	target_value_de	factor_family	route_count	candidate_count	direct_shared_frame_count	generic_contrast_pass_count	register_contrast_pass_count	register_contrast_total	sample_route	decision
AIIN>AIN	WERT	ANTEIL	ARGUMENT	9	9	23	9	45	45	AL+AIIN > AL+AIN	PAIR_REMAINS_AUDIBLE
AIIN>OR	WERT	EINHEIT	ARGUMENT	7	7	27	7	35	35	AR+AIIN > AR+OR	PAIR_REMAINS_AUDIBLE
AIIN>Y	WERT	POSTEN	ARGUMENT	4	4	37	4	20	20	CARRIER_Q+O+AIIN > CARRIER_Q+O+Y	PAIR_REMAINS_AUDIBLE
AIN>AIIN	ANTEIL	WERT	ARGUMENT	1	1	23	1	5	5	Y+AIN > Y+AIIN	PAIR_REMAINS_AUDIBLE
AIN>OR	ANTEIL	EINHEIT	ARGUMENT	6	6	16	6	30	30	CH+O+D_ADDR+AIN > CH+O+D_ADDR+OR	PAIR_REMAINS_AUDIBLE
AIN>Y	ANTEIL	POSTEN	ARGUMENT	3	3	23	3	15	15	CARRIER_Q+O+AIN > CARRIER_Q+O+Y	PAIR_REMAINS_AUDIBLE
AIR>AR	BAHN	AUSGANG	RELATION	1	1	10	1	5	5	CH+AIR > CH+AR	PAIR_REMAINS_AUDIBLE
AIR>L	BAHN	VERBINDUNG	RELATION	5	5	3	5	25	25	CH+K+AIR > CH+K+L	PAIR_REMAINS_AUDIBLE
AL>AIR	ZIELORT	BAHN	RELATION	7	7	8	7	35	35	AL+AIIN > AIR+AIIN	PAIR_REMAINS_AUDIBLE
AL>AR	ZIELORT	AUSGANG	RELATION	2	2	32	2	10	10	AL+OR > AR+OR	PAIR_REMAINS_AUDIBLE
AL>L	ZIELORT	VERBINDUNG	RELATION	6	6	16	6	30	30	CH+K+AL > CH+K+L	PAIR_REMAINS_AUDIBLE
AR>AIR	AUSGANG	BAHN	RELATION	8	8	10	8	40	40	AR+AIIN > AIR+AIIN	PAIR_REMAINS_AUDIBLE
AR>AL	AUSGANG	ZIELORT	RELATION	2	2	32	2	10	10	P+AR > P+AL	PAIR_REMAINS_AUDIBLE
AR>L	AUSGANG	VERBINDUNG	RELATION	6	6	9	6	30	30	CH+K+AR > CH+K+L	PAIR_REMAINS_AUDIBLE
CHD>SH	BEARBEITEN	HALTEN	ACTION_HEAD	4	4	14	4	20	20	CHD+AIN > SH+AIN	PAIR_REMAINS_AUDIBLE
K>OK	GEBEN	SETZEN	ACTION_HEAD	2	2	34	2	10	10	K+CH+AIIN > OK+CH+AIIN	PAIR_REMAINS_AUDIBLE
K>P	GEBEN	EINSETZEN	ACTION_HEAD	9	9	23	9	45	45	CH+K+AIIN > CH+P+AIIN	PAIR_REMAINS_AUDIBLE
L>AIR	VERBINDUNG	BAHN	RELATION	5	5	3	5	25	25	L+AIIN > AIR+AIIN	PAIR_REMAINS_AUDIBLE
L>AL	VERBINDUNG	ZIELORT	RELATION	1	1	16	1	5	5	L+AIN > AL+AIN	PAIR_REMAINS_AUDIBLE
L>AR	VERBINDUNG	AUSGANG	RELATION	3	3	9	3	15	15	L+OR > AR+OR	PAIR_REMAINS_AUDIBLE
OK>K	SETZEN	GEBEN	ACTION_HEAD	1	1	34	1	5	5	OK+CH+Y > K+CH+Y	PAIR_REMAINS_AUDIBLE
OK>P	SETZEN	EINSETZEN	ACTION_HEAD	7	7	10	7	35	35	OK+AIIN > P+AIIN	PAIR_REMAINS_AUDIBLE
OR>AIIN	EINHEIT	WERT	ARGUMENT	3	3	27	3	15	15	OR+AIN > AIIN+AIN	PAIR_REMAINS_AUDIBLE
OR>AIN	EINHEIT	ANTEIL	ARGUMENT	9	9	16	9	45	45	AL+OR > AL+AIN	PAIR_REMAINS_AUDIBLE
OR>Y	EINHEIT	POSTEN	ARGUMENT	5	5	38	5	25	25	CARRIER_Q+O+OR > CARRIER_Q+O+Y	PAIR_REMAINS_AUDIBLE
S>CH	WÄHLEN	NEHMEN	ACTION_HEAD	2	2	12	2	10	10	S+AR > CH+AR	PAIR_REMAINS_AUDIBLE
SH>CHD	HALTEN	BEARBEITEN	ACTION_HEAD	2	2	14	2	10	10	L+SH+L > L+CHD+L	PAIR_REMAINS_AUDIBLE
Y>AIIN	POSTEN	WERT	ARGUMENT	5	5	37	5	25	25	Y+AIN > AIIN+AIN	PAIR_REMAINS_AUDIBLE
Y>AIN	POSTEN	ANTEIL	ARGUMENT	11	11	23	11	55	55	AL+Y > AL+AIN	PAIR_REMAINS_AUDIBLE
Y>OR	POSTEN	EINHEIT	ARGUMENT	9	9	38	9	45	45	AR+Y > AR+OR	PAIR_REMAINS_AUDIBLE
