card_ordinal	candidate_recipe	fixed_literal_reading_de	fixed_workshop_phrase_de	neighbor_route_count	generic_pass_count	register_pass_count	register_contrast_total	weakest_direct_shared_frame_count	decision
1	AL+AIN	ZIELORT · ANTEIL	Am Zielort: Anteil.	4	4	20	20	16	CARD_CONTRASTS_ALL_REVERSIBLE
2	AR+OR	AUSGANG · EINHEIT	Vom Ausgang: Einheit.	4	4	20	20	9	CARD_CONTRASTS_ALL_REVERSIBLE
3	CH+AR	NEHMEN · AUSGANG	Nimm vom Ausgang.	4	4	20	20	9	CARD_CONTRASTS_ALL_REVERSIBLE
4	SH+AIN	HALTEN · ANTEIL	Halte den Anteil.	4	4	20	20	14	CARD_CONTRASTS_ALL_REVERSIBLE
5	AIIN+AIN	WERT · ANTEIL	Wert des Anteils.	3	3	15	15	23	CARD_CONTRASTS_ALL_REVERSIBLE
6	AIN+Y	ANTEIL · POSTEN	Anteil des Postens.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
7	AIR+AIIN	BAHN · WERT	Entlang der Bahn: Wert.	3	3	15	15	3	CARD_CONTRASTS_ALL_REVERSIBLE
8	AIR+OL	BAHN · FORTSETZEN	Weiter: Entlang der Bahn.	3	3	15	15	3	CARD_CONTRASTS_ALL_REVERSIBLE
9	AIR+Y	BAHN · POSTEN	Entlang der Bahn: Posten.	3	3	15	15	3	CARD_CONTRASTS_ALL_REVERSIBLE
10	AR+AIN	AUSGANG · ANTEIL	Vom Ausgang: Anteil.	3	3	15	15	9	CARD_CONTRASTS_ALL_REVERSIBLE
11	CARRIER_Q+O+Y	BEGINNMARKER · AUSFÜHRUNG · POSTEN	Beginne mit der Ausführung des Postens.	3	3	15	15	23	CARD_CONTRASTS_ALL_REVERSIBLE
12	CH+AIN	NEHMEN · ANTEIL	Nimm den Anteil.	3	3	15	15	12	CARD_CONTRASTS_ALL_REVERSIBLE
13	CH+E+O+AIR	NEHMEN · GRAD I · AUSFÜHRUNG · BAHN	Nimm entlang der Bahn auf Grad I als Ausführung.	3	3	15	15	3	CARD_CONTRASTS_ALL_REVERSIBLE
14	CH+K+L	NEHMEN · GEBEN · VERBINDUNG	Nimm; gib über die Verbindung.	3	3	15	15	3	CARD_CONTRASTS_ALL_REVERSIBLE
15	CH+O+D_ADDR+OR	NEHMEN · AUSFÜHRUNG · HIER · EINHEIT	Nimm die Einheit als Ausführung hier.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
16	CH+P+AIIN	NEHMEN · EINSETZEN · WERT	Nimm den Wert; setze den Wert ein.	3	3	15	15	23	CARD_CONTRASTS_ALL_REVERSIBLE
17	CH+P+AIN	NEHMEN · EINSETZEN · ANTEIL	Nimm den Anteil; setze den Anteil ein.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
18	CH+P+AIR	NEHMEN · EINSETZEN · BAHN	Nimm; setze entlang der Bahn ein.	3	3	15	15	8	CARD_CONTRASTS_ALL_REVERSIBLE
19	CH+T+AIN	NEHMEN · EINSTELLEN · ANTEIL	Nimm den Anteil; stelle den Anteil ein.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
20	CHD+L	BEARBEITEN · VERBINDUNG	Bearbeite über die Verbindung.	3	3	15	15	3	CARD_CONTRASTS_ALL_REVERSIBLE
21	D_ADDR+CH+AIN	HIER · NEHMEN · ANTEIL	Nimm den Anteil hier.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
22	K+CH+Y	GEBEN · NEHMEN · POSTEN	Gib den Posten; nimm den Posten.	3	3	15	15	34	CARD_CONTRASTS_ALL_REVERSIBLE
23	K+L	GEBEN · VERBINDUNG	Gib über die Verbindung.	3	3	15	15	3	CARD_CONTRASTS_ALL_REVERSIBLE
24	L+CHD+L	VERBINDUNG · BEARBEITEN · VERBINDUNG	Bearbeite über die Verbindung und über die Verbindung.	3	3	15	15	9	CARD_CONTRASTS_ALL_REVERSIBLE
