route_id	card_ordinal	candidate_recipe	source_neighbor_recipe	changed_atom_position	source_atom	source_value_de	target_atom	target_value_de	factor_family	direct_shared_frame_count	source_trace	target_trace	semantic_trace_delta_count	source_workshop_phrase_de	target_workshop_phrase_de	natural_phrase_changed	unchanged_slots_preserved	sample_observed_surface	sample_observed_clause_de	workshop_distinction_de	decision
NR001	1	AL+AIN	AL+AIIN	2	AIIN	WERT	AIN	ANTEIL	ARGUMENT	23	1:RELATION=ZIELORT | 2:ARGUMENT=WERT	1:RELATION=ZIELORT | 2:ARGUMENT=ANTEIL	1	Am Zielort: Wert.	Am Zielort: Anteil.	YES	YES	alaiin	Im laufenden Gang wähle den Positionswert; zur Zielposition.	WERT ist die portablere Einstellgröße; ANTEIL ist stärker besitzer- und Teilstruktur-gebunden.	REVERSIBLE_ONE_ROOT_CONTRAST
NR002	1	AL+AIN	AL+OR	2	OR	EINHEIT	AIN	ANTEIL	ARGUMENT	16	1:RELATION=ZIELORT | 2:ARGUMENT=EINHEIT	1:RELATION=ZIELORT | 2:ARGUMENT=ANTEIL	1	Am Zielort: Einheit.	Am Zielort: Anteil.	YES	YES	alor	Im laufenden Gang bearbeite die Stationseinheit; zur Zielstation.	ANTEIL teilt den Besitzer; EINHEIT bündelt einen selbständigen Arbeits- oder Eintragsblock.	REVERSIBLE_ONE_ROOT_CONTRAST
NR003	1	AL+AIN	AL+Y	2	Y	POSTEN	AIN	ANTEIL	ARGUMENT	23	1:RELATION=ZIELORT | 2:ARGUMENT=POSTEN	1:RELATION=ZIELORT | 2:ARGUMENT=ANTEIL	1	Am Zielort: Posten.	Am Zielort: Anteil.	YES	YES	aly	Im laufenden Gang nimm den Positionsposten auf; zur Zielposition.	POSTEN wird weiterbearbeitet; ANTEIL begrenzt den gemeinten Teil.	REVERSIBLE_ONE_ROOT_CONTRAST
NR004	1	AL+AIN	L+AIN	1	L	VERBINDUNG	AL	ZIELORT	RELATION	16	1:RELATION=VERBINDUNG | 2:ARGUMENT=ANTEIL	1:RELATION=ZIELORT | 2:ARGUMENT=ANTEIL	1	Über die Verbindung: Anteil.	Am Zielort: Anteil.	YES	YES	ldain	Im laufenden Gang nimm den Drogenanteil; über die Gefäßverbindung.	ZIELORT adressiert das Ankommen; VERBINDUNG hält einen folgenden Gang offen.	REVERSIBLE_ONE_ROOT_CONTRAST
NR005	2	AR+OR	AL+OR	1	AL	ZIELORT	AR	AUSGANG	RELATION	32	1:RELATION=ZIELORT | 2:ARGUMENT=EINHEIT	1:RELATION=AUSGANG | 2:ARGUMENT=EINHEIT	1	Am Zielort: Einheit.	Vom Ausgang: Einheit.	YES	YES	alor	Im laufenden Gang bearbeite die Stationseinheit; zur Zielstation.	ZIELORT kann den folgenden Zielgang eröffnen; AUSGANG schließt meist die Herkunftsangabe.	REVERSIBLE_ONE_ROOT_CONTRAST
NR006	2	AR+OR	AR+AIIN	2	AIIN	WERT	OR	EINHEIT	ARGUMENT	27	1:RELATION=AUSGANG | 2:ARGUMENT=WERT	1:RELATION=AUSGANG | 2:ARGUMENT=EINHEIT	1	Vom Ausgang: Wert.	Vom Ausgang: Einheit.	YES	YES	araiin	Im laufenden Gang wähle den Stationswert; von der Ausgangsstation.	WERT füllt eine Einheit aus; EINHEIT kann selbst weiteren Inhalt aufnehmen.	REVERSIBLE_ONE_ROOT_CONTRAST
NR007	2	AR+OR	AR+Y	2	Y	POSTEN	OR	EINHEIT	ARGUMENT	38	1:RELATION=AUSGANG | 2:ARGUMENT=POSTEN	1:RELATION=AUSGANG | 2:ARGUMENT=EINHEIT	1	Vom Ausgang: Posten.	Vom Ausgang: Einheit.	YES	YES	chary	Im laufenden Gang bearbeite den Stationsposten; von der Ausgangsstation.	POSTEN ist der laufende Referent; EINHEIT ist der Rahmen, der weiteren Inhalt tragen kann.	REVERSIBLE_ONE_ROOT_CONTRAST
NR008	2	AR+OR	L+OR	1	L	VERBINDUNG	AR	AUSGANG	RELATION	9	1:RELATION=VERBINDUNG | 2:ARGUMENT=EINHEIT	1:RELATION=AUSGANG | 2:ARGUMENT=EINHEIT	1	Über die Verbindung: Einheit.	Vom Ausgang: Einheit.	YES	YES	lor	Im laufenden Gang halte die Stationseinheit; über die sichtbare Verbindung.	AUSGANG nennt die Herkunft; VERBINDUNG trägt die Fortsetzung.	REVERSIBLE_ONE_ROOT_CONTRAST
NR009	3	CH+AR	CH+AIR	2	AIR	BAHN	AR	AUSGANG	RELATION	10	1:ACTION_HEAD=NEHMEN | 2:RELATION=BAHN	1:ACTION_HEAD=NEHMEN | 2:RELATION=AUSGANG	1	Nimm entlang der Bahn.	Nimm vom Ausgang.	YES	YES	chair	Nimm den Pflanzenposten [wie zuvor]; entlang der Verarbeitungsbahn.	AUSGANG und BAHN sind verschiedene Relationstypen mit verschiedenen Binderegeln.	REVERSIBLE_ONE_ROOT_CONTRAST
NR010	3	CH+AR	CH+AL	2	AL	ZIELORT	AR	AUSGANG	RELATION	32	1:ACTION_HEAD=NEHMEN | 2:RELATION=ZIELORT	1:ACTION_HEAD=NEHMEN | 2:RELATION=AUSGANG	1	Nimm am Zielort.	Nimm vom Ausgang.	YES	YES	chal	Entnimm die Eintragseinheit [wie zuvor]; zur Zielspalte.	ZIELORT kann den folgenden Zielgang eröffnen; AUSGANG schließt meist die Herkunftsangabe.	REVERSIBLE_ONE_ROOT_CONTRAST
