record_unit_id	page	statement_count	event_count	terminal_statements	open_statements	open_continuations	owner_resets_between_statements	continuous_source_book_de
H1	f10r	2	14	0	2	1	0	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Grundteil — bereitstellen Bereitung — davon — Anteil — Aufnahme — Lauf — danach Teil weiter — einsetzen — Sollmaß — kurz Teil. weiter: weiterbearbeiten — danach weiter — weiter — bereit.
H2	f10r	3	24	0	3	2	0	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Posten Auszug Bereitung — bereit — Ansatz — bereitstellen Sollmaß — bereitstellen weiter Posten — dies — dies — Sollmaß — dies. weiter: Folgeansatz — Ansatz — danach weiter — weiter — derselbe Ansatz — weiter — Sollmaß — davon. weiter: Posten bearbeiten Bereitung — Ansatz — Ansatz — dies — Arbeitsstufe — dies — Zugabe Sollmaß.
H3	f11r	4	17	1	3	2	0	Besitzer »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«: Zugabe abführen — Zugabe Ziel — auswringen Posten — halten Sollmaß — nachseihen Posten — Klarauszug — Zugabe; Schritt schließen. Neuer Schritt: Zugabe Posten Teil. weiter: vom vorigen — dies — bearbeiten Posten — dies — Sollmaß. weiter: danach Posten — einsetzen weiter — bereit — dies.
H4	f55v	4	18	3	1	0	0	Besitzer »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«: bemessen — Sollmaß — Posten Anteil — Posten Anteil — kühlen. Neuer Schritt: Sollmaß — überführen — Ziel verwahren. Neuer Schritt: Posten Sollmaß — Auszug Quelle — länger bearbeiten — fertig. Neuer Schritt: Sollmaß — dorthin einsetzen — weiter bereitstellen Posten — Ansatz — dies — Bereitung Anteil.
H5	f56r	6	27	1	5	4	0	Besitzer »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«: Zugabe Bereitung — weitere Zutat — Zugabe Ziel Posten — Sollmaß — weitere Zutat — bearbeiten weiter — Folgeansatz — einsetzen — dorthin. weiter: vom vorigen — Zugabe Posten — einsetzen — Langpassage; Schluss. Neuer Schritt: halten — weitere Zutat — bearbeiten kurz Posten — einsetzen einsetzen Posten. weiter: weiterbearbeiten — einsetzen Auszug — bearbeiten Ziel. weiter: weitere Zutat — weiterbearbeiten — Auszug Quelle — danach anwenden. weiter: das nächste — kurz weiter — Sollmaß.
B1	f81v	21	66	17	4	3	0	Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: kurz einwirken; Schluss. Neuer Schritt: bemessen — Lauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — weiter — Zusatz — derselbe Ansatz — weiter — Passage kurz Ziel — Sollmaß — einsetzen länger Ziel — Sollmaß — durchleiten — überführen; Schluss. Neuer Schritt: weiter — Haltetransfer; Schluss. Neuer Schritt: überführen — weiter — kurz absetzen; Schluss. Neuer Schritt: weiterführen; Schluss. Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Ziel. weiter: einführen; Schluss. Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss. Neuer Schritt: kurz einwirken; Schluss. Neuer Schritt: kurz einwirken; Schluss. Neuer Schritt: durchleiten — einsetzen. weiter: waschen — kurz einwirken — waschen; Schritt schließen. Neuer Schritt: waschen; Schritt schließen. Neuer Schritt: überführen — weiter — abführen übertragen Ziel — weiter — danach Quelle. weiter: Posten kurz Teil — einführen; Schluss. Neuer Schritt: dorthin einsetzen — lange einwirken — weiter — kurz absetzen; Schluss. Neuer Schritt: dorthin — kurz weiter — übertragen; Schritt schließen. Neuer Schritt: abführen Posten — halten kurz weiter — Arbeitsstufe — lange sammeln; Schluss. Neuer Schritt: kurz absetzen; Schluss. Neuer Schritt: kurz wärmen — seihen; Schluss. Neuer Schritt: dorthin.
B2	f82r	22	62	19	3	0	3	Besitzer »obere Paarbecken-/Zylinderstation«: überführen; Schluss. Neuer Schritt: weiterführen; Schluss. Neuer Schritt: Anteil zugeben — dies — lange einwirken; Schluss. Neuer Schritt: dorthin einsetzen — abführen Passage Posten — abführen übertragen — lange einwirken — abführen trennen; Schritt schließen. Neuer Schritt: einsetzen Ziel Posten — auffangen Sollmaß — durchleiten — bemessen — bemessen — bereitstellen weiter — wärmen länger Posten — abziehen; Schluss. Neuer Schritt: danach länger Posten — dorthin einsetzen — Passage kurz Posten — einsetzen. Neuer Besitzer »mittlere linke Geräte-/Inline-Knotenstation«: absetzen kurz; Schritt schließen. Neuer Schritt: Folgemaß — einsetzen Quelle — kurz absetzen; Schluss. Neuer Schritt: weiter absetzen; Schritt schließen. Neuer Schritt: lange einwirken — einsetzen — abführen — Klarauszug. Neuer Besitzer »ungelöste mittlere rechte Linie-/Liegepodeststation«: Anteil zugeben — davon — Anteil zugeben — lange einwirken; Schluss. Neuer Schritt: abführen Posten — Klarauszug — kurz vorbereiten — lange einwirken — abführen Klarlauf — Sollmaß — dies — einsetzen vollständig; Schritt schließen — [innerer Besitzerwechsel zu unteres grünes Mehrfigurenfeld]. Neuer Schritt: abführen; Schluss. Neuer Schritt: abführen Quelle. Neuer Besitzer »lokale Randstationen des unteren Feldes«: Klarlauf — lange einwirken; Schluss. Neuer Schritt: dorthin — abführen übertragen Quelle — teilen — Sollmaß — danach länger Posten — bemessen — kurz einwirken — zuführen übertragen; Schritt schließen. Neuer Schritt: halten kurz Ziel — Ziel; Schritt schließen. Neuer Schritt: lange einwirken; Schluss. Neuer Schritt: waschen; Schritt schließen. Neuer Schritt: lange Folgestufe; Schluss. Neuer Schritt: lange einwirken; Schluss. Neuer Schritt: abführen übertragen; Schritt schließen.
B3	f83r	34	86	31	3	1	2	Besitzer »obere offene Fächer-Randstation«: lange sammeln; Schluss. Neuer Schritt: danach dorthin — wärmen länger; Schritt schließen. Neuer Schritt: dies — Sollmaß — dies — abführen; Schluss. Neuer Schritt: bemessen — danach dorthin — davon. Neuer Besitzer »mittlere runde Gefäß-Randstation«: überführen; Schluss. Neuer Schritt: übertragen Posten — dorthin einsetzen — weiterführen; Schluss. Neuer Schritt: bemessen — überführen — lange einwirken; Schluss. Neuer Schritt: abführen; Schluss. Neuer Schritt: einsetzen. Neuer Besitzer »untere korbartige Gefäß-Randstation«: zuführen übertragen Ziel — danach kurz; Schritt schließen. Neuer Schritt: bereitstellen übertragen Posten — einsetzen — überführen — Quelle Posten. weiter: Ansatz — kurz absetzen; Schluss. Neuer Schritt: bemessen — Anteil — kurz vorbereiten — kurz einwirken; Schluss. Neuer Schritt: einsetzen Lauf — absetzen länger; Schritt schließen. Neuer Schritt: abführen; Schluss. Neuer Schritt: abführen — einführen; Schluss — [innerer Besitzerwechsel zu ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]. Neuer Schritt: lange einwirken; Schluss. Neuer Schritt: kurz absetzen; Schluss. Neuer Schritt: einsetzen absetzen; Schritt schließen. Neuer Schritt: dorthin — abführen; Schluss. Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — bereitstellen kurz Posten — dies — dorthin — bereit — Ziel übertragen; Schritt schließen. Neuer Schritt: danach übertragen; Schritt schließen. Neuer Schritt: abführen; Schluss. Neuer Schritt: überführen; Schluss. Neuer Schritt: einführen; Schluss. Neuer Schritt: übertragen Quelle — absetzen Sollmaß — überführen — Anteil zugeben — bereit — Ziel Bereitung — lange sammeln; Schluss — [innerer Besitzerwechsel zu Hauptpaar am sichtbaren ungerichteten Bogen]. Neuer Schritt: lange Folgestufe; Schluss. Neuer Schritt: lange einwirken — kurz einwirken; Schluss. Neuer Schritt: weiter — vollständig Teil — kurz einwirken; Schluss. Neuer Schritt: einsetzen — Sollmaß — Lauf — danach übertragen; Schritt schließen. Neuer Schritt: lange einwirken; Schluss. Neuer Schritt: übertragen Anteil — überführen — danach kurz Sollmaß — Folgemaß — danach kurz; Schritt schließen. Neuer Schritt: abziehen; Schluss. Neuer Schritt: Arbeitsstufe — bereit — Anteil — Folgemaß — Ziel Posten — kurz absetzen; Schluss.
B4	f83r	16	47	16	0	0	1	Besitzer »Hauptpaar am sichtbaren ungerichteten Bogen«: lange einwirken; Schluss. Neuer Schritt: weiter Posten — lange einwirken — kurz einwirken; Schluss. Neuer Schritt: überführen — danach dorthin — das nächste — lange einwirken — einsetzen — weiter — kurz absetzen; Schluss. Neuer Schritt: einsetzen Posten festbinden. Neuer Schritt: Einlage — überführen — lange einwirken; Schluss. Neuer Schritt: seihen; Schluss. Neuer Schritt: seihen; Schluss. Neuer Schritt: Sollmaß — länger bearbeiten — halten länger Posten — kurz einwirken; Schluss. Neuer Schritt: kurz absetzen; Schluss. Neuer Schritt: fertig. Neuer Besitzer »linke offene Fransen-/Unterlaufstation«: Sollmaß — kurz wärmen — einsetzen länger weiter — Anteil zugeben — überführen — weiter — abführen kurz; Schritt schließen. Neuer Schritt: abführen; Schluss. Neuer Schritt: einsetzen weiter — kurz absetzen; Schluss. Neuer Schritt: Ansatz — dies — Kurzpassage — Lauf Posten; Schritt schließen. Neuer Schritt: Anteil zugeben — Klarauszug — Anteil — Passage Ziel — auffangen kurz Posten — abführen; Schluss — [innerer Besitzerwechsel zu rechte S-Lauf-/Mehrarmknotenstation]. Neuer Schritt: weiterer Anteil — dorthin — ausgießen Quelle — kurz absetzen; Schluss.
B5	f83r	3	11	2	1	0	0	Besitzer »linker offener Fransen-Endposten«: danach übertragen; Schritt schließen. Neuer Schritt: einführen; Schluss. Neuer Schritt: am Ziel absetzen — dorthin — weiter — abführen weiter — übertragen Ziel — Sollmaß — weiter — Arbeitsstufe — überführen.
