event_serial	record_unit_id	statement_id	page	visible_surface	master_card_id	visible_owner	apprentice_layer	card_value_de	terminal_status
1	H1	H1-S001	f10r	dchey	MC071	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Grundteil	NONCLOSE
2	H1	H1-S001	f10r	cthoor	MC158	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	bereitstellen · Bereitung	NONCLOSE
3	H1	H1-S001	f10r	char	MC055	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	davon	NONCLOSE
4	H1	H1-S001	f10r	chty	MC086	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Anteil	NONCLOSE
5	H1	H1-S001	f10r	os	MC159	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Aufnahme	NONCLOSE
6	H1	H1-S001	f10r	chair	MC014	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Lauf	NONCLOSE
7	H1	H1-S001	f10r	otytchol	MC069	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	danach · Teil · weiter	NONCLOSE
8	H1	H1-S001	f10r	oky	MC026	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	einsetzen	NONCLOSE
9	H1	H1-S001	f10r	daiin	MC039	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Sollmaß	NONCLOSE
10	H1	H1-S001	f10r	etyd	MC108	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	kurz · Teil	NONCLOSE
11	H1	H1-S002	f10r	qokchy	MC103	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	weiterbearbeiten	NONCLOSE
12	H1	H1-S002	f10r	qotchol	MC163	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	danach · weiter	NONCLOSE
13	H1	H1-S002	f10r	chol	MC153	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	weiter	NONCLOSE
14	H1	H1-S002	f10r	cthy	MC161	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	bereit	NONCLOSE
15	H2	H2-S001	f10r	ycheor	MC075	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Posten · Auszug · Bereitung	NONCLOSE
16	H2	H2-S001	f10r	cthy	MC161	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	bereit	NONCLOSE
17	H2	H2-S001	f10r	chor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Ansatz	NONCLOSE
18	H2	H2-S001	f10r	cthaiin	MC169	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	bereitstellen · Sollmaß	NONCLOSE
19	H2	H2-S001	f10r	qoctholy	MC115	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	bereitstellen · weiter · Posten	NONCLOSE
20	H2	H2-S001	f10r	dy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	dies	NONCLOSE
21	H2	H2-S001	f10r	chy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	dies	NONCLOSE
22	H2	H2-S001	f10r	taiin	MC039	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Sollmaß	NONCLOSE
23	H2	H2-S001	f10r	shy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	dies	NONCLOSE
24	H2	H2-S002	f10r	qotchor	MC013	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Folgeansatz	NONCLOSE
25	H2	H2-S002	f10r	chor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Ansatz	NONCLOSE
26	H2	H2-S002	f10r	otol	MC053	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	danach · weiter	NONCLOSE
27	H2	H2-S002	f10r	chol	MC153	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	weiter	NONCLOSE
28	H2	H2-S002	f10r	cholor	MC157	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	derselbe Ansatz	NONCLOSE
29	H2	H2-S002	f10r	chol	MC153	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	weiter	NONCLOSE
30	H2	H2-S002	f10r	daiin	MC039	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Sollmaß	NONCLOSE
31	H2	H2-S002	f10r	dar	MC055	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	davon	NONCLOSE
