event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	portable_card_value_de	owner_argument_policy	portable_scope
1	H1-S001	H1	f10r	dchey	MC071	Grundteil	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	LOCAL_LEARNED_WHOLE_CARD
2	H1-S001	H1	f10r	cthoor	MC158	bereitstellen · Bereitung	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	LOCAL_LEARNED_WHOLE_CARD
3	H1-S001	H1	f10r	char	MC055	davon	INHERITED_SOURCE_OR_PREVIOUS_BATCH	ACTIVE_CROSS_RECORD
4	H1-S001	H1	f10r	chty	MC086	Anteil	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
5	H1-S001	H1	f10r	os	MC159	Aufnahme	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	LOCAL_LEARNED_WHOLE_CARD
6	H1-S001	H1	f10r	chair	MC014	Lauf	LOCAL_SOURCE_PATH_TARGET	LOCAL_LEARNED_WHOLE_CARD
7	H1-S001	H1	f10r	otytchol	MC069	danach · Teil · weiter	ACTIVE_ITEM_AND_LOCAL_UNIT	LOCAL_LEARNED_WHOLE_CARD
8	H1-S001	H1	f10r	oky	MC026	einsetzen	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
9	H1-S001	H1	f10r	daiin	MC039	Sollmaß	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
10	H1-S001	H1	f10r	etyd	MC108	kurz · Teil	ACTIVE_BATCH_OR_STATION_STATE	LOCAL_LEARNED_WHOLE_CARD
11	H1-S002	H1	f10r	qokchy	MC103	weiterbearbeiten	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
12	H1-S002	H1	f10r	qotchol	MC163	danach · weiter	ACTIVE_SEQUENCE	LOCAL_LEARNED_WHOLE_CARD
13	H1-S002	H1	f10r	chol	MC153	weiter	ACTIVE_SEQUENCE	ACTIVE_CROSS_RECORD
14	H1-S002	H1	f10r	cthy	MC161	bereit	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
15	H2-S001	H2	f10r	ycheor	MC075	Posten · Auszug · Bereitung	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	LOCAL_LEARNED_WHOLE_CARD
16	H2-S001	H2	f10r	cthy	MC161	bereit	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
17	H2-S001	H2	f10r	chor	MC080	Ansatz	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
18	H2-S001	H2	f10r	cthaiin	MC169	bereitstellen · Sollmaß	ACTIVE_BATCH_OR_STATION_STATE	LOCAL_LEARNED_WHOLE_CARD
19	H2-S001	H2	f10r	qoctholy	MC115	bereitstellen · weiter · Posten	ACTIVE_BATCH_OR_STATION_STATE	LOCAL_LEARNED_WHOLE_CARD
20	H2-S001	H2	f10r	dy	MC123	dies	ACTIVE_WORK_ITEM	ACTIVE_CROSS_RECORD
21	H2-S001	H2	f10r	chy	MC123	dies	ACTIVE_WORK_ITEM	ACTIVE_CROSS_RECORD
22	H2-S001	H2	f10r	taiin	MC039	Sollmaß	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
23	H2-S001	H2	f10r	shy	MC123	dies	ACTIVE_WORK_ITEM	ACTIVE_CROSS_RECORD
24	H2-S002	H2	f10r	qotchor	MC013	Folgeansatz	ACTIVE_SEQUENCE	ACTIVE_CROSS_RECORD
25	H2-S002	H2	f10r	chor	MC080	Ansatz	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
26	H2-S002	H2	f10r	otol	MC053	danach · weiter	ACTIVE_SEQUENCE	LOCAL_LEARNED_WHOLE_CARD
27	H2-S002	H2	f10r	chol	MC153	weiter	ACTIVE_SEQUENCE	ACTIVE_CROSS_RECORD
28	H2-S002	H2	f10r	cholor	MC157	derselbe Ansatz	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
29	H2-S002	H2	f10r	chol	MC153	weiter	ACTIVE_SEQUENCE	ACTIVE_CROSS_RECORD
30	H2-S002	H2	f10r	daiin	MC039	Sollmaß	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
31	H2-S002	H2	f10r	dar	MC055	davon	INHERITED_SOURCE_OR_PREVIOUS_BATCH	ACTIVE_CROSS_RECORD
32	H2-S003	H2	f10r	oykchor	MC027	Posten · bearbeiten · Bereitung	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	LOCAL_LEARNED_WHOLE_CARD
33	H2-S003	H2	f10r	shor	MC080	Ansatz	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
34	H2-S003	H2	f10r	chor	MC080	Ansatz	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
35	H2-S003	H2	f10r	chy	MC123	dies	ACTIVE_WORK_ITEM	ACTIVE_CROSS_RECORD
36	H2-S003	H2	f10r	kaiiin	MC048	Arbeitsstufe	ACTIVE_ITEM_AND_LOCAL_UNIT	LOCAL_LEARNED_WHOLE_CARD
37	H2-S003	H2	f10r	dy	MC123	dies	ACTIVE_WORK_ITEM	ACTIVE_CROSS_RECORD
38	H2-S003	H2	f10r	chodaiin	MC087	Zugabe · Sollmaß	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	LOCAL_LEARNED_WHOLE_CARD
39	H3-S001	H3	f11r	tshol	MC098	Zugabe · abführen	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	LOCAL_LEARNED_WHOLE_CARD
40	H3-S001	H3	f11r	schoal	MC049	Zugabe · Ziel	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	LOCAL_LEARNED_WHOLE_CARD
41	H3-S001	H3	f11r	cfhy	MC129	auswringen · Posten	LOCAL_MEDIUM_PATH_OR_PRODUCT	LOCAL_LEARNED_WHOLE_CARD
42	H3-S001	H3	f11r	shfydaiin	MC111	halten · Sollmaß	ACTIVE_BATCH_OR_STATION_STATE	LOCAL_LEARNED_WHOLE_CARD
43	H3-S001	H3	f11r	cphy	MC156	nachseihen · Posten	LOCAL_MEDIUM_PATH_OR_PRODUCT	LOCAL_LEARNED_WHOLE_CARD
44	H3-S001	H3	f11r	shey	MC119	Klarauszug	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
45	H3-S001	H3	f11r	tchody	MC037	Zugabe; schließen	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	LOCAL_LEARNED_WHOLE_CARD
46	H3-S002	H3	f11r	shoyty	MC062	Zugabe · Posten · Teil	PICTURE_MATERIAL_OR_LOCAL_PREPARATION	LOCAL_LEARNED_WHOLE_CARD
47	H3-S003	H3	f11r	dchol	MC142	vom vorigen	INHERITED_SOURCE_OR_PREVIOUS_BATCH	ACTIVE_CROSS_RECORD
48	H3-S003	H3	f11r	chy	MC123	dies	ACTIVE_WORK_ITEM	ACTIVE_CROSS_RECORD
49	H3-S003	H3	f11r	kchy	MC117	bearbeiten · Posten	LOCAL_EXEMPLAR_OWNER	LOCAL_LEARNED_WHOLE_CARD
50	H3-S003	H3	f11r	dy	MC123	dies	ACTIVE_WORK_ITEM	ACTIVE_CROSS_RECORD
51	H3-S003	H3	f11r	daiin	MC039	Sollmaß	ACTIVE_WORK_ITEM_OR_BATCH	ACTIVE_CROSS_RECORD
