candidate	ownership	comparison_scope	goal_mode	syntax	checked_cases	coherent	contradicted	source_complete_rows	source_complete_and_coherent	derived_intention_cases	rebound_denotations	independent_meaning_capacity
INTRINSIC_GENERAL_UNBRIDGED_QUOTED_FOOD_TRANSFER	INTRINSIC	GENERAL	UNBRIDGED	QUOTED_FOOD_TRANSFER	17	12	5	0	0	0	0	0
INTRINSIC_GENERAL_UNBRIDGED_NEAREST_WATER_TRANSFER	INTRINSIC	GENERAL	UNBRIDGED	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	0	0
INTRINSIC_GENERAL_UNBRIDGED_EXECUTED_REPRISE	INTRINSIC	GENERAL	UNBRIDGED	EXECUTED_REPRISE	1	0	1	0	0	0	0	0
INTRINSIC_GENERAL_BRIDGED_QUOTED_FOOD_TRANSFER	INTRINSIC	GENERAL	BRIDGED	QUOTED_FOOD_TRANSFER	17	12	5	13	8	13	0	0
INTRINSIC_GENERAL_BRIDGED_NEAREST_WATER_TRANSFER	INTRINSIC	GENERAL	BRIDGED	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	0	0
INTRINSIC_GENERAL_BRIDGED_EXECUTED_REPRISE	INTRINSIC	GENERAL	BRIDGED	EXECUTED_REPRISE	1	0	1	0	0	0	0	0
INTRINSIC_GENERAL_IDEAL_ALL_QUOTED_FOOD_TRANSFER	INTRINSIC	GENERAL	IDEAL_ALL	QUOTED_FOOD_TRANSFER	17	12	5	0	0	0	1	0
INTRINSIC_GENERAL_IDEAL_ALL_NEAREST_WATER_TRANSFER	INTRINSIC	GENERAL	IDEAL_ALL	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	1	0
INTRINSIC_GENERAL_IDEAL_ALL_EXECUTED_REPRISE	INTRINSIC	GENERAL	IDEAL_ALL	EXECUTED_REPRISE	1	0	1	0	0	0	1	0
INTRINSIC_EVAC_ONLY_UNBRIDGED_QUOTED_FOOD_TRANSFER	INTRINSIC	EVAC_ONLY	UNBRIDGED	QUOTED_FOOD_TRANSFER	17	13	4	0	0	0	0	0
INTRINSIC_EVAC_ONLY_UNBRIDGED_NEAREST_WATER_TRANSFER	INTRINSIC	EVAC_ONLY	UNBRIDGED	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	0	0
INTRINSIC_EVAC_ONLY_UNBRIDGED_EXECUTED_REPRISE	INTRINSIC	EVAC_ONLY	UNBRIDGED	EXECUTED_REPRISE	1	0	1	0	0	0	0	0
INTRINSIC_EVAC_ONLY_BRIDGED_QUOTED_FOOD_TRANSFER	INTRINSIC	EVAC_ONLY	BRIDGED	QUOTED_FOOD_TRANSFER	17	13	4	0	0	13	0	0
