position	locus	source_id	word	value	denotation	clause	anchor_eligible	liquor_rebind	confirmed
1	f107v.45	ZL3b|f107v.45|G001	porain	DESIRE	An agent desires the following purpose or predicate; no achievement entailed.	C01	True	0	0
2	f107v.45	ZL3b|f107v.45|G002	okain	DRY	Drying is the intended medical purpose, not a successful physiological effect.	C01	True	0	0
3	f107v.45	ZL3b|f107v.45|G003	okechdy	MOIST_BELLY	One compound noun phrase: belly characterized as moist.	C01	True	0	0
4	f107v.45	ZL3b|f107v.45|G004	dal	WHEN	Introduces the observation guard; does not assert its satisfaction in an actual patient or cook.	C01	True	0	0
5	f107v.45	ZL3b|f107v.45|G005	keeedal	SEEMS_MODERATELY_BOILED	Composite observation predicate on the current food after the first boiling stage. No exact time, temperature or objective degree is measured.	C01	True	0	0
6	f107v.45	ZL3b|f107v.45|G006	shedy	DISCARD	Pour away the selected water; does not silently remove the food or every liquid belonging to it.	C01	True	0	0
7	f107v.45	ZL3b|f107v.45|G007	okeeolkcheey	FIRST	Select the former member W0 of this preparation’s water sequence. Its noun argument is position9 across position8.	C01	True	0	0
8	f107v.45	ZL3b|f107v.45|G008	lkar	IMMEDIATE_TRANSFER	One composite transfer predicate with an immediacy modifier; its food argument is supplied by the declared topic binding. Immediacy does not prove zero air exposure.	C01	True	0	0
9	f107v.45	ZL3b|f107v.45|G009	aiin	WATER	The same water kind at9 and12. FIRST/OTHER create distinct contextual water references; the word itself does not change meaning.	C01	True	0	0
10	f107v.45	ZL3b|f107v.45|G010	al	IN	Same IN relation in transfer postcondition and the reboil location; no TO-versus-IN word polysemy.	C01	True	0	0
11	f107v.46	ZL3b|f107v.46|G001	soain	OTHER	Introduces W1 distinct from previously selected W0, with the same water kind.	C01	True	0	0
12	f107v.46	ZL3b|f107v.46|G002	aiin	WATER	The same water kind at9 and12. FIRST/OTHER create distinct contextual water references; the word itself does not change meaning.	C01	True	0	0
13	f107v.46	ZL3b|f107v.46|G003	chey	LIQUID	Generic liquid kind. Apposition in C01 resolves it to W1; OWN in C03 and the inherited owner schema in C04/C05 resolve it to the food’s intrinsic juice. This context narrowing is an explicit grammar cost, not a fixed JUICE gloss.	C01	True	0	0
14	f107v.46	ZL3b|f107v.46|G004	qolaiin	HOT	HOT(W1), no numeric temperature or patient state.	C01	True	0	0
15	f107v.46	ZL3b|f107v.46|G005	al	IN	Same IN relation in transfer postcondition and the reboil location; no TO-versus-IN word polysemy.	C01	True	0	0
16	f107v.46	ZL3b|f107v.46|G006	chedy	THAT_WATER	Resumes the W1 introduced by OTHER WATER, not W0.	C01	True	0	0
17	f107v.46	ZL3b|f107v.46|G007	kedy	THOROUGH_REBOIL	Composite AGAIN + thorough BOIL. Introduces a second boiling event, distinct from the first moderately boiled appearance. Its internal three-part content is counted as a lexical cost.	C01	True	0	0
18	f107v.46	ZL3b|f107v.46|G008	qoteey	UNTIL	SOFT is the instructed endpoint; UNTIL does not guarantee eventual reachability.	C01	True	0	0
19	f107v.46	ZL3b|f107v.46|G009	oteey	BOILED_FOOD	Same kind at19/38: the current cooked portion at19, a variable of that same kind under NO at38. A new generic binder, not a switch to all objects.	C01	True	0	0
20	f107v.46	ZL3b|f107v.46|G010	qokeeylkain	SOFT	Softness endpoint of the same food; not successful drying or evacuation.	C01	True	0	0
21	f107v.47	ZL3b|f107v.47|G001	y	FOR	Same relation to a use/purpose at21,29,46. C02 norm, C03 reason and C05 relevance scopes are declared by productions; FOR does not itself create a medical effect.	C02	False	0	0
22	f107v.47	ZL3b|f107v.47|G002	cheey	EVACUATION	Same evacuation goal at22/47, resumed by THIS_USE30.	C02	False	0	0
23	f107v.47	ZL3b|f107v.47|G003	qokeey	BOIL	One boiling operation in the C02 prohibition, C03 quoted reprise and C05 duration comparison. Occurrence mode comes from the production, not a new word meaning.	C02	False	0	0
24	f107v.47	ZL3b|f107v.47|G004	okeoteey	NOT	In C02 negates permission for FULLY(BOIL), not all boiling, not the evacuation goal and not the retention desire.	C02	False	0	0
25	f107v.47	ZL3b|f107v.47|G005	qokey	FULLY	One completion modifier: BOIL has a thorough-preparation endpoint; RETAIN has complete own-juice retention. These two chosen endpoint interpretations are explicit semantic assumptions, not a shared numerical scale.	C02	False	0	0
