edition	model	sector	clock	title_locus	title_raw	title_representation	title_definite	body_loci	body_representation	body_known_mask
ZL3b	LITERAL	1	09:30	f67r2.1	ykshy s aram	ykshy s aram	True	f67r2.13,f67r2.14,f67r2.15	opodchol s ain aldy soeey doiin oldy dolchsody	11111111
ZL3b	LITERAL	2	10:30	f67r2.2	ykecho ols eesydy	ykecho ols eesydy	True	f67r2.16,f67r2.17,f67r2.18	oda[eiin:iiin] okoes oekain y otchey soraiir dy qopchy daiin dal	0111111111
ZL3b	LITERAL	3	11:30	f67r2.3	[{c'}:@164;]ey shs okar	[{c'}:@164;]ey shs okar	False	f67r2.19,f67r2.20,f67r2.21,f67r2.22	ydchos ain ar amy chocfhy saral sain am ar okal	1111111111
ZL3b	LITERAL	4	00:30	f67r2.4	shekchy sykos	shekchy sykos	True	f67r2.23,f67r2.24,f67r2.25	oparchy salsain sodar ofar ar ydam	111111
ZL3b	LITERAL	5	01:30	f67r2.5	ykeody okchy	ykeody okchy	True	f67r2.26,f67r2.27,f67r2.28	yteoor yto ykor okeo r aiin am okain a[m:g]	111000010
ZL3b	LITERAL	6	02:30	f67r2.6	dchetay	dchetay	True	f67r2.29,f67r2.30,f67r2.31	ytody saiin ochol olol opcholdy	11111
ZL3b	LITERAL	7	03:30	f67r2.7	ykchy kchey ykchys	ykchy kchey ykchys	True	f67r2.32,f67r2.33,f67r2.34	dosar odas air alaiin dokan oear odal ofar oeoldan	111111111
ZL3b	LITERAL	8	04:30	f67r2.8	chkchdar	chkchdar	True	f67r2.35,f67r2.36,f67r2.37	chol [g:d]iin okol ytor daiin or ytoaiin	1011111
ZL3b	LITERAL	9	05:30	f67r2.9	ykar ykaly	ykar ykaly	True	f67r2.38,f67r2.39,f67r2.40	otoldos octhole sor chedaiin dy yteos oiin og	11111111
ZL3b	LITERAL	10	06:30	f67r2.10	lkshy kchy okar	lkshy kchy okar	False	f67r2.41,f67r2.42,f67r2.43	ytoeopchey chekody sosho chos ockhy daiin aiin os qsg	111111111
ZL3b	LITERAL	11	07:30	f67r2.11	chky chykchs chy	chky chykchs chy	True	f67r2.44,f67r2.45,f67r2.46,f67r2.47	ofydy sheody aiin ycheody es odaiiin yekees oraly yfain	111111111
ZL3b	LITERAL	12	08:30	f67r2.12	ykees ykchos	ykees ykchos	True	f67r2.48,f67r2.49,f67r2.50,f67r2.51	todaiin dain dy os choer aiin choee[a:y] sal da[d:g]aiin	111000010
ZL3b	LEGACY_ROOT_EXACT	1	09:30	f67r2.1	ykshy s aram	H s ar	True	f67r2.13,f67r2.14,f67r2.15	ood+H s ai al+d o oii ol+d ol+Hs+od	11111111
ZL3b	LEGACY_ROOT_EXACT	2	10:30	f67r2.2	ykecho ols eesydy	e+Ho ol+s eesd	True	f67r2.16,f67r2.17,f67r2.18	oda[eiin:iiin] okoes oekain y otchey soraiir dy o+H aii al	0000000111
ZL3b	LEGACY_ROOT_EXACT	3	11:30	f67r2.3	[{c'}:@164;]ey shs okar	[{c'}:@164;]ey shs okar	False	f67r2.19,f67r2.20,f67r2.21,f67r2.22	Hos ai ar a Ho+cfh ar ai a ar ok	1111111111
ZL3b	LEGACY_ROOT_EXACT	4	00:30	f67r2.4	shekchy sykos	H+k+H k+os	True	f67r2.23,f67r2.24,f67r2.25	o+H al+s od o ar a	111111
ZL3b	LEGACY_ROOT_EXACT	5	01:30	f67r2.5	ykeody okchy	e+od ok+H	True	f67r2.26,f67r2.27,f67r2.28	e+o o or ok+o r aii a okain a[m:g]	111000000
ZL3b	LEGACY_ROOT_EXACT	6	02:30	f67r2.6	dchetay	H+t	True	f67r2.29,f67r2.30,f67r2.31	od aii o+H ol+ol o+H+d	11111
ZL3b	LEGACY_ROOT_EXACT	7	03:30	f67r2.7	ykchy kchey ykchys	H H Hs	True	f67r2.32,f67r2.33,f67r2.34	os od+s air al ok o od o o+ol+d	111111111
ZL3b	LEGACY_ROOT_EXACT	8	04:30	f67r2.8	chkchdar	Hk+Hd	True	f67r2.35,f67r2.36,f67r2.37	chol [g:d]iin okol or aii or o	0001111
ZL3b	LEGACY_ROOT_EXACT	9	05:30	f67r2.9	ykar ykaly	ar al	True	f67r2.38,f67r2.39,f67r2.40	ot+ol+d+os o+cth+e sor chedaiin dy e+os oii o	11000111
ZL3b	LEGACY_ROOT_EXACT	10	06:30	f67r2.10	lkshy kchy okar	l+k+H H ok	False	f67r2.41,f67r2.42,f67r2.43	o+o+H H+k+od o+Ho Hos o+ckh aii aii os s	111111111
ZL3b	LEGACY_ROOT_EXACT	11	07:30	f67r2.11	chky chykchs chy	Hk Hk+Hs H	True	f67r2.44,f67r2.45,f67r2.46,f67r2.47	od H+od aii H+od es od e+kees or ai	111111111
ZL3b	LEGACY_ROOT_EXACT	12	08:30	f67r2.12	ykees ykchos	ees Hos	True	f67r2.48,f67r2.49,f67r2.50,f67r2.51	todaiin dain dy os Hoer aii choee[a:y] sal da[d:g]aiin	000000000
IT2a	LITERAL	1	09:30	f67r2.1	ykchyr aram	ykchyr aram	True	f67r2.13,f67r2.14,f67r2.15	opodchol dain aldy sochy doiin oldy dylchsody	1111111
IT2a	LITERAL	2	10:30	f67r2.2	ykecho ols eesydy	ykecho ols eesydy	True	f67r2.16,f67r2.17,f67r2.18	odaiin otocs oekain y otchoy soraiis dy qofchy daiin dal	1111111111
