event_id	pass910_event_id	dictionary_entry_id	physical_page	source_page	register	locus	source_kind	usage_class	line_order	token_index	surface	visible_owner_de	owner_binding_required	owner_description_de	component_recipe	meaning_mode	repair_origin	prior_local_code	atomic_reading_de	fluent_token_de	line_is_sentence_end	analysis_source	reading_channel	spoken_unit_id	second_reading_de	transfer_decision
P912-E0152	P910-E0152	P912-D1267	f13r	f13r	HERBAL	f13r.1	P	PROSE	1	1	torshor	grosse abgebildete Pflanze mit Knollenwurzel	NO	grosse abgebildete Pflanze mit Knollenwurzel	T+OR+SH+OR	LEARNED_COMPONENT_RECIPE	UNCHANGED	NONE	BEARBEITEN/MARKIEREN · ANSATZ/EINTRAG · HALTEN · ANSATZ/EINTRAG	den Teil bearbeiten; mit dem Pflanzenansatz; den Ansatz halten; mit dem Pflanzenansatz	NO	PASS909_EXTENDED_RECIPE	WORKSHOP_PROSE	P917-I0092	Den Ansatz einstellen und halten.	COMPOSED_PROSE_KEEP
P912-E0153	P910-E0153	P912-D0729	f13r	f13r	HERBAL	f13r.1	P	PROSE	1	2	opchy	grosse abgebildete Pflanze mit Knollenwurzel	NO	grosse abgebildete Pflanze mit Knollenwurzel	O+P+Y	LEARNED_COMPONENT_RECIPE	UNCHANGED	NONE	GANG · BEGINNEN/EINSETZEN · DIESER POSTEN	den Verarbeitungsgang ausführen; den Teil einsetzen; diesen Posten	NO	PASS909_EXTENDED_RECIPE	WORKSHOP_PROSE	P917-I0093	Diesen Posten ausführen und einsetzen.	COMPOSED_PROSE_KEEP
P912-E0154	P910-E0154	P912-D1176	f13r	f13r	HERBAL	f13r.1	P	PROSE	1	3	shol	grosse abgebildete Pflanze mit Knollenwurzel	NO	grosse abgebildete Pflanze mit Knollenwurzel	SH+OL	LEARNED_COMPONENT_RECIPE	UNCHANGED	NONE	HALTEN · FORTSETZEN	den Ansatz halten; fortsetzen	NO	PASS909_EXTENDED_RECIPE	WORKSHOP_PROSE	P917-I0094	Weiter halten.	COMPOSED_PROSE_KEEP
P912-E0155	P910-E0155	P912-D0390	f13r	f13r	HERBAL	f13r.1	P	PROSE	1	4	dy	grosse abgebildete Pflanze mit Knollenwurzel	NO	grosse abgebildete Pflanze mit Knollenwurzel	Y	LEARNED_COMPONENT_RECIPE	UNCHANGED	NONE	DIESER POSTEN	diesen Posten	NO	PASS908_EXACT_RECIPE	WORKSHOP_PROSE	P917-I0095	Diesen Posten ausführen und einsetzen.	COMPOSED_PROSE_KEEP
P912-E0156	P910-E0156	P912-D0998	f13r	f13r	HERBAL	f13r.1	P	PROSE	1	5	qopchy	grosse abgebildete Pflanze mit Knollenwurzel	NO	grosse abgebildete Pflanze mit Knollenwurzel	O+P+Y	LEARNED_COMPONENT_RECIPE	UNCHANGED	NONE	GANG · BEGINNEN/EINSETZEN · DIESER POSTEN	den Verarbeitungsgang ausführen; den Teil einsetzen; diesen Posten	NO	PASS909_EXTENDED_RECIPE	WORKSHOP_PROSE	P917-I0095	Diesen Posten ausführen und einsetzen.	COMPOSED_PROSE_KEEP
P912-E0157	P910-E0157	P912-D1176	f13r	f13r	HERBAL	f13r.1	P	PROSE	1	6	shol	grosse abgebildete Pflanze mit Knollenwurzel	NO	grosse abgebildete Pflanze mit Knollenwurzel	SH+OL	LEARNED_COMPONENT_RECIPE	UNCHANGED	NONE	HALTEN · FORTSETZEN	den Ansatz halten; fortsetzen	NO	PASS909_EXTENDED_RECIPE	WORKSHOP_PROSE	P917-I0096	Weiter halten.	COMPOSED_PROSE_KEEP
P912-E0158	P910-E0158	P912-D0728	f13r	f13r	HERBAL	f13r.1	P	PROSE	1	7	opchor	grosse abgebildete Pflanze mit Knollenwurzel	NO	grosse abgebildete Pflanze mit Knollenwurzel	O+P+CH+OR	LEARNED_COMPONENT_RECIPE	UNCHANGED	NONE	GANG · BEGINNEN/EINSETZEN · ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG	den Verarbeitungsgang ausführen; den Teil einsetzen; den Pflanzenteil entnehmen; mit dem Pflanzenansatz	NO	PASS909_EXTENDED_RECIPE	WORKSHOP_PROSE	P917-I0097	Den Ansatz ausführen, einsetzen und entnehmen.	COMPOSED_PROSE_KEEP
P912-E0159	P910-E0159	P912-D0396	f13r	f13r	HERBAL	f13r.1	P	PROSE	1	8	dypchy	grosse abgebildete Pflanze mit Knollenwurzel	NO	grosse abgebildete Pflanze mit Knollenwurzel	D_ADDR+Y+P+Y	LEARNED_COMPONENT_RECIPE	UNCHANGED	NONE	TEILADRESSE · DIESER POSTEN · BEGINNEN/EINSETZEN · DIESER POSTEN	an der Teiladresse; diesen Posten; den Teil einsetzen; diesen Posten	NO	PASS909_EXTENDED_RECIPE	WORKSHOP_PROSE	P917-I0098	Aus diesem Teil diesen Posten einsetzen.	COMPOSED_PROSE_KEEP
P912-E0160	P910-E0160	P912-D0344	f13r	f13r	HERBAL	f13r.1	P	PROSE	1	9	dchg	grosse abgebildete Pflanze mit Knollenwurzel	NO	grosse abgebildete Pflanze mit Knollenwurzel	D_ADDR+CH+LOCAL_CHAR_G	REGISTER_COMPOSITION_WITH_LOCAL_SIGN	UNCHANGED	NONE	TEILADRESSE · ENTNEHMEN/ABLESEN · G-KENNZEICHEN	an der Teiladresse; den Pflanzenteil entnehmen; mit lokalem G-Kennzeichen	NO	HEURISTIC_PLUS_LOCAL_SIGN	WORKSHOP_PROSE	P917-I0099	Aus diesem Teil entnehmen mit g-Zeichen.	COMPOSED_PROSE_KEEP
P912-E0161	P910-E0161	P912-D0345	f13r	f13r	HERBAL	f13r.2	P	PROSE	2	1	dchol	grosse abgebildete Pflanze mit Knollenwurzel	NO	grosse abgebildete Pflanze mit Knollenwurzel	D_ADDR+OL	LEARNED_COMPONENT_RECIPE	UNCHANGED	NONE	TEILADRESSE · FORTSETZEN	an der Teiladresse; fortsetzen	NO	PASS909_EXTENDED_RECIPE	WORKSHOP_PROSE	P917-I0100	Weiter aus diesem Teil diesen Posten halten und zugeben.	COMPOSED_PROSE_KEEP
