source_page	physical_page	locus	usage_classes	visible_owner_de	events	surfaces	recipes	spoken_units	complete_second_reading_de
f13r	f13r	f13r.1	PROSE	grosse abgebildete Pflanze mit Knollenwurzel	9	torshor · opchy · shol · dy · qopchy · shol · opchor · dypchy · dchg	T+OR+SH+OR | O+P+Y | SH+OL | Y | O+P+Y | SH+OL | O+P+CH+OR | D_ADDR+Y+P+Y | D_ADDR+CH+LOCAL_CHAR_G	8	Den Ansatz einstellen und halten. Diesen Posten ausführen und einsetzen. Weiter halten. Diesen Posten ausführen und einsetzen. Weiter halten. Den Ansatz ausführen, einsetzen und entnehmen. Aus diesem Teil diesen Posten einsetzen. Aus diesem Teil entnehmen mit g-Zeichen.
f13r	f13r	f13r.2	PROSE	grosse abgebildete Pflanze mit Knollenwurzel	11	dchol · chol · dol · shkchy · ydal · shy · ykchy · qoty · daiin · s · y	D_ADDR+OL | OL | D_ADDR+OL | SH+K+Y | Y+AL | Y | Y+K+Y | OT+Y | AIIN | S | Y	4	Weiter aus diesem Teil diesen Posten halten und zugeben. Diesen Posten zugeben zur Ziel- oder Anschlussstelle. Danach nach Sollmaß diesen Posten wählen. Diesen Posten wählen.
f13r	f13r	f13r.3	PROSE	grosse abgebildete Pflanze mit Knollenwurzel	11	s · y · dchor · shaiin · oeees · ykor · chor · ytshy · ykchy · kchy · dar	S | Y | D_ADDR+CH+OR | SH+AIIN | O+EEE+S | Y+K+OR | CH+OR | Y+T+Y | Y+K+Y | K+Y | D_ADDR+AR	10	Diesen Posten wählen. Aus diesem Teil diesen Posten und den Ansatz entnehmen. Nach Sollmaß halten. Vollständig ausführen und wählen. Diesen Posten und den Ansatz zugeben. Den Ansatz entnehmen. Diesen Posten einstellen. Diesen Posten zugeben. Diesen Posten zugeben. Aus diesem Teil von der Entnahmestelle diesen Posten ausführen.
f13r	f13r	f13r.4	PROSE	grosse abgebildete Pflanze mit Knollenwurzel	3	qodchy · ytchy · otchor	O+D_ADDR+Y | Y+T+Y | OT+CH+OR	3	Aus diesem Teil von der Entnahmestelle diesen Posten ausführen. Diesen Posten einstellen. Danach den Ansatz entnehmen.
f13r	f13r	f13r.5	PROSE	grosse abgebildete Pflanze mit Knollenwurzel	8	shorodo · shy · tshy · kchol · dpchy · qopchy · otchol · cfholdy	SH+OR+O+D_ADDR+O | Y | T+Y | K+OL | D_ADDR+P+Y | O+P+Y | OT+CH+OL | CFH+OL+DY	7	Aus diesem Teil den Ansatz halten und ausführen. Diesen Posten einstellen. Weiter zugeben. Aus diesem Teil diesen Posten einsetzen. Diesen Posten ausführen und einsetzen. Danach weiter entnehmen. Weiter pressen; fertig.
f13r	f13r	f13r.6	PROSE	grosse abgebildete Pflanze mit Knollenwurzel	9	tchor · dor · daiin · qotchol · okchy · okchor · oiin · chckhy · d	T+CH+OR | D_ADDR+OR | AIIN | OT+CH+OL | OK+Y | OK+CH+OR | O+IIN | CKH+Y | D_ADDR	6	Den Ansatz einstellen und entnehmen. Danach weiter aus diesem Teil nach Sollmaß den Ansatz entnehmen. Diesen Posten ansetzen. Den Ansatz ansetzen und entnehmen. Auf der angegebenen Stufe ausführen. Aus diesem Teil diesen Posten ansetzen durch den Durchlass.
f13r	f13r	f13r.7	PROSE	grosse abgebildete Pflanze mit Knollenwurzel	9	dchy · qoky · chol · dy · qoy · d · oldy · okchor · doaiin	D_ADDR+Y | OK+Y | OL | Y | O+Y | D_ADDR | OL+DY | OK+CH+OR | D_ADDR+O+AIIN	5	Aus diesem Teil diesen Posten ansetzen durch den Durchlass. Weiter diesen Posten ausführen. Weiter aus diesem Teil weiterarbeiten; fertig. Den Ansatz ansetzen und entnehmen. Aus diesem Teil nach Sollmaß ausführen.
f13r	f13r	f13r.8	PROSE	grosse abgebildete Pflanze mit Knollenwurzel	7	shochy · qokchy · torchy · k · s · okchey · daiin	HO+Y | OK+Y | T+OR+Y | K | S | OK+Y | AIIN	6	Den Stoffteil und diesen Posten ansetzen. Den Ansatz und diesen Posten einstellen. Zugeben. Wählen. Diesen Posten ansetzen. Weiter nach Sollmaß weiterarbeiten; fertig.
f13r	f13r	f13r.9	PROSE	grosse abgebildete Pflanze mit Knollenwurzel	7	oldy · shey · chol · doiin · ykoly · okchal · daldy	OL+DY | SH+E+Y | OL | D_ADDR+O+IIN | Y+K+OL+Y | OK+CH+AL | AL+DY	6	Weiter nach Sollmaß weiterarbeiten; fertig. Diesen Posten kurz halten. Weiter aus diesem Teil auf der angegebenen Stufe ausführen. Weiter diesen Posten zugeben. Ansetzen und entnehmen zur Ziel- oder Anschlussstelle. Zur Ziel- oder Anschlussstelle weiterarbeiten; fertig.
f13r	f13r	f13r.10	PROSE	grosse abgebildete Pflanze mit Knollenwurzel	3	sotchy · kchy · okorory	S+OT+Y | K+Y | OK+OR+OR+Y	3	Danach diesen Posten wählen. Diesen Posten zugeben. Den Ansatz und diesen Posten ansetzen.
f75r	f75r	f75r.1	PROSE	mehrstufige Becken-, Figuren- und Laufseite	7	kchedykary · okeey · qokar · shyk · chedy · qotar · shedy	K+CHD+Y+K+AR+Y | OK+EE+Y | OK+AR | Y+K | CHD+Y | OT+AR | SHED+DY	6	Von der Entnahmestelle diesen Posten zugeben, umsetzen und zugeben. Diesen Posten länger ansetzen. Von der Entnahmestelle ansetzen. Diesen Posten zugeben. Diesen Posten umsetzen. Danach von der Entnahmestelle absetzen; fertig.
f75r	f75r	f75r.2	PROSE	mehrstufige Becken-, Figuren- und Laufseite	8	dain · shey · ly · ssheol · qoldy · chedykar · chekeedy · ror	AIN | SH+E+Y | L+Y | S+SH+E+OL | OL+DY | CHD+Y+K+AR | CHK+EE+DY | R+OR	6	Als eine Portion diesen Posten kurz halten. Weiter diesen Posten kurz wählen und halten in den nächsten Lauf. Weiter weiterarbeiten; fertig. Von der Entnahmestelle diesen Posten umsetzen und zugeben. Länger behandeln; fertig. Den Ansatz kennzeichnen.
f75r	f75r	f75r.3	PROSE	mehrstufige Becken-, Figuren- und Laufseite	9	qokain · chal · orchey · qey · kain · sheeky · ltain · olkar · or	OK+AIN | CH+AL | OR+Y | E+Y | K+AIN | SH+EE+K+Y | L+T+AIN | SOLK+AR | OR	7	Als eine Portion ansetzen. Entnehmen zur Ziel- oder Anschlussstelle. Als eine Portion den Ansatz und diesen Posten kurz zugeben. Diesen Posten länger halten und zugeben. Als eine Portion einstellen in den nächsten Lauf. Von der Entnahmestelle auffangen. Auf der zweiten Stufe den Ansatz und diesen Posten zugeben und ausführen durch den Durchlass in den nächsten Lauf zur Innenstelle.
f75r	f75r	f75r.4	PROSE	mehrstufige Becken-, Figuren- und Laufseite	10	dackhy · lkamo · ykeey · lshey · kal · dy · shey · ok · shey · qokeedy	DA+CKH+Y | L+K+AM_ADDR+O | Y+K+EE+Y | L+SH+E+Y | K+AL | Y | SH+E+Y | OK | SH+E+Y | OK+EE+DY	8	Auf der zweiten Stufe den Ansatz und diesen Posten zugeben und ausführen durch den Durchlass in den nächsten Lauf zur Innenstelle. Diesen Posten länger zugeben. Diesen Posten kurz halten in den nächsten Lauf. Zugeben zur Ziel- oder Anschlussstelle. Diesen Posten kurz halten. Ansetzen. Diesen Posten kurz halten. Länger ansetzen; fertig.
f75r	f75r	f75r.5	PROSE	mehrstufige Becken-, Figuren- und Laufseite	10	shey · kar · chey · ckhey · r · ain · ol · olsheedy · qokeey · qoky	SH+E+Y | K+AR | Y | CKH+E+Y | R | AIN | OL | OL+SH+EE+DY | OK+EE+Y | OK+Y	6	Diesen Posten kurz halten. Von der Entnahmestelle zugeben. Diesen Posten kurz kennzeichnen durch den Durchlass. Weiter als eine Portion länger halten; fertig. Diesen Posten länger ansetzen. Diesen Posten ansetzen.
f75r	f75r	f75r.6	PROSE	mehrstufige Becken-, Figuren- und Laufseite	8	pcheykeeor · olky · dar · okey · qokain · chcthy · qokeedy · qoky	P+Y+K+EE+OR | SOLK+Y | D_ADDR+AR | OK+E+Y | OK+AIN | CH+CTH+Y | OK+EE+DY | OK+Y	7	Diesen Posten und den Ansatz länger einsetzen und zugeben. Diesen Posten auffangen. Aus diesem Teil von der Entnahmestelle diesen Posten kurz ansetzen. Als eine Portion ansetzen. Diesen Posten entnehmen und bereitstellen. Länger ansetzen; fertig. Diesen Posten ansetzen.
f75r	f75r	f75r.7	PROSE	mehrstufige Becken-, Figuren- und Laufseite	9	pchedy · qokshdy · ytain · chedy · qokar · chy · lol · chedy · qoky	P+CHD+DY | OK+SH+DY | Y+T+AIN | CHD+Y | OK+AR | Y | L+OL | CHD+Y | OK+Y	7	Einsetzen und umsetzen; fertig. Ansetzen und halten; fertig. Als eine Portion diesen Posten einstellen. Diesen Posten umsetzen. Von der Entnahmestelle ansetzen. Weiter diesen Posten umsetzen in den nächsten Lauf. Diesen Posten ansetzen.
f75r	f75r	f75r.8	PROSE	mehrstufige Becken-, Figuren- und Laufseite	8	sor · chey · qokardy · dsheckhy · qokain · chckhy · lshedy · okeedy	S+OR | Y | OK+AR+DY | D_ADDR+SH+E+CKH+Y | OK+AIN | CKH+Y | LSH+E+DY | OK+EE+DY	6	Den Ansatz wählen. Von der Entnahmestelle diesen Posten ansetzen; fertig. Aus diesem Teil diesen Posten kurz halten durch den Durchlass. Als eine Portion ansetzen. Diesen Posten kurz spülen durch den Durchlass; fertig. Länger ansetzen; fertig.
f75r	f75r	f75r.9	PROSE	mehrstufige Becken-, Figuren- und Laufseite	9	qokchdy · chcthy · lo · qokedy · qokan · checkhy · qokar · olchedy · sal	OK+CHD+DY | CH+CTH+Y | L+O | OK+E+DY | OK+AN | CH+E+CKH+Y | OK+AR | OL+CHD+DY | S+AL	9	Ansetzen und umsetzen; fertig. Diesen Posten entnehmen und bereitstellen. Ausführen in den nächsten Lauf. Kurz ansetzen; fertig. Ansetzen. Diesen Posten kurz entnehmen durch den Durchlass. Von der Entnahmestelle ansetzen. Weiter umsetzen; fertig. Wählen zur Ziel- oder Anschlussstelle.
f75r	f75r	f75r.10	PROSE	mehrstufige Becken-, Figuren- und Laufseite	10	dshor · qotar · chdy · shey · qokain · chckhy · dy · otey · tedy · lchedy	D_ADDR+SH+OR | OT+AR | CHD+Y | SH+E+Y | OK+AIN | CKH+Y | Y | OT+E+Y | T+E+DY | L+CHD+DY	6	Aus diesem Teil den Ansatz halten. Danach von der Entnahmestelle diesen Posten umsetzen. Diesen Posten kurz halten. Als eine Portion ansetzen. Danach diesen Posten kurz einstellen durch den Durchlass; fertig. Umsetzen in den nächsten Lauf; fertig.
f75r	f75r	f75r.11	PROSE	mehrstufige Becken-, Figuren- und Laufseite	10	qokeedy · qokair · oly · qokeedy · dy · qokal · okar · shedy · dor · chekam	OK+EE+DY | OK+AIR | OL+Y | OK+EE+DY | Y | OK+AL | OK+AR | SHED+DY | D_ADDR+OR | CHK+AM_ADDR	7	Länger ansetzen; fertig. Ansetzen entlang des Laufs. Weiter diesen Posten länger ansetzen; fertig. Diesen Posten ansetzen zur Ziel- oder Anschlussstelle. Von der Entnahmestelle ansetzen. Absetzen; fertig. Aus diesem Teil den Ansatz behandeln zur Innenstelle.
f75r	f75r	f75r.12	PROSE	mehrstufige Becken-, Figuren- und Laufseite	11	ssheckhy · qokal · oly · shey · r · ol · cheey · shey · dy · olshedy · qoky	S+SH+E+CKH+Y | OK+AL | OL+Y | SH+E+Y | R | OL | SH+EE+Y | SH+E+Y | Y | OL+SH+E+DY | OK+Y	8	Diesen Posten kurz wählen und halten durch den Durchlass. Ansetzen zur Ziel- oder Anschlussstelle. Weiter diesen Posten kurz halten. Kennzeichnen. Weiter diesen Posten länger halten. Diesen Posten kurz halten. Weiter diesen Posten kurz halten; fertig. Diesen Posten ansetzen.
f75r	f75r	f75r.13	PROSE	mehrstufige Becken-, Figuren- und Laufseite	8	pchedy · keedy · qokedy · qokedy · qokedy · qokedy · qokain · olshedy	P+CHD+DY | K+EE+DY | OK+E+DY | OK+E+DY | OK+E+DY | OK+E+DY | OK+AIN | OL+SH+E+DY	8	Einsetzen und umsetzen; fertig. Länger zugeben; fertig. Kurz ansetzen; fertig. Kurz ansetzen; fertig. Kurz ansetzen; fertig. Kurz ansetzen; fertig. Als eine Portion ansetzen. Weiter kurz halten; fertig.
f75r	f75r	f75r.14	PROSE	mehrstufige Becken-, Figuren- und Laufseite	11	sain · al · keishy · qokain · dy · olshedy · qokain · chckhy · qokain · otar · aly	S+AIN | AL | K+E+SH+Y | OK+AIN | Y | OL+SH+E+DY | OK+AIN | CKH+Y | OK+AIN | OT+AR | AL+Y	7	Als eine Portion wählen. Diesen Posten kurz zugeben und halten zur Ziel- oder Anschlussstelle. Als eine Portion ansetzen. Weiter diesen Posten kurz halten; fertig. Als eine Portion ansetzen. Als eine Portion diesen Posten ansetzen durch den Durchlass. Danach von der Entnahmestelle als eine Portion diesen Posten wählen zur Ziel- oder Anschlussstelle.
f75r	f75r	f75r.15	PROSE	mehrstufige Becken-, Figuren- und Laufseite	10	sain · qokain · qolkeeoly · saiin · chedy · sol · or · shedy · okchdy · qoky	S+AIN | OK+AIN | SOLK+EE+OL+Y | S+AIIN | CHD+Y | OL | OR | SHED+DY | OK+CHD+DY | OK+Y	8	Danach von der Entnahmestelle als eine Portion diesen Posten wählen zur Ziel- oder Anschlussstelle. Als eine Portion ansetzen. Weiter diesen Posten länger auffangen. Nach Sollmaß wählen. Diesen Posten umsetzen. Weiter den Ansatz absetzen; fertig. Ansetzen und umsetzen; fertig. Diesen Posten ansetzen.
f75r	f75r	f75r.16	PROSE	mehrstufige Becken-, Figuren- und Laufseite	9	dshedy · qokar · sheedy · lch · shokain · chy · okshedy · qokain · chedy	SH+E+DY | OK+AR | SH+EE+DY | L+CH | SH+OK+AIN | Y | OK+SH+E+DY | OK+AIN | CHD+Y	8	Kurz halten; fertig. Von der Entnahmestelle ansetzen. Länger halten; fertig. Entnehmen in den nächsten Lauf. Als eine Portion halten und ansetzen. Diesen Posten kurz ansetzen und halten; fertig. Als eine Portion ansetzen. Diesen Posten umsetzen.
f75r	f75r	f75r.17	PROSE	mehrstufige Becken-, Figuren- und Laufseite	9	pchedar · shepchy · lshedary · dal · shal · shy · kol · shedy · qokam	P+CHD+AR | SH+E+P+Y | L+SH+E+D_ADDR+AR+Y | AL | SH+AL | Y | K+OL | SHED+DY | OK+AM_ADDR	7	Von der Entnahmestelle einsetzen und umsetzen. Diesen Posten kurz halten und einsetzen. Aus diesem Teil von der Entnahmestelle diesen Posten kurz halten in den nächsten Lauf. Halten zur Ziel- oder Anschlussstelle. Weiter diesen Posten zugeben. Absetzen; fertig. Ansetzen zur Innenstelle.
f75r	f75r	f75r.18	PROSE	mehrstufige Becken-, Figuren- und Laufseite	9	sol · sheedy · qol · shedy · qol · otain · char · sar · oly	OL | SH+EE+DY | OL | SHED+DY | OL | OT+AIN | AR | S+AR | OL+Y	4	Weiter länger halten; fertig. Weiter absetzen; fertig. Weiter danach von der Entnahmestelle als eine Portion wählen. Weiter diesen Posten kurz ansetzen und halten; fertig.
f75r	f75r	f75r.19	PROSE	mehrstufige Becken-, Figuren- und Laufseite	8	qokshedy · qol · shey · qoky · shey · ey · qokain · ar	OK+SH+E+DY | OL | SH+E+Y | OK+Y | SH+E+Y | E+Y | OK+AIN | AR	6	Weiter diesen Posten kurz ansetzen und halten; fertig. Weiter diesen Posten kurz halten. Diesen Posten ansetzen. Diesen Posten kurz halten. Als eine Portion diesen Posten kurz ansetzen. Von der Entnahmestelle diesen Posten kennzeichnen.
f75r	f75r	f75r.20	PROSE	mehrstufige Becken-, Figuren- und Laufseite	9	ry · shey · qor · chey · lchey · lo · ydain · shey · qokain	R+Y | SH+E+Y | OR | Y | L+Y | L+O | Y+AIN | SH+E+Y | OK+AIN	5	Von der Entnahmestelle diesen Posten kennzeichnen. Diesen Posten kurz halten. Den Ansatz und diesen Posten ausführen in den nächsten Lauf. Als eine Portion diesen Posten kurz halten. Als eine Portion ansetzen.
