gdt754_patch_id	surface	page	locus	token_ordinal	token_index	reader_exact	current_authority	old_source_prose_de	old_spoken_de	patch_scope	gdt754_render_de	background_hypothesis_de	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G754-P0001	dkol	f2r	f2r.6	4	4	1	dkol#GLOBAL	erhitzten Drogenstoff abmessen	erhitzten Drogenstoff abmessen	GDT754_WHOLE_DEFAULT	Arbeitshypothese: heiß/warm, Mengen-/Maßfeld, Stoff-/Materialrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Mengen-/Maßfeld, Stoff-/Materialrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	saiin dain d dkol sor ytoldy dchol dchy cthy	OPEN	0	0
G754-P0002	daiiny	f2r	f2r.7	3	3	1	daiiny#GLOBAL	drei Teile abmessen und abschließen	drei Teile abmessen und abschließen	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Anfangsstufe, Index/Stufe III, Mengen-/Maßfeld, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Anfangsstufe, Index/Stufe III, Mengen-/Maßfeld, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	shor ckhy daiiny chol dan	OPEN	0	0
G754-P0003	chotchey	f2v	f2v.7	2	2	1	chotchey#GLOBAL	Trockenansatz kalt bis zur Mittelstufe nachtrocknen	Trockenansatz kalt bis zur Mittelstufe nachtrocknen	GDT754_WHOLE_DEFAULT	Arbeitshypothese: kalt/kühl, trocken, Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: kalt/kühl, trocken, Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	daiin chotchey qoteeey chokeos chees chr cheaiin	OPEN	0	0
G754-P0004	chees	f2v	f2v.7	5	5	1	chees#GLOBAL	vollständig getrocknete Kräutermischung	vollständig getrocknete Kräutermischung	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, End-/Vollstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, End-/Vollstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	daiin chotchey qoteeey chokeos chees chr cheaiin	OPEN	0	0
G754-P0005	ycheor	f3r	f3r.2	1	1	1	ycheor#GLOBAL	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	ycheor chor dam qotcham cham	OPEN	0	0
G754-P0006	ochor	f3r	f3r.3	1	1	1	ochor#GLOBAL	Pflanzenteil im Ansatz	Pflanzenteil im Ansatz	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	ochor qocheor chol daiin cthy	OPEN	0	0
G754-P0007	chololy	f3r	f3r.5	2	2	1	chololy#GLOBAL	seihe den getrockneten Drogenstoff ab	seihe den getrockneten Drogenstoff ab	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Stoff-/Materialrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Stoff-/Materialrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	qokol chololy s cham cthol	OPEN	0	0
G754-P0008	qokody	f3r	f3r.13	4	4	1	qokody#GLOBAL	Ansatz erhitzen und fertigstellen	Ansatz erhitzen und fertigstellen	GDT754_WHOLE_DEFAULT	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	qokeey qot shey qokody qokshey cheody	OPEN	0	0
G754-P0009	ycheor	f3r	f3r.20	1	1	1	ycheor#GLOBAL	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	ycheor chol odaiin chol s aiin okol or am	OPEN	0	0
G754-P0010	daiidy	f3v	f3v.2	1	1	1	daiidy#GLOBAL	drei Maße, vollständig abgeteilt	drei Maße, vollständig abgeteilt	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Index/Stufe II, Mengen-/Maßfeld, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe II, Mengen-/Maßfeld, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	daiidy qoteeol okeeor okor olytol dol dar	OPEN	0	0
G754-P0011	okeol	f3v	f3v.9	2	2	1	okeol#GLOBAL	Grundansatz bis zur mittleren Heizstufe erwärmt	Grundansatz bis zur mittleren Heizstufe erwärmt	GDT754_WHOLE_DEFAULT	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	Wärme-/Mittelstufenbezug; genaue Operation und Stoffrolle offen	ytcheear okeol cthodoaly chor cthy	OPEN	0	0
G754-P0012	chky	f3v	f3v.13	6	6	1	chky#GLOBAL	getrocknete Droge leicht erhitzen	getrocknete Droge leicht erhitzen	GDT754_WHOLE_DEFAULT	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	shar shkaiin qokchy yty cthal chky	OPEN	0	0
G754-P0013	keam	f3v	f3v.14	4	4	0	keam#GLOBAL	ein Maß bis zur Mittelstufe erhitzter Droge	ein Maß bis zur Mittelstufe erhitzter Droge	GDT754_WHOLE_DEFAULT	Arbeitshypothese: heiß/warm, Mittelstufe, Index/Stufe I, Mengen-/Maßfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Mittelstufe, Index/Stufe I, Mengen-/Maßfeld; genaue Ganzformbedeutung offen	dain sheam y keam	OPEN	0	0
G754-P0014	kcheor	f4v	f4v.11	2	2	1	kcheor#GLOBAL	eine Portion bis zur Mittelstufe heiß getrocknete Droge	eine Portion bis zur Mittelstufe heiß getrocknete Droge	GDT754_WHOLE_DEFAULT	Arbeitshypothese: heiß/warm, trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	sho kcheor shody shtaiin qotol daiin	OPEN	0	0
G754-P0015	okeol	f4v	f4v.12	3	3	1	okeol#GLOBAL	Grundansatz bis zur mittleren Heizstufe erwärmt	Grundansatz bis zur mittleren Heizstufe erwärmt	GDT754_WHOLE_DEFAULT	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	Wärme-/Mittelstufenbezug; genaue Operation und Stoffrolle offen	qokey sho okeol s keey shar char ody	OPEN	0	0
G754-P0016	qoaiin	f5r	f5r.3	1	1	1	qoaiin#GLOBAL	nimm drei Teile	nimm drei Teile	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	qoaiin otan chy daiin oteeeb chocthy otchy qotchody	OPEN	0	0
