evidence_id	surface	later_source	evidence_scope	strength_tier_0_4	role_axes	working_value_de	source_decision	source_occurrences	source_pages	literal_identity	confirmed_lexeme	component_export_credit
G754-E0001	lchar	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	trockene Holzfraktion I	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0002	lchor	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	holziger Pflanzenteil	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0003	ldol	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	Holzdrogenstoff abmessen	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0004	lkaiin	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	Holzdroge, heiß auf Stufe III	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0005	lky	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	Holzdroge, leicht erhitzt	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0006	raraiin	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	drei Teile der ersten Wurzelfraktion	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0007	salchey	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	Saatrohstoff bis zur mittleren Trockenstufe	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0008	schaiin	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	getrocknetes Saatgut, Stufe III	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0009	solkeedy	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	Saatgutansatz vollständig erhitzt	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0010	solkeey	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	Saatgutansatz vollständig erhitzen	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0011	solor	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	eine Portion Saatgutansatz	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0012	ssheey	GDT737	NEGATIVE_LITERAL_PROVENANCE	0	NONE	vollständig eingeweichtes Saatgut	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	NA	NA	OPEN	0	0
G754-E0013	lkaiin	GDT738	OCCURRENCE_SCOPED_WHOLE	4	HOT|LEVEL_III	Wärme-/Verarbeitungsstufe III	SUPPORTED_SCOPED_WHOLE	43	NA	OPEN	0	0
G754-E0014	lky	GDT738	OCCURRENCE_SCOPED_WHOLE	1	HOT	erhitzte oder intensiv bearbeitete Grundform	UNDECIDABLE	16	NA	OPEN	0	0
G754-E0015	qokeol	GDT753	CORRECTED_COMPLETE_PAIR_HYPOTHESIS	2	HOT|MIDDLE_STAGE	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	DEMOTE_LITERAL_COMMAND_PATIENT_AND_PREPARATION_ROLE	34	24	OPEN	0	0
G754-E0016	okeol	GDT753	CORRECTED_COMPLETE_PAIR_HYPOTHESIS	2	HOT|MIDDLE_STAGE	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	DEMOTE_LITERAL_COMMAND_PATIENT_AND_PREPARATION_ROLE	41	24	OPEN	0	0
