surface	reading_id	current_source_prose_de	source_composition	source_composition_axes	source_patient_or_carrier_components	current_source_prose_active_cells	current_source_prose_active_pages	current_reader_exact_cells	gdt737_quarantine_decision	later_evidence_sources	later_local_role_sources	later_recurring_role_sources	strongest_later_evidence_tier_0_4	later_role_axes_any	later_role_axes_selected	source_literal_prose_spoken_after_gdt754	renderer_disposition	renderer_confidence	current_working_whole_default_de	retained_background_hypothesis_de	literal_identity	confirmed_lexeme	component_export_credit
air	air#GLOBAL	zweite Drogenfraktion	AIR_FRACTION_II	LEVEL_II|PART	NONE	56	35	44	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	LEVEL_II|PART	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: Index/Stufe II, Teil-/Fraktionsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe II, Teil-/Fraktionsfeld; genaue Ganzformbedeutung offen	OPEN	0	0
lkaiin	lkaiin#GLOBAL	Holzdroge, heiß auf Stufe III	L_WOOD+K_HOT+A+IIN_III	HOT|LEVEL_III|MATERIAL	L_WOOD	48	21	43	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	GDT738	GDT738	NONE	4	HOT|LEVEL_III	HOT|LEVEL_III	0	GLOBAL_COMPOSITION_HYPOTHESIS_PLUS_LOCAL_ROLE_PATCH	R2_OCCURRENCE_SCOPED_ROLE_GLOBAL_HYPOTHESIS_ONLY	Arbeitshypothese: heiß/warm, Index/Stufe III, Stoff-/Materialrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Index/Stufe III, Stoff-/Materialrolle; genaue Ganzformbedeutung offen	OPEN	0	0
opchedy	opchedy#GLOBAL	vollständig getrocknetes Pulverpräparat	O_PREP+P_POWDER+CHEDY_DRY_FINISHED	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	O_PREP|P_POWDER	48	34	36	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
okeol	okeol#GLOBAL	Grundansatz bis zur mittleren Heizstufe erwärmt	O_PREP+K_HOT+E_MIDDLE+OL_BASE	HOT|MIDDLE_STAGE|MATERIAL|PREPARATION	O_PREP|OL_BASE	44	25	41	NO_GDT737_QUARANTINE_ROW	GDT753	NONE	NONE	2	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	0	CORRECTED_PAIR_SHARED_ROLE_HYPOTHESIS	H1_CORRECTED_WHOLE_PAIR_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	Wärme-/Mittelstufenbezug; genaue Operation und Stoffrolle offen	OPEN	0	0
qokeol	qokeol#GLOBAL	erhitze den Drogenstoff bis zur Mittelstufe	QO_COMMAND+K_HOT+E_MIDDLE+OL_MATERIAL	HOT|MIDDLE_STAGE|MATERIAL|PROCESS	OL_MATERIAL	39	26	34	NO_GDT737_QUARANTINE_ROW	GDT753	NONE	NONE	2	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	0	CORRECTED_PAIR_SHARED_ROLE_HYPOTHESIS	H1_CORRECTED_WHOLE_PAIR_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	Wärme-/Mittelstufenbezug; genaue Operation und Stoffrolle offen	OPEN	0	0
olchedy	olchedy#GLOBAL	Holzdroge im Ansatz fertig getrocknet	O_PREP+L_WOOD+CHEDY_DRY_FINISHED	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	O_PREP|L_WOOD	34	22	20	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
chees	chees#GLOBAL	vollständig getrocknete Kräutermischung	CH_DRY+EE_END+S_DRUG_MIXTURE	DRY|END_STAGE|MATERIAL|PREPARATION|PROCESS	S_DRUG_MIXTURE	32	27	29	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	DRY|END_STAGE|MATERIAL|PREPARATION|PROCESS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: trocken, End-/Vollstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, End-/Vollstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
qopchedy	qopchedy#GLOBAL	nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat	QO_COMMAND+O_PREP+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	DRY|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	O_PREP|P_POWDER	31	21	23	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	DRY|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: trocken, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
okam	okam#GLOBAL	ein Maß heißen Ansatzes	O_PREP+K_HOT+AM_UNIT_I	HOT|LEVEL_I|AMOUNT|MATERIAL|PREPARATION	O_PREP	27	24	17	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	HOT|LEVEL_I|AMOUNT|MATERIAL|PREPARATION	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: heiß/warm, Index/Stufe I, Mengen-/Maßfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Index/Stufe I, Mengen-/Maßfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
qoaiin	qoaiin#GLOBAL	nimm drei Teile	QO_COMMAND+AIIN_III	LEVEL_III|PROCESS	NONE	21	19	20	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	LEVEL_III|PROCESS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
