surface	reading_id	current_working_meaning_de	current_layer	current_semantic_scope	source_dictionary_occurrences	source_dictionary_pages	source_dictionary_loci	current_score_not_probability	current_confidence	source_gdt	source_decision_id	source_card_type	source_composition	source_composition_axes	source_patient_or_carrier_components	source_strength	source_status	source_rival_de	literal_identity	confirmed_lexeme	component_export_credit	current_cache_cells	current_cache_pages	current_reader_exact_cells	current_reader_exact_pages	current_source_prose_active_cells	current_source_prose_active_pages	current_authority_counts	gdt737_quarantine_decision	gdt737_retired_head_words
air	air#GLOBAL	zweite Drogenfraktion	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	56	35	55	76	W3_SOLID_WORKING_THEORY	GDT664	G664-D034	PRODUCTIVE_COMPOUND	AIR_FRACTION_II	LEVEL_II|PART	NONE	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V41_REPLACEABLE	Menge oder Qualitätsgrad II	OPEN	0	0	56	35	44	29	56	35	air#GLOBAL:56	NO_GDT737_QUARANTINE_ROW	NONE
lkaiin	lkaiin#GLOBAL	Holzdroge, heiß auf Stufe III	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	48	21	47	76	W3_SOLID_WORKING_THEORY	GDT664	G664-D013	PRODUCTIVE_COMPOUND	L_WOOD+K_HOT+A+IIN_III	HOT|LEVEL_III|MATERIAL	L_WOOD	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V41_REPLACEABLE	erwärmte Flüssigkeit, Stufe III	OPEN	0	0	48	21	43	19	48	21	lkaiin#GLOBAL:48	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	holz
opchedy	opchedy#GLOBAL	vollständig getrocknetes Pulverpräparat	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	48	34	46	76	W3_SOLID_WORKING_THEORY	GDT664	G664-D003	PRODUCTIVE_COMPOUND	O_PREP+P_POWDER+CHEDY_DRY_FINISHED	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	O_PREP|P_POWDER	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V41_REPLACEABLE	getrocknete Droge ohne Pulverwert	OPEN	0	0	48	34	36	28	48	34	opchedy#GLOBAL:48	NO_GDT737_QUARANTINE_ROW	NONE
okeol	okeol#GLOBAL	Grundansatz bis zur mittleren Heizstufe erwärmt	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	44	25	40	58	W2_PROVISIONAL_WORKING	GDT664	G664-D030	PRODUCTIVE_COMPOUND	O_PREP+K_HOT+E_MIDDLE+OL_BASE	HOT|MIDDLE_STAGE|MATERIAL|PREPARATION	O_PREP|OL_BASE	MEDIUM_EXACT_WHOLE	ACCEPT_V41_REPLACEABLE	heißer Drogenstoff ohne Auszug	OPEN	0	0	44	25	41	24	44	25	okeol#GLOBAL:44	NO_GDT737_QUARANTINE_ROW	NONE
qokeol	qokeol#GLOBAL	erhitze den Drogenstoff bis zur Mittelstufe	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	39	26	38	76	W3_SOLID_WORKING_THEORY	GDT666	G666-D149	PRODUCTIVE_COMPOUND	QO_COMMAND+K_HOT+E_MIDDLE+OL_MATERIAL	HOT|MIDDLE_STAGE|MATERIAL|PROCESS	OL_MATERIAL	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V43_REPLACEABLE	bereite einen heißen Auszug	OPEN	0	0	39	26	34	24	39	26	qokeol#GLOBAL:39	NO_GDT737_QUARANTINE_ROW	NONE
olchedy	olchedy#GLOBAL	Holzdroge im Ansatz fertig getrocknet	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	34	22	33	76	W3_SOLID_WORKING_THEORY	GDT664	G664-D095	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+CHEDY_DRY_FINISHED	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	O_PREP|L_WOOD	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V41_REPLACEABLE	lexikalisierte getrocknete Drogenbasis	OPEN	0	0	34	22	20	15	34	22	olchedy#GLOBAL:34	NO_GDT737_QUARANTINE_ROW	NONE
chees	chees#GLOBAL	vollständig getrocknete Kräutermischung	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	32	27	32	76	W3_SOLID_WORKING_THEORY	GDT664	G664-D101	PRODUCTIVE_COMPOUND	CH_DRY+EE_END+S_DRUG_MIXTURE	DRY|END_STAGE|MATERIAL|PREPARATION|PROCESS	S_DRUG_MIXTURE	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V41_REPLACEABLE	vollständig getrocknetes Saatgut	OPEN	0	0	32	27	29	24	32	27	chees#GLOBAL:32	NO_GDT737_QUARANTINE_ROW	NONE
qopchedy	qopchedy#GLOBAL	nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	31	21	27	76	W3_SOLID_WORKING_THEORY	GDT666	G666-D129	PRODUCTIVE_COMPOUND	QO_COMMAND+O_PREP+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	DRY|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	O_PREP|P_POWDER	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V43_REPLACEABLE	nimm vollständig getrocknetes Pulver	OPEN	0	0	31	21	23	17	31	21	qopchedy#GLOBAL:31	NO_GDT737_QUARANTINE_ROW	NONE
okam	okam#GLOBAL	ein Maß heißen Ansatzes	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	27	24	27	76	W3_SOLID_WORKING_THEORY	GDT664	G664-D139	PRODUCTIVE_COMPOUND	O_PREP+K_HOT+AM_UNIT_I	HOT|LEVEL_I|AMOUNT|MATERIAL|PREPARATION	O_PREP	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V41_REPLACEABLE	eingekochter Ansatz ohne Reduktionssignal	OPEN	0	0	27	24	17	17	27	24	okam#GLOBAL:27	NO_GDT737_QUARANTINE_ROW	NONE
qoaiin	qoaiin#GLOBAL	nimm drei Teile	GLOBAL_V48_DEFAULT	KNOWN_EXACT_WHOLE	21	19	21	76	W3_SOLID_WORKING_THEORY	GDT666	G666-D041	PRODUCTIVE_COMPOUND	QO_COMMAND+AIIN_III	LEVEL_III|PROCESS	NONE	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V43_REPLACEABLE	Stufe III ausführen	OPEN	0	0	21	19	20	18	21	19	qoaiin#GLOBAL:21	NO_GDT737_QUARANTINE_ROW	NONE
