bridge_rank	surface	current_source_prose_active_cells	current_source_prose_active_pages	strongest_later_evidence_tier_0_4	selected_role_axes	current_working_whole_default_de	old_source_prose_de	renderer_disposition	historical_register_family	next_historical_comparison_de	comparison_unit	eva_initial_or_substring_value_allowed	literal_identity	confirmed_lexeme	component_export_credit
1	air	56	35	0	LEVEL_II|PART	Arbeitshypothese: Index/Stufe II, Teil-/Fraktionsfeld; genaue Ganzformbedeutung offen	zweite Drogenfraktion	COMPOSITION_AXES_HYPOTHESIS_ONLY	MEASURE_FRACTION_OR_DEGREE_REGISTER	historische Maß-, Fraktions- und Gradkürzel gegen die Ganzformrolle vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
2	lkaiin	48	21	4	HOT|LEVEL_III	Arbeitshypothese: heiß/warm, Index/Stufe III, Stoff-/Materialrolle; genaue Ganzformbedeutung offen	Holzdroge, heiß auf Stufe III	GLOBAL_COMPOSITION_HYPOTHESIS_PLUS_LOCAL_ROLE_PATCH	MEASURE_FRACTION_OR_DEGREE_REGISTER	historische Maß-, Fraktions- und Gradkürzel gegen die Ganzformrolle vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
3	opchedy	48	34	0	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	vollständig getrocknetes Pulverpräparat	COMPOSITION_AXES_HYPOTHESIS_ONLY	RECIPE_ACTION_OR_COMMAND_REGISTER	historische Rezeptverben und gebundene Anweisungskürzel als Ganzformen vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
4	okeol	44	25	2	HOT|MIDDLE_STAGE	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	Grundansatz bis zur mittleren Heizstufe erwärmt	CORRECTED_PAIR_SHARED_ROLE_HYPOTHESIS	QUALITY_STATE_OR_DEGREE_REGISTER	historische Qualitäts-, Zustands- und Gradfelder als Ganzformmuster vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
5	qokeol	39	26	2	HOT|MIDDLE_STAGE	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	erhitze den Drogenstoff bis zur Mittelstufe	CORRECTED_PAIR_SHARED_ROLE_HYPOTHESIS	QUALITY_STATE_OR_DEGREE_REGISTER	historische Qualitäts-, Zustands- und Gradfelder als Ganzformmuster vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
6	olchedy	34	22	0	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Holzdroge im Ansatz fertig getrocknet	COMPOSITION_AXES_HYPOTHESIS_ONLY	RECIPE_ACTION_OR_COMMAND_REGISTER	historische Rezeptverben und gebundene Anweisungskürzel als Ganzformen vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
7	chees	32	27	0	DRY|END_STAGE|MATERIAL|PREPARATION|PROCESS	Arbeitshypothese: trocken, End-/Vollstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	vollständig getrocknete Kräutermischung	COMPOSITION_AXES_HYPOTHESIS_ONLY	RECIPE_ACTION_OR_COMMAND_REGISTER	historische Rezeptverben und gebundene Anweisungskürzel als Ganzformen vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
8	qopchedy	31	21	0	DRY|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	Arbeitshypothese: trocken, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat	COMPOSITION_AXES_HYPOTHESIS_ONLY	RECIPE_ACTION_OR_COMMAND_REGISTER	historische Rezeptverben und gebundene Anweisungskürzel als Ganzformen vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
9	okam	27	24	0	HOT|LEVEL_I|AMOUNT|MATERIAL|PREPARATION	Arbeitshypothese: heiß/warm, Index/Stufe I, Mengen-/Maßfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	ein Maß heißen Ansatzes	COMPOSITION_AXES_HYPOTHESIS_ONLY	MEASURE_FRACTION_OR_DEGREE_REGISTER	historische Maß-, Fraktions- und Gradkürzel gegen die Ganzformrolle vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
10	qoaiin	21	19	0	LEVEL_III|PROCESS	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	nimm drei Teile	COMPOSITION_AXES_HYPOTHESIS_ONLY	MEASURE_FRACTION_OR_DEGREE_REGISTER	historische Maß-, Fraktions- und Gradkürzel gegen die Ganzformrolle vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
