statement_id	register	record_unit_id	page	events	event_ids	phase_runs	templates_used	template_covered_events	template_workshop_sentence_de
H1-S001	HERBAL	H1	f10r	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	8	M09	2	[Pflanzenmaterial kurz abziehen] [Ansatz bereit] [aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen] [Gefäß] [Wasser abziehen; danach Arbeitsflüssigkeit füllen und weiter abziehen] Setze den Posten „abgezogene Flüssigkeitsfraktion“ an der Zielstelle an und bestimme Menge oder Dauer. [verwende abgezogene Flüssigkeitsfraktion; Maß] [abgezogene Flüssigkeitsfraktion kurz füllen]
H1-S002	HERBAL	H1	f10r	4	E011|E012|E013|E014	4	NONE	0	[abgezogene Flüssigkeitsfraktion ansetzen] [danach weiter abziehen] [fortsetzen] [bereit]
H2-S001	HERBAL	H2	f10r	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	8	M08|M06	5	[diesen Ansatz kurz abziehen] [bereit] Bereite den Posten „laufender Pflanzenansatz“ und setze dafür Menge oder Stufe. [Ansatz; auf Maß bereitstellen] [laufender Pflanzenansatz bereit weiterführen] Führe den Posten „laufender Pflanzenansatz“ zur Stelle und setze dort Menge oder Stufe. [laufender Pflanzenansatz; laufender Pflanzenansatz; Maß] [laufender Pflanzenansatz]
H2-S002	HERBAL	H2	f10r	8	E024|E025|E026|E027|E028|E029|E030|E031	6	M01	5	[danach Ansatz abziehen] [Ansatz] [danach fortsetzen] Bereite den Posten „laufender Pflanzenansatz“ vor, setze die angegebene Menge oder Stufe und führe ihn zur bezeichneten Stelle. [fortsetzen; weiterer Ansatz; fortsetzen; Maß; aus dem laufenden Pflanzenansatz]
H2-S003	HERBAL	H2	f10r	7	E032|E033|E034|E035|E036|E037|E038	6	M03|M02	7	Führe den Posten „laufender Pflanzenansatz“ zur Arbeitsstelle, bearbeite ihn dort und führe ihn weiter. [laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz; laufender Pflanzenansatz] Setze für den Posten „laufender Pflanzenansatz“ das erste Maß, bewege ihn und setze am Ziel das nächste Maß. [bis zur Sollstufe zuführen; laufender Pflanzenansatz; auf Maß abziehen]
H3-S001	HERBAL	H3	f11r	7	E039|E040|E041|E042|E043|E044|E045	6	M01	3	[weiter gefüllt halten] [an der Stelle halten] Bereite den Posten „Pflanzenmaterial“ vor, setze die angegebene Menge oder Stufe und führe ihn zur bezeichneten Stelle. [auswringen; Pflanzenmaterial bis zum Maß halten; Pflanzenmaterial hineinführen] [Klarauszug; füllen und abziehen; Schluss]
H3-S002	HERBAL	H3	f11r	1	E046	1	NONE	0	[Fraktion des Ergebnisbestands halten und füllen]
H3-S003	HERBAL	H3	f11r	5	E047|E048|E049|E050|E051	3	NONE	0	[fortsetzen] [Fraktion des Ergebnisbestands; Fraktion des Ergebnisbestands zuführen; Fraktion des Ergebnisbestands] [Maß]
H3-S004	HERBAL	H3	f11r	4	E052|E053|E054|E055	4	NONE	0	[nächster Posten] [weiter ansetzen] [bereit] [nächster Arbeitsposten]
H4-S001	HERBAL	H4	f55v	5	E056|E057|E058|E059|E060	2	NONE	0	[bemessen; Maß; eine Portion davon zuführen; eine Portion davon zuführen] [Arbeitsgang abschließen]
H4-S002	HERBAL	H4	f55v	3	E061|E062|E063	2	NONE	0	[Maß; zweite Teilportion vom Pflanzenmaterial umsetzen] [verwahren]
H4-S003	HERBAL	H4	f55v	4	E064|E065|E066|E067	4	M02	3	Setze für den Posten „zweite Teilportion von Pflanzenmaterial“ das erste Maß, bewege ihn und setze am Ziel das nächste Maß. [zweite Teilportion vom Pflanzenmaterial auf Maß zuführen; Auszug aus der Quelle; zweite Teilportion vom Pflanzenmaterial länger wärmen] [fortsetzen; Schluss]
H4-S004	HERBAL	H4	f55v	6	E068|E069|E070|E071|E072|E073	6	M09|M06	4	[Maß] Setze den Posten „zweite Teilportion von Pflanzenmaterial“ an der Zielstelle an und bestimme Menge oder Dauer. [an die Stelle setzen; zweite Teilportion vom Pflanzenmaterial weiter füllen] [Ansatz] Führe den Posten „laufender Pflanzenansatz“ zur Stelle und setze dort Menge oder Stufe. [laufender Pflanzenansatz; Ansatzportion]
