occurrence_id	template_id	phase_pattern	register	record_unit_id	page	statement_id	run_start	event_ids	concrete_referent_de	template_sentence_de	actual_span_de	selected_in_greedy_edition
O001	M05	MEASURE>HOLD	HERBAL	H1	f10r	H1-S001	7	E009|E010	abgezogene Flüssigkeitsfraktion	Setze für den Posten „abgezogene Flüssigkeitsfraktion“ Menge oder Stufe und halte ihn wie angegeben.	Maß; abgezogene Flüssigkeitsfraktion kurz füllen	NO
O002	M09	APPLY>MEASURE	HERBAL	H1	f10r	H1-S001	6	E008|E009	abgezogene Flüssigkeitsfraktion	Setze den Posten „abgezogene Flüssigkeitsfraktion“ an der Zielstelle an und bestimme Menge oder Dauer.	verwende abgezogene Flüssigkeitsfraktion; Maß	YES
O003	M04	MEASURE>MOVE	HERBAL	H2	f10r	H2-S001	7	E022|E023	laufender Pflanzenansatz	Nimm vom Posten „laufender Pflanzenansatz“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	Maß; laufender Pflanzenansatz	NO
O004	M06	MOVE>MEASURE	HERBAL	H2	f10r	H2-S001	6	E020|E021|E022	laufender Pflanzenansatz	Führe den Posten „laufender Pflanzenansatz“ zur Stelle und setze dort Menge oder Stufe.	laufender Pflanzenansatz; laufender Pflanzenansatz; Maß	YES
O005	M08	PREPARE>MEASURE	HERBAL	H2	f10r	H2-S001	3	E017|E018	laufender Pflanzenansatz	Bereite den Posten „laufender Pflanzenansatz“ und setze dafür Menge oder Stufe.	Ansatz; auf Maß bereitstellen	YES
O006	M01	PREPARE>MEASURE>MOVE	HERBAL	H2	f10r	H2-S002	4	E027|E028|E029|E030|E031	laufender Pflanzenansatz	Bereite den Posten „laufender Pflanzenansatz“ vor, setze die angegebene Menge oder Stufe und führe ihn zur bezeichneten Stelle.	fortsetzen; weiterer Ansatz; fortsetzen; Maß; aus dem laufenden Pflanzenansatz	YES
O007	M04	MEASURE>MOVE	HERBAL	H2	f10r	H2-S002	5	E030|E031	laufender Pflanzenansatz	Nimm vom Posten „laufender Pflanzenansatz“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	Maß; aus dem laufenden Pflanzenansatz	NO
O008	M08	PREPARE>MEASURE	HERBAL	H2	f10r	H2-S002	4	E027|E028|E029|E030	laufender Pflanzenansatz	Bereite den Posten „laufender Pflanzenansatz“ und setze dafür Menge oder Stufe.	fortsetzen; weiterer Ansatz; fortsetzen; Maß	YES
O009	M02	MEASURE>MOVE>MEASURE	HERBAL	H2	f10r	H2-S003	4	E036|E037|E038	laufender Pflanzenansatz	Setze für den Posten „laufender Pflanzenansatz“ das erste Maß, bewege ihn und setze am Ziel das nächste Maß.	bis zur Sollstufe zuführen; laufender Pflanzenansatz; auf Maß abziehen	YES
O010	M03	MOVE>PREPARE>MOVE	HERBAL	H2	f10r	H2-S003	1	E032|E033|E034|E035	laufender Pflanzenansatz	Führe den Posten „laufender Pflanzenansatz“ zur Arbeitsstelle, bearbeite ihn dort und führe ihn weiter.	laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz; laufender Pflanzenansatz	YES
O011	M04	MEASURE>MOVE	HERBAL	H2	f10r	H2-S003	4	E036|E037	laufender Pflanzenansatz	Nimm vom Posten „laufender Pflanzenansatz“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	bis zur Sollstufe zuführen; laufender Pflanzenansatz	YES
O012	M06	MOVE>MEASURE	HERBAL	H2	f10r	H2-S003	3	E035|E036	laufender Pflanzenansatz	Führe den Posten „laufender Pflanzenansatz“ zur Stelle und setze dort Menge oder Stufe.	laufender Pflanzenansatz; bis zur Sollstufe zuführen	NO
O013	M06	MOVE>MEASURE	HERBAL	H2	f10r	H2-S003	5	E037|E038	laufender Pflanzenansatz	Führe den Posten „laufender Pflanzenansatz“ zur Stelle und setze dort Menge oder Stufe.	laufender Pflanzenansatz; auf Maß abziehen	NO
O014	M07	MOVE>PREPARE	HERBAL	H2	f10r	H2-S003	1	E032|E033|E034	laufender Pflanzenansatz	Führe den Posten „laufender Pflanzenansatz“ weiter und beginne damit den nächsten Arbeitsgang.	laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz	YES
O015	M01	PREPARE>MEASURE>MOVE	HERBAL	H3	f11r	H3-S001	3	E041|E042|E043	Pflanzenmaterial	Bereite den Posten „Pflanzenmaterial“ vor, setze die angegebene Menge oder Stufe und führe ihn zur bezeichneten Stelle.	auswringen; Pflanzenmaterial bis zum Maß halten; Pflanzenmaterial hineinführen	YES
O016	M04	MEASURE>MOVE	HERBAL	H3	f11r	H3-S001	4	E042|E043	Pflanzenmaterial	Nimm vom Posten „Pflanzenmaterial“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	Pflanzenmaterial bis zum Maß halten; Pflanzenmaterial hineinführen	NO
O017	M08	PREPARE>MEASURE	HERBAL	H3	f11r	H3-S001	3	E041|E042	Pflanzenmaterial	Bereite den Posten „Pflanzenmaterial“ und setze dafür Menge oder Stufe.	auswringen; Pflanzenmaterial bis zum Maß halten	YES
O018	M02	MEASURE>MOVE>MEASURE	HERBAL	H4	f55v	H4-S003	1	E064|E065|E066	zweite Teilportion von Pflanzenmaterial	Setze für den Posten „zweite Teilportion von Pflanzenmaterial“ das erste Maß, bewege ihn und setze am Ziel das nächste Maß.	zweite Teilportion vom Pflanzenmaterial auf Maß zuführen; Auszug aus der Quelle; zweite Teilportion vom Pflanzenmaterial länger wärmen	YES
O019	M04	MEASURE>MOVE	HERBAL	H4	f55v	H4-S003	1	E064|E065	zweite Teilportion von Pflanzenmaterial	Nimm vom Posten „zweite Teilportion von Pflanzenmaterial“ das angegebene Maß und führe diesen Teil zur bezeichneten Stelle.	zweite Teilportion vom Pflanzenmaterial auf Maß zuführen; Auszug aus der Quelle	YES
