event_id	record	page	owner_noun_de	component_recipe	compact_reading_de	shared_components	transfer_class	copied_surface
E039	H3	f11r	die dicht bluehende Kronenpflanze	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	T+SH+OL	SHARED_ROOT_RECOMBINATION	tshol
E040	H3	f11r	die dicht bluehende Kronenpflanze	SH+O+AL	HALTEN · GANG · ZIEL	SH+O+AL	SHARED_ROOT_RECOMBINATION	schoal
E041	H3	f11r	die dicht bluehende Kronenpflanze	CFH+Y	AUSWRINGEN · DIES	Y	SHARED_ROOT_RECOMBINATION	cfhy
E042	H3	f11r	die dicht bluehende Kronenpflanze	SH+Y+AIIN	HALTEN · DIES · MASS	SH+Y+AIIN	SHARED_ROOT_RECOMBINATION	shfydaiin
E043	H3	f11r	die dicht bluehende Kronenpflanze	P+Y	EINFUELLEN · DIES	Y	SHARED_ROOT_RECOMBINATION	cphy
E044	H3	f11r	die dicht bluehende Kronenpflanze	SH+EE+Y	HALTEN · LANG · DIES	SH+EE+Y	SHARED_ROOT_RECOMBINATION	shey
E045	H3	f11r	die dicht bluehende Kronenpflanze	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	T+O+DY	SHARED_ROOT_RECOMBINATION	tchody
E046	H3	f11r	die dicht bluehende Kronenpflanze	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	SH+O+Y+T+Y	SHARED_ROOT_RECOMBINATION	shoyty
E047	H3	f11r	die dicht bluehende Kronenpflanze	RESUME_CARD	WIEDERAUFNEHMEN	NONE	OWNER_LOCAL_ROOT_RECIPE	dchol
E048	H3	f11r	die dicht bluehende Kronenpflanze	Y	DIES	Y	EXACT_RECIPE_TRANSFER	chy
E049	H3	f11r	die dicht bluehende Kronenpflanze	K+Y	ZUDOSIEREN · DIES	K+Y	SHARED_ROOT_RECOMBINATION	kchy
E050	H3	f11r	die dicht bluehende Kronenpflanze	Y	DIES	Y	EXACT_RECIPE_TRANSFER	dy
E051	H3	f11r	die dicht bluehende Kronenpflanze	AIIN	MASS	AIIN	EXACT_RECIPE_TRANSFER	daiin
E052	H3	f11r	die dicht bluehende Kronenpflanze	OT+Y	DANACH · DIES	OT+Y	SHARED_ROOT_RECOMBINATION	qotchy
E053	H3	f11r	die dicht bluehende Kronenpflanze	OK+OL	ANSETZEN · FORTSETZEN	OK+OL	SHARED_ROOT_RECOMBINATION	okchol
E054	H3	f11r	die dicht bluehende Kronenpflanze	CTH+Y	BEREIT · DIES	Y	SHARED_ROOT_RECOMBINATION	cthy
E055	H3	f11r	die dicht bluehende Kronenpflanze	Y	DIES	Y	EXACT_RECIPE_TRANSFER	dy
E101	B1	f81v	das gemeinsame zweireihige Becken	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	OK+DY	SHARED_ROOT_RECOMBINATION	qokedy
E102	B1	f81v	das gemeinsame zweireihige Becken	OK+AIIN	ANSETZEN · MASS	OK+AIIN	SHARED_ROOT_RECOMBINATION	okaiin
E103	B1	f81v	das gemeinsame zweireihige Becken	K+AIR	ZUDOSIEREN · LAUF	K	SHARED_ROOT_RECOMBINATION	kair
E104	B1	f81v	das gemeinsame zweireihige Becken	OK+AL	ANSETZEN · ZIEL	OK+AL	SHARED_ROOT_RECOMBINATION	okal
E105	B1	f81v	das gemeinsame zweireihige Becken	AR	QUELLE	NONE	OWNER_LOCAL_ROOT_RECIPE	sar
E106	B1	f81v	das gemeinsame zweireihige Becken	OL	FORTSETZEN	OL	SHARED_ROOT_RECOMBINATION	ol
E107	B1	f81v	das gemeinsame zweireihige Becken	K+AIN	ZUDOSIEREN · PORTION	K	SHARED_ROOT_RECOMBINATION	kain
E108	B1	f81v	das gemeinsame zweireihige Becken	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	OL+K	SHARED_ROOT_RECOMBINATION	olkain
E109	B1	f81v	das gemeinsame zweireihige Becken	AL	ZIEL	AL	SHARED_ROOT_RECOMBINATION	al
E110	B1	f81v	das gemeinsame zweireihige Becken	OL	FORTSETZEN	OL	SHARED_ROOT_RECOMBINATION	ol
E111	B1	f81v	das gemeinsame zweireihige Becken	R+OL	KUEHLEN · FORTSETZEN	OL	SHARED_ROOT_RECOMBINATION	rol
E112	B1	f81v	das gemeinsame zweireihige Becken	L	WEITERLEITEN	NONE	OWNER_LOCAL_ROOT_RECIPE	dl
E113	B1	f81v	das gemeinsame zweireihige Becken	OL+OR	FORTSETZEN · ANSATZ	OL	SHARED_ROOT_RECOMBINATION	olor
E114	B1	f81v	das gemeinsame zweireihige Becken	OL	FORTSETZEN	OL	SHARED_ROOT_RECOMBINATION	ol
E115	B1	f81v	das gemeinsame zweireihige Becken	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	SH+AL	SHARED_ROOT_RECOMBINATION	sheckhal
E116	B1	f81v	das gemeinsame zweireihige Becken	AIIN	MASS	AIIN	EXACT_RECIPE_TRANSFER	daiin
E117	B1	f81v	das gemeinsame zweireihige Becken	OK+EE+AL	ANSETZEN · LANG · ZIEL	OK+EE+AL	SHARED_ROOT_RECOMBINATION	qokeedal
E118	B1	f81v	das gemeinsame zweireihige Becken	AIIN	MASS	AIIN	EXACT_RECIPE_TRANSFER	daiin
E119	B1	f81v	das gemeinsame zweireihige Becken	CKH+Y	DURCHLASS · DIES	Y	SHARED_ROOT_RECOMBINATION	chckhy
E120	B1	f81v	das gemeinsame zweireihige Becken	CHD+DY	UMSETZEN · SCHLUSS	DY	SHARED_ROOT_RECOMBINATION	schedy
E121	B1	f81v	das gemeinsame zweireihige Becken	OL	FORTSETZEN	OL	SHARED_ROOT_RECOMBINATION	qol
E122	B1	f81v	das gemeinsame zweireihige Becken	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	SH+K+DY	SHARED_ROOT_RECOMBINATION	sshkchdy
E123	B1	f81v	das gemeinsame zweireihige Becken	CHD+Y	UMSETZEN · DIES	Y	SHARED_ROOT_RECOMBINATION	chedy
E124	B1	f81v	das gemeinsame zweireihige Becken	OL	FORTSETZEN	OL	SHARED_ROOT_RECOMBINATION	ol
E125	B1	f81v	das gemeinsame zweireihige Becken	SHED+DY	ABSETZEN · SCHLUSS	DY	SHARED_ROOT_RECOMBINATION	shedy
E126	B1	f81v	das gemeinsame zweireihige Becken	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	OL+DY	SHARED_ROOT_RECOMBINATION	qolchedy
E127	B1	f81v	das gemeinsame zweireihige Becken	OK+AIN	ANSETZEN · PORTION	OK	SHARED_ROOT_RECOMBINATION	qokain
E128	B1	f81v	das gemeinsame zweireihige Becken	CKH+Y	DURCHLASS · DIES	Y	SHARED_ROOT_RECOMBINATION	shckhy
E129	B1	f81v	das gemeinsame zweireihige Becken	L	WEITERLEITEN	NONE	OWNER_LOCAL_ROOT_RECIPE	dl
E130	B1	f81v	das gemeinsame zweireihige Becken	R+AL	KUEHLEN · ZIEL	AL	SHARED_ROOT_RECOMBINATION	ral
E131	B1	f81v	das gemeinsame zweireihige Becken	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	OK+DY	SHARED_ROOT_RECOMBINATION	qokchdy
E132	B1	f81v	das gemeinsame zweireihige Becken	Y	DIES	Y	EXACT_RECIPE_TRANSFER	chey
E133	B1	f81v	das gemeinsame zweireihige Becken	OL	FORTSETZEN	OL	SHARED_ROOT_RECOMBINATION	ol
E134	B1	f81v	das gemeinsame zweireihige Becken	CHK+E+Y	WAERMEN · KURZ · DIES	Y	SHARED_ROOT_RECOMBINATION	cheky
E135	B1	f81v	das gemeinsame zweireihige Becken	OL	FORTSETZEN	OL	SHARED_ROOT_RECOMBINATION	ol
E136	B1	f81v	das gemeinsame zweireihige Becken	SHED+DY	ABSETZEN · SCHLUSS	DY	SHARED_ROOT_RECOMBINATION	shedy
E137	B1	f81v	das gemeinsame zweireihige Becken	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	OK+DY	SHARED_ROOT_RECOMBINATION	qokedy
E138	B1	f81v	das gemeinsame zweireihige Becken	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	OK+DY	SHARED_ROOT_RECOMBINATION	qokedy
E139	B1	f81v	das gemeinsame zweireihige Becken	CKH+Y	DURCHLASS · DIES	Y	SHARED_ROOT_RECOMBINATION	chckhy
E140	B1	f81v	das gemeinsame zweireihige Becken	OK+Y	ANSETZEN · DIES	OK+Y	SHARED_ROOT_RECOMBINATION	qoky
E141	B1	f81v	das gemeinsame zweireihige Becken	LSH+O	WASCHEN · GANG	O	SHARED_ROOT_RECOMBINATION	lsho
E142	B1	f81v	das gemeinsame zweireihige Becken	OK+E+Y	ANSETZEN · KURZ · DIES	OK+Y	SHARED_ROOT_RECOMBINATION	qokey
E143	B1	f81v	das gemeinsame zweireihige Becken	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	DY	SHARED_ROOT_RECOMBINATION	lshedy
E144	B1	f81v	das gemeinsame zweireihige Becken	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	DY	SHARED_ROOT_RECOMBINATION	lshedy
E145	B1	f81v	das gemeinsame zweireihige Becken	CHD+Y	UMSETZEN · DIES	Y	SHARED_ROOT_RECOMBINATION	chedy
E146	B1	f81v	das gemeinsame zweireihige Becken	SOLK+Y	AUFFANGEN · DIES	Y	SHARED_ROOT_RECOMBINATION	qolky
E147	B1	f81v	das gemeinsame zweireihige Becken	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	AL	SHARED_ROOT_RECOMBINATION	lchedal
E148	B1	f81v	das gemeinsame zweireihige Becken	OL	FORTSETZEN	OL	SHARED_ROOT_RECOMBINATION	qol
E149	B1	f81v	das gemeinsame zweireihige Becken	OT+AR	DANACH · QUELLE	OT	SHARED_ROOT_RECOMBINATION	otar
E150	B1	f81v	das gemeinsame zweireihige Becken	T+E+Y	EINTRAGEN · KURZ · DIES	T+Y	SHARED_ROOT_RECOMBINATION	ytey
E151	B1	f81v	das gemeinsame zweireihige Becken	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	OK+DY	SHARED_ROOT_RECOMBINATION	okchedy
E152	B1	f81v	das gemeinsame zweireihige Becken	OK+AL	ANSETZEN · ZIEL	OK+AL	SHARED_ROOT_RECOMBINATION	qokal
E153	B1	f81v	das gemeinsame zweireihige Becken	OK+EE+Y	ANSETZEN · LANG · DIES	OK+EE+Y	SHARED_ROOT_RECOMBINATION	okeey
E154	B1	f81v	das gemeinsame zweireihige Becken	OL	FORTSETZEN	OL	SHARED_ROOT_RECOMBINATION	qol
E155	B1	f81v	das gemeinsame zweireihige Becken	SHED+DY	ABSETZEN · SCHLUSS	DY	SHARED_ROOT_RECOMBINATION	cheedy
E156	B1	f81v	das gemeinsame zweireihige Becken	AL	ZIEL	AL	SHARED_ROOT_RECOMBINATION	sal
E157	B1	f81v	das gemeinsame zweireihige Becken	E+OL	KURZ · FORTSETZEN	OL	SHARED_ROOT_RECOMBINATION	teol
E158	B1	f81v	das gemeinsame zweireihige Becken	CHD+DY	UMSETZEN · SCHLUSS	DY	SHARED_ROOT_RECOMBINATION	dchdy
E159	B1	f81v	das gemeinsame zweireihige Becken	L+Y	WEITERLEITEN · DIES	Y	SHARED_ROOT_RECOMBINATION	ly
E160	B1	f81v	das gemeinsame zweireihige Becken	SH+E+OL	HALTEN · KURZ · FORTSETZEN	SH+OL	SHARED_ROOT_RECOMBINATION	dsheol
E161	B1	f81v	das gemeinsame zweireihige Becken	O+IIN	GANG · STUFE	O	SHARED_ROOT_RECOMBINATION	oiiin
E162	B1	f81v	das gemeinsame zweireihige Becken	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	EE+DY	SHARED_ROOT_RECOMBINATION	olkeedy
E163	B1	f81v	das gemeinsame zweireihige Becken	SHED+DY	ABSETZEN · SCHLUSS	DY	SHARED_ROOT_RECOMBINATION	tedy
E164	B1	f81v	das gemeinsame zweireihige Becken	CHK+E+Y	WAERMEN · KURZ · DIES	Y	SHARED_ROOT_RECOMBINATION	cheky
E165	B1	f81v	das gemeinsame zweireihige Becken	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	SH+DY	SHARED_ROOT_RECOMBINATION	shckhedy
E166	B1	f81v	das gemeinsame zweireihige Becken	AL	ZIEL	AL	SHARED_ROOT_RECOMBINATION	chal
