component	compact_value_de	historical_layer	H3_events_with_root	B1_events_with_root	transfer_class	H3_recipes	B1_recipes	owner_expansion_de
AIIN	MASS	MEASURE_STAGE_SIGN	2	3	SHARED_ROOT	AIIN|SH+Y+AIIN	AIIN|OK+AIIN	H3: Wert innerhalb der Kronenpflanze; B1: Wert innerhalb des zweireihigen Beckens
AIN	PORTION	MEASURE_STAGE_SIGN	0	3	B1_LOCAL_ROOT	NONE	K+AIN|OK+AIN|OL+K+AIN	nur im lokalen Auftrag belegt
AIR	LAUF	STATE_OBJECT_SIGN	0	1	B1_LOCAL_ROOT	NONE	K+AIR	nur im lokalen Auftrag belegt
AL	ZIEL	RELATION_ADDRESS_SIGN	1	9	SHARED_ROOT	SH+O+AL	AL|L+CHD+AL|OK+AL|OK+EE+AL|R+AL|SH+E+CKH+AL	H3: Wert innerhalb der Kronenpflanze; B1: Wert innerhalb des zweireihigen Beckens
AR	QUELLE	RELATION_ADDRESS_SIGN	0	2	B1_LOCAL_ROOT	NONE	AR|OT+AR	nur im lokalen Auftrag belegt
CFH	AUSWRINGEN	OPERATION_SIGN	1	0	H3_LOCAL_ROOT	CFH+Y	NONE	nur im lokalen Auftrag belegt
CH	ABNEHMEN	OPERATION_SIGN	1	0	H3_LOCAL_ROOT	T+CH+O+DY	NONE	nur im lokalen Auftrag belegt
CHD	UMSETZEN	OPERATION_SIGN	0	9	B1_LOCAL_ROOT	NONE	CHD+DY|CHD+Y|L+CHD+AL|OK+CHD+DY|OL+CHD+DY|SH+K+CHD+DY	nur im lokalen Auftrag belegt
CHK	WAERMEN	OPERATION_SIGN	0	2	B1_LOCAL_ROOT	NONE	CHK+E+Y	nur im lokalen Auftrag belegt
CKH	DURCHLASS	STATE_OBJECT_SIGN	0	5	B1_LOCAL_ROOT	NONE	CKH+Y|SH+CKH+E+DY|SH+E+CKH+AL	nur im lokalen Auftrag belegt
CTH	BEREIT	STATE_OBJECT_SIGN	1	0	H3_LOCAL_ROOT	CTH+Y	NONE	nur im lokalen Auftrag belegt
DY	SCHLUSS	BOUND_ENDPOINT	1	17	SHARED_ROOT	T+CH+O+DY	CHD+DY|LSH+E+DY|OK+CHD+DY|OK+E+DY|OL+CHD+DY|SH+CKH+E+DY|SH+K+CHD+DY|SHED+DY|SOLK+EE+DY	H3: Wert innerhalb der Kronenpflanze; B1: Wert innerhalb des zweireihigen Beckens
E	KURZ	BOUND_GRADE	0	13	B1_LOCAL_ROOT	NONE	CHK+E+Y|E+OL|LSH+E+DY|OK+E+DY|OK+E+Y|SH+CKH+E+DY|SH+E+CKH+AL|SH+E+OL|T+E+Y	nur im lokalen Auftrag belegt
EE	LANG	BOUND_GRADE	1	3	SHARED_ROOT	SH+EE+Y	OK+EE+AL|OK+EE+Y|SOLK+EE+DY	H3: Wert innerhalb der Kronenpflanze; B1: Wert innerhalb des zweireihigen Beckens
IIN	STUFE	MEASURE_STAGE_SIGN	0	1	B1_LOCAL_ROOT	NONE	O+IIN	nur im lokalen Auftrag belegt
K	ZUDOSIEREN	OPERATION_SIGN	1	4	SHARED_ROOT	K+Y	K+AIN|K+AIR|OL+K+AIN|SH+K+CHD+DY	H3: Wert innerhalb der Kronenpflanze; B1: Wert innerhalb des zweireihigen Beckens
L	WEITERLEITEN	OPERATION_SIGN	0	4	B1_LOCAL_ROOT	NONE	L|L+CHD+AL|L+Y	nur im lokalen Auftrag belegt
LSH	WASCHEN	OPERATION_SIGN	0	3	B1_LOCAL_ROOT	NONE	LSH+E+DY|LSH+O	nur im lokalen Auftrag belegt
O	GANG	STATE_OBJECT_SIGN	3	2	SHARED_ROOT	SH+O+AL|SH+O+Y+T+Y|T+CH+O+DY	LSH+O|O+IIN	H3: Wert innerhalb der Kronenpflanze; B1: Wert innerhalb des zweireihigen Beckens
OK	ANSETZEN	OPERATION_SIGN	1	13	SHARED_ROOT	OK+OL	OK+AIIN|OK+AIN|OK+AL|OK+CHD+DY|OK+E+DY|OK+E+Y|OK+EE+AL|OK+EE+Y|OK+Y	H3: Wert innerhalb der Kronenpflanze; B1: Wert innerhalb des zweireihigen Beckens
OL	FORTSETZEN	RELATION_ADDRESS_SIGN	2	15	SHARED_ROOT	OK+OL|T+SH+OL	E+OL|OL|OL+CHD+DY|OL+K+AIN|OL+OR|R+OL|SH+E+OL	H3: Wert innerhalb der Kronenpflanze; B1: Wert innerhalb des zweireihigen Beckens
OR	ANSATZ	STATE_OBJECT_SIGN	0	1	B1_LOCAL_ROOT	NONE	OL+OR	nur im lokalen Auftrag belegt
OT	DANACH	RELATION_ADDRESS_SIGN	1	1	SHARED_ROOT	OT+Y	OT+AR	H3: Wert innerhalb der Kronenpflanze; B1: Wert innerhalb des zweireihigen Beckens
