frame_id	head	root_before_a	left_surface	right_surface	values	distinct_values	occurrences	all_value_tokens_triple_stable	surfaces_by_value	loci_by_value	sections	example_lines
G627-F001	da	d	chol	<END>	I|II|III|IV	4	13	0	I:dan;II:dain;III:daiin;IV:daiiin	I:f2r.7;II:f18r.2,f47v.9;III:f14v.2,f2v.5,f35v.19,f37v.23,f49v.26,f51v.6,f56v.16,f85r2.4,f96r.8;IV:f17r.11	C|H	shor ckhy daiiny chol dan / otshol qokchol chykchy okchal daiin dy chol dain / qotcheey chety chol chol dain / okchor d chytshy oty chy cthy otchy ty chol daiin
G627-F002	a	BARE	s	ol	II|III|IV	3	4	1	II:ain;III:aiin;IV:aiiin	II:f77r.45,f89v1.11;III:f85r1.13;IV:f78v.29	B|P|T	qokaiin ches lchear dal chr sl s ain ol raiin lod / osheokaiin s ain ol shodain qokar ain chekal daiin dar / rsheodar qocthy kar okaiin ykeeeody qotal ol s aiin ol daldy shody / lchedy otchey qol chedy lr al s aiiin ol shedy ary
G627-F003	da	d	<START>	ol	II|III|IV	3	4	1	II:dain;III:daiin;IV:daiiin	II:f75r.26;III:f103r.10,f83r.54;IV:f77r.40	B|S	dain ol sheol dain ol qoly dar ajy / daiin ol oain okeol chol okam chety shedy otaiin shedy teolshy oteedy sor ain / daiin ol dain chey ldalor / daiiin ol eeedy okaiin sheeol qotaiin shody qoty
G627-F004	oka	ok	<START>	<END>	I|II|III	3	4	0	I:okan;II:okain;III:okaiin	I:f80r.10;II:f82v.41;III:f83v.35,f88v.14	B|P	okan / okain / okaiin
G627-F005	a	BARE	ar	ar	II|III	2	3	1	II:ain;III:aiin	II:f104r.20;III:f76r.15,f86v3.4	C|S|T	dsheoy qocthey qokchdy qokaiin chol rar cheody cheeekan ar ain ar alam / chorshedy qoked okees al ar aiin ar ain chckheed lchedy shedy qolair chedy / ykaiin qoeedy qar aiin yteeey ar aiin ar am
G627-F006	a	BARE	ar	okeey	III|IV	2	3	1	III:aiin;IV:aiiin	III:f108r.11,f108v.12;IV:f112v.3	S	teodeey ar aiin okeey qetchdy oteeody okaiin ykeeo dain otalaiin oly / tshedky sheckhy akey sheey teeody qokedy qokeedy shok ar aiin okeey tedam / qokeeor ar sheey or ar aiiin okeey l keeody sheedy qotam
G627-F007	a	BARE	dar	<END>	II|III	2	2	1	II:ain;III:aiin	II:f39v.8;III:f39r.11	H	oar aiin olkaiin olky dar ald shek chek qokchy dar ain / dshdy ar aiin y yken chdy ykal olkaiin qokaldar cheol dar aiin
G627-F008	a	BARE	ol	<END>	II|III	2	3	0	II:ain;III:aiin	II:f86v6.14;III:f113v.20,f75v.39	B|S|T	ykchy cholkaiin chey ykeedy okal or chcfhy lkey okar dar ol ain / lkaiin chy chody otchar ar otary ol aiin / qoqokeey olkain qol sheedy qokeor sheedy qokal or chey qokar ol aiin
G627-F009	a	BARE	or	<END>	II|III	2	2	0	II:ain;III:aiin	II:f81r.5;III:f103r.17	B|S	qol cheol okeey ol ol olaiin ol or ain / sar shey qokey keedy qokeey chckhy qokal oty or aiin
G627-F010	a	BARE	or	cheol	II|III	2	3	0	II:ain;III:aiin	II:f104v.17;III:f102v2.22,f112r.20	P|S	ycheechy cheey cheos s otkchedy cholkchy qotchdy qotol sheedy or ain cheol / dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho / qoaiin or aiin cheol keody qol keol okeeey dal aiin ody
G627-F011	a	BARE	or	otar	II|III	2	3	0	II:ain;III:aiin	II:f103v.45;III:f85r1.33,f86v5.13	S|T	okey ol cheey lcheey lkain shckhy sheckhy or ain otar oly / raraiiin shey osaiin otar ytar otedy or aiin otar olar olkeedy / daiin shar otam ytaiin otal teody cthy or aiin otar aiiin
G627-F012	a	BARE	or	qokaiin	III|IV	2	3	0	III:aiin;IV:aiiin	III:f39v.3;IV:f105r.33,f86v6.19	H|S|T	daiin chor okain okaii fchody saiin or aiin qokaiin ytodaiin okam / okeeodair oteey lkeey teeolteedy ot okal or aiiin qokaiin ar airod / pol sheopchey pchecfhey or aiiin qokaiin cholkar
G627-F013	a	BARE	r	<END>	II|III	2	2	0	II:ain;III:aiin	II:f88v.22;III:f15v.6	H|P	dairodain ykeodain dain shedy qoteo lchdy qokeo r ain / qotchey choty kaiin otchy r aiin
G627-F014	a	BARE	r	chey	II|III	2	2	0	II:ain;III:aiin	II:f82v.31;III:f108v.14	B|S	qokeey r ain chey qolkain oky otaly qokal olshalsy / qokeey lo r aiin chey keear a ral olaiin chedy
G627-F015	a	BARE	r	ol	II|III	2	3	0	II:ain;III:aiin	II:f75r.5;III:f108v.20,f79r.15	B|S	shey kar chey ckhey r ain ol olsheedy qokeey qoky / polkeedal sheo kchey lotedaiin otedy opchedaiin otshedy qotey r aiin ol / qokl shey qokal chedy okol dyty r aiin ol sheol lchey
G627-F016	a	BARE	s	<END>	III|IV	2	7	0	III:aiin;IV:aiiin	III:f17v.7,f34r.11,f39r.13,f52v.10,f55r.3,f56v.5;IV:f39r.7	H	sor chkeey poiis cheor os s aiin / qokeey sh kaldaiin cheky cthdaly otchedy chty s aiin / ytor chdar shey qokaiin chor kar sheolkedy otedy tedy s aiin / yokeey qokody chol sol s aiin
G627-F017	da	d	<START>	ar	II|III	2	4	1	II:dain;III:daiin	II:f115v.16,f79v.13;III:f55v.12,f86v6.40	B|H|S|T	dain ar oteey qoteol kar y sheo lkechdy qokar qokey lko rokeedy ld / dain ar olshey dytain qokain checthy okeedy qokeedy ror / daiin ar cheky olkeechy sl ar aiin daiin otam / daiin ar qotal tshdy otar shcthdy qokol chotal kar ol kar alky
G627-F018	da	d	<START>	chckhy	II|III	2	3	0	II:dain;III:daiin	II:f76r.47;III:f6r.2,f95r1.10	H|T	dain chckhy or aiin sheey qockhey olchdar sheey otedy olain oky / daiin chckhy chor chor kar cthy cthor chotols / daiin chckhy okaiin chckhy daiin ykedy epiin okaraiin ls
G627-F019	da	d	<START>	chear	II|III	2	2	1	II:dain;III:daiin	II:f8v.17;III:f112v.17	H|S	dain chear daiin / daiin chear chedy chy keedy chdaiin cheedy qokain otaldal
G627-F020	da	d	<START>	chedy	II|III	2	5	1	II:dain;III:daiin	II:f111v.3,f83r.27;III:f108v.35,f115r.11,f77r.33	B|S	dain chedy shedal otedy oteey chedy qokeey dain chcthar otar qotain otaim / dain chedy qokeedy shckhedy shckhedy / daiin chedy lchedy sholkeedy qokeedy chey qokeey qokeedy oteedy lchedam / daiin chedy chol chedy qokoiin qokcheedy qototeeey rain cheo chkain cho lory
G627-F021	da	d	<START>	cheky	II|III	2	3	0	II:dain;III:daiin	II:f107v.4,f55r.9;III:f100v.22	H|P|S	dain cheky okechy qokain shocthy otaiin alkaiin / dain cheky dar chckhy dal qoko lkeedy dar kaiin dy kag / daiin cheky chory
G627-F022	da	d	<START>	cheol	III|IV	2	4	1	III:daiin;IV:daiiin	III:f108v.13,f51v.13,f76v.36;IV:f113v.31	B|H|S	daiin cheol qokeey qokeedy qokeey raiin chckhy okeey qokeedy okedain aldor / daiin cheol cheodain / daiin cheol teey lshety okeey qeedy / daiiin cheol teeoar shek lchedy okaiin chckhaiin otaiin otaiin araral
G627-F023	da	d	<START>	chey	II|III	2	9	0	II:dain;III:daiin	II:f108r.20,f116r.17,f17v.19,f76r.42,f82v.21;III:f103v.19,f111v.4,f116r.27,f82v.29	B|H|S|T	dain chey qokeedy cholcheey dalkar okedy / dain chey qokeey okeey lain okeey qol chedy / dain chey qoaiin cthor cholchom / dain chey lsh daiin chey lchedy qolain qotal shedy dy shecthy otalam
G627-F024	da	d	<START>	chl	II|III	2	2	1	II:dain;III:daiin	II:f116r.3;III:f113v.16	S	dain chl lshey cthy lshedy oteor shey qo saly / daiin chl l keey lkaiin chdain qokain eor okalchedy qokar olkam ar
G627-F025	da	d	<START>	chol	II|III	2	3	0	II:dain;III:daiin	II:f111r.37;III:f16v.8,f54v.16	H|S	dain chol l cheeol keeol lkeeedy qokeey l keedy l kedy okeal kain chckhy ltedy / daiin chol y daiin chcthy qot char chor sholo / daiin chol oldaiin
G627-F026	da	d	<START>	or	II|III	2	3	0	II:dain;III:daiin	II:f102v2.22;III:f55r.4,f86v5.5	H|P|T	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho / daiin or orol char ar kaiin okchd ykar odaiin chdolaiin / daiin or otol otshey otal olkey chcthody ytar dal ar okary
