head	root_before_a	role	working_role_de	occurrences	pages	values	distinct_values	count_I	count_II	count_III	count_IV	triple_stable_occurrences	herbal_occurrences	fixed_multi_value_frames	mixed_value_lines	line_first	line_middle	line_last	section_value_nmi	hand_value_nmi	position_value_nmi	default_policy
da	d	FREE_MEASURE_OR_DEGREE_HEAD	freie Maß-/Gradangabe I-IV; nach Pflanzenteil standardmäßig Portion	948	176	I|II|III|IV	4	17	193	721	17	777	568	27	49	184	606	158	0.035071	0.023016	0.020992	COMPOSE
a	BARE	BARE_VALUE	nackter Wert I-IV	585	111	I|II|III|IV	4	5	106	432	42	448	130	13	22	2	537	46	0.029223	0.017255	0.003029	COMPOSE
qoka	qok	QUALITY_AXIS_DEGREE	heiß im qo-Qualitätsrahmen, Grad I-IV	544	75	I|II|III|IV	4	8	273	261	2	507	43	14	20	50	471	23	0.070247	0.044373	0.008907	COMPOSE
oka	ok	QUALITY_AXIS_DEGREE	heiß im o-Rahmen, Grad I-IV	342	98	I|II|III|IV	4	4	132	200	6	296	79	7	16	27	290	25	0.043059	0.034668	0.009159	COMPOSE
sa	s	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	174	78	I|II|III|IV	4	3	60	109	2	145	39	9	3	89	72	13	0.056680	0.042318	0.025013	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qota	qot	QUALITY_AXIS_DEGREE	kalt im qo-Qualitätsrahmen, Grad I-IV	142	55	I|II|III|IV	4	2	60	79	1	140	15	0	1	8	120	14	0.136825	0.086681	0.066806	COMPOSE
ka	k	QUALITY_AXIS_DEGREE	heiß, Grad I-IV	123	58	I|II|III|IV	4	2	43	74	4	85	31	0	3	1	114	8	0.097497	0.082548	0.028739	COMPOSE
lka	lk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	84	28	I|II|III|IV	4	1	33	48	2	71	0	0	2	2	75	7	0.023632	0.025019	0.084951	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
cha	ch	QUALITY_AXIS_DEGREE	trocken, Grad I-IV	80	51	I|II|III|IV	4	12	19	48	1	71	60	0	3	1	65	14	0.066075	0.053040	0.057358	COMPOSE
oda	od	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	75	55	I|II|III|IV	4	2	14	55	4	58	34	0	0	8	54	13	0.128512	0.132286	0.116076	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
ta	t	QUALITY_AXIS_DEGREE	kalt, Grad I-IV	56	38	I|II|III|IV	4	1	9	45	1	47	16	0	1	15	36	5	0.261837	0.148597	0.059893	COMPOSE
ola	ol	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	52	37	I|II|III|IV	4	1	11	39	1	44	9	1	0	5	45	2	0.202029	0.101432	0.033564	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
cheda	ched	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	51	25	I|II|III|IV	4	1	17	32	1	31	6	0	2	1	45	5	0.073276	0.028796	0.132848	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
sha	sh	QUALITY_AXIS_DEGREE	feucht, Grad I-IV	35	28	I|II|III|IV	4	6	9	19	1	31	23	0	0	7	22	6	0.142487	0.142487	0.339623	COMPOSE
ara	ar	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	15	14	I|II|III|IV	4	1	4	9	1	4	1	0	0	0	14	1	0.378931	0.249604	0.034931	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
ota	ot	QUALITY_AXIS_DEGREE	kalt im o-Rahmen, Grad I-IV	236	79	I|II|III	3	3	95	138	0	219	46	1	8	6	210	20	0.046179	0.078530	0.002471	COMPOSE
ra	r	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	84	38	II|III|IV	3	0	21	62	1	59	3	0	0	1	72	11	0.077399	0.036787	0.055616	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
yka	yk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	55	30	I|II|III	3	1	11	43	0	41	21	0	2	12	40	3	0.122493	0.042961	0.015871	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qoda	qod	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	52	28	II|III|IV	3	0	10	41	1	44	16	0	0	1	50	1	0.079127	0.154937	0.016101	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
ora	or	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	43	36	II|III|IV	3	0	16	26	1	36	10	0	0	7	22	14	0.225556	0.056867	0.107574	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
choka	chok	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	27	23	I|II|III	3	2	10	15	0	23	11	0	0	1	22	4	0.150831	0.132969	0.129625	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
sheda	shed	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	23	17	II|III|IV	3	0	12	10	1	13	3	0	0	0	22	1	0.548426	0.475551	0.034839	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
cheoda	cheod	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	21	20	II|III|IV	3	0	8	12	1	11	6	0	0	1	17	3	0.135566	0.165942	0.067664	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
la	l	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	20	15	II|III|IV	3	0	5	13	2	13	4	0	0	2	17	1	0.122309	0.124244	0.083535	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
ctha	cth	PLANT_PART_VALUE	Pflanzenteil, Menge/Dosis/Grad/Klasse I-IV	17	13	I|II|III	3	2	4	11	0	17	16	0	0	1	14	2	0.162686	0.162686	0.191494	COMPOSE
cheka	chek	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	15	10	II|III|IV	3	0	7	7	1	14	6	0	0	0	13	2	0.408825	0.118176	0.225691	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
alka	alk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	11	7	I|II|III	3	1	6	4	0	11	1	0	0	0	9	2	0.064242	0.000000	0.294233	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
chea	che	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	8	6	I|II|III	3	2	2	4	0	7	7	0	0	0	7	1	0.091950	0.091950	0.091950	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
cheta	chet	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	8	7	I|II|III	3	1	4	3	0	8	3	0	1	0	6	2	0.466435	0.390424	0.043594	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
cpha	cph	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	8	7	I|III|IV	3	1	0	6	1	6	6	0	0	0	7	1	0.305067	0.305067	0.052811	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
lda	ld	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	7	7	II|III|IV	3	0	2	4	1	4	1	0	0	0	5	2	0.714563	0.300119	0.211558	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
