quality_root	working_axis_de	working_value	working_roman	predicted_surface	occurrences	pages	triple_stable_occurrences	occupied	working_reading_de
k	heiß	1	I	kan	2	2	2	1	heiß, Grad I
k	heiß	2	II	kain	43	27	36	1	heiß, Grad II
k	heiß	3	III	kaiin	74	42	44	1	heiß, Grad III
k	heiß	4	IV	kaiiin	4	4	3	1	heiß, Grad IV
t	kalt	1	I	tan	1	1	0	1	kalt, Grad I
t	kalt	2	II	tain	9	7	8	1	kalt, Grad II
t	kalt	3	III	taiin	45	32	38	1	kalt, Grad III
t	kalt	4	IV	taiiin	1	1	1	1	kalt, Grad IV
ch	trocken	1	I	chan	12	11	10	1	trocken, Grad I
ch	trocken	2	II	chain	19	17	18	1	trocken, Grad II
ch	trocken	3	III	chaiin	48	36	42	1	trocken, Grad III
ch	trocken	4	IV	chaiiin	1	1	1	1	trocken, Grad IV
sh	feucht	1	I	shan	6	6	5	1	feucht, Grad I
sh	feucht	2	II	shain	9	8	7	1	feucht, Grad II
sh	feucht	3	III	shaiin	19	17	18	1	feucht, Grad III
sh	feucht	4	IV	shaiiin	1	1	1	1	feucht, Grad IV
ok	heiß im o-Rahmen	1	I	okan	4	4	3	1	heiß im o-Rahmen, Grad I
ok	heiß im o-Rahmen	2	II	okain	132	47	112	1	heiß im o-Rahmen, Grad II
ok	heiß im o-Rahmen	3	III	okaiin	200	84	177	1	heiß im o-Rahmen, Grad III
ok	heiß im o-Rahmen	4	IV	okaiiin	6	6	4	1	heiß im o-Rahmen, Grad IV
ot	kalt im o-Rahmen	1	I	otan	3	3	3	1	kalt im o-Rahmen, Grad I
ot	kalt im o-Rahmen	2	II	otain	95	42	88	1	kalt im o-Rahmen, Grad II
ot	kalt im o-Rahmen	3	III	otaiin	138	60	128	1	kalt im o-Rahmen, Grad III
ot	kalt im o-Rahmen	4	IV	otaiiin	0	0	0	0	kalt im o-Rahmen, Grad IV
qok	heiß im qo-Qualitätsrahmen	1	I	qokan	8	8	8	1	heiß im qo-Qualitätsrahmen, Grad I
qok	heiß im qo-Qualitätsrahmen	2	II	qokain	273	45	256	1	heiß im qo-Qualitätsrahmen, Grad II
qok	heiß im qo-Qualitätsrahmen	3	III	qokaiin	261	67	241	1	heiß im qo-Qualitätsrahmen, Grad III
qok	heiß im qo-Qualitätsrahmen	4	IV	qokaiiin	2	2	2	1	heiß im qo-Qualitätsrahmen, Grad IV
qot	kalt im qo-Qualitätsrahmen	1	I	qotan	2	2	2	1	kalt im qo-Qualitätsrahmen, Grad I
qot	kalt im qo-Qualitätsrahmen	2	II	qotain	60	29	60	1	kalt im qo-Qualitätsrahmen, Grad II
qot	kalt im qo-Qualitätsrahmen	3	III	qotaiin	79	40	77	1	kalt im qo-Qualitätsrahmen, Grad III
qot	kalt im qo-Qualitätsrahmen	4	IV	qotaiiin	1	1	1	1	kalt im qo-Qualitätsrahmen, Grad IV
