axis_id	page	locus	token_index	surface	quality_root	working_axis_de	working_roman	working_degree_de	section	hand	triple_reading_token_stable	surface_line
G627-A0001	f103r	f103r.3	9	okaiin	ok	heiß im o-Rahmen	III	heiß im o-Rahmen, Grad III	S	3	0	yshdain sheek cheoty eeokal chedy chckhy or orol okaiin eeal ot kar otar chal
G627-A0002	f103r	f103r.9	9	otaiin	ot	kalt im o-Rahmen	III	kalt im o-Rahmen, Grad III	S	3	0	oteeos ar cheal okeey shey lkaiin shey lkeor otaiin shedy otey l dy okeedaram
G627-A0003	f103r	f103r.10	9	otaiin	ot	kalt im o-Rahmen	III	kalt im o-Rahmen, Grad III	S	3	1	daiin ol oain okeol chol okam chety shedy otaiin shedy teolshy oteedy sor ain
G627-A0004	f103r	f103r.11	3	otain	ot	kalt im o-Rahmen	II	kalt im o-Rahmen, Grad II	S	3	1	dar oteey otain lolshedy okain chey qorain shey otoy qokeol key dayky
G627-A0005	f103r	f103r.11	5	okain	ok	heiß im o-Rahmen	II	heiß im o-Rahmen, Grad II	S	3	1	dar oteey otain lolshedy okain chey qorain shey otoy qokeol key dayky
G627-A0006	f103r	f103r.13	7	qokain	qok	heiß im qo-Qualitätsrahmen	II	heiß im qo-Qualitätsrahmen, Grad II	S	3	1	podar sheor qotedy okeey qokar checkhy qokain chedy pchdy tshdy dal kasol
G627-A0007	f103r	f103r.14	1	okain	ok	heiß im o-Rahmen	II	heiß im o-Rahmen, Grad II	S	3	1	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky
G627-A0008	f103r	f103r.18	3	okain	ok	heiß im o-Rahmen	II	heiß im o-Rahmen, Grad II	S	3	1	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys
G627-A0009	f103r	f103r.18	6	okain	ok	heiß im o-Rahmen	II	heiß im o-Rahmen, Grad II	S	3	1	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys
G627-A0010	f103r	f103r.18	7	qokain	qok	heiß im qo-Qualitätsrahmen	II	heiß im qo-Qualitätsrahmen, Grad II	S	3	1	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys
G627-A0011	f103r	f103r.19	1	okaiin	ok	heiß im o-Rahmen	III	heiß im o-Rahmen, Grad III	S	3	1	okaiin chey qoy shey qokaiin chedy qokain oteol lkar okaral lkldy lr
G627-A0012	f103r	f103r.19	5	qokaiin	qok	heiß im qo-Qualitätsrahmen	III	heiß im qo-Qualitätsrahmen, Grad III	S	3	1	okaiin chey qoy shey qokaiin chedy qokain oteol lkar okaral lkldy lr
