bracket_id	page	locus	left_part	d_surface	working_roman	right_part	part_span	distance_left_to_d	distance_d_to_right	working_local_de	d_token_triple_stable	surface_line
G627-B01	f11r	f11r.5	shor	daiin	III	cthy	4	3	1	shor, Portion/Maß III; cthy	1	tchol shor shor dky y daiin cthy d y chodl daiin
G627-B02	f15r	f15r.5	cthy	daiin	III	cthy	2	1	1	cthy, Portion/Maß III; cthy	1	qotchy r shor cthy daiin cthy dy
G627-B03	f15r	f15r.13	cthy	dain	II	shor	3	1	2	cthy, Portion/Maß II; shor	1	ykshol dor sheey cthy dain sky shor shoty
G627-B04	f29r	f29r.8	chor	daiin	III	cthy	6	5	1	chor, Portion/Maß III; cthy	1	shor chor shosheky shy qoty kody daiin cthy
G627-B05	f45v	f45v.2	chor	daiin	III	cthy	2	1	1	chor, Portion/Maß III; cthy	1	okol chor daiin cthy okchol chom okolor dy okchol s
G627-B06	f66r	f66r.68	sair	daiin	III	dair	7	2	5	sair, Portion/Maß III; dair	1	sair ol daiin daiin dal dol cheody dair aly dairal dolarshy dor
G627-B07	f66r	f66r.68	sair	daiin	III	dair	7	3	4	sair, Portion/Maß III; dair	0	sair ol daiin daiin dal dol cheody dair aly dairal dolarshy dor
G627-B08	f7v	f7v.2	cthy	daiin	III	cthy	6	1	5	cthy, Portion/Maß III; cthy	1	chochy cthy daiin qoky chy daiin cthol cthy cthd
G627-B09	f7v	f7v.2	cthy	daiin	III	cthy	6	4	2	cthy, Portion/Maß III; cthy	1	chochy cthy daiin qoky chy daiin cthol cthy cthd
G627-B10	f9v	f9v.3	chor	daiin	III	cthy	3	2	1	chor, Portion/Maß III; cthy	1	ykey chor ykaiin daiin cthy otaiin oky oeees daiin
