witness_id	page	locus	surface	working_roman	working_reading_de	section	hand	triple_reading_token_stable	surface_line
G627-C01	f2r	f2r.7	dan	I	nach chol: Maß-/Portionswert I am Zeilenende	H	1	1	shor ckhy daiiny chol dan
G627-C02	f18r	f18r.2	dain	II	nach chol: Maß-/Portionswert II am Zeilenende	H	1	0	otshol qokchol chykchy okchal daiin dy chol dain
G627-C03	f47v	f47v.9	dain	II	nach chol: Maß-/Portionswert II am Zeilenende	H	1	1	qotcheey chety chol chol dain
G627-C04	f14v	f14v.2	daiin	III	nach chol: Maß-/Portionswert III am Zeilenende	H	1	1	okchor d chytshy oty chy cthy otchy ty chol daiin
G627-C05	f2v	f2v.5	daiin	III	nach chol: Maß-/Portionswert III am Zeilenende	H	1	1	kchor shy daiiin chm s shey dor chol daiin
G627-C06	f35v	f35v.19	daiin	III	nach chol: Maß-/Portionswert III am Zeilenende	H	1	1	schokey y keol chol daiin
G627-C07	f37v	f37v.23	daiin	III	nach chol: Maß-/Portionswert III am Zeilenende	H	1	1	yto chol daiin
G627-C08	f49v	f49v.26	daiin	III	nach chol: Maß-/Portionswert III am Zeilenende	H	1	1	qokeol chokeeody otol kcho s chol daiin
G627-C09	f51v	f51v.6	daiin	III	nach chol: Maß-/Portionswert III am Zeilenende	H	1	0	okor ctheody qocphy qokal qotaiin otykol chol daiin
G627-C10	f56v	f56v.16	daiin	III	nach chol: Maß-/Portionswert III am Zeilenende	H	1	1	s o kchol chol chol daiin
G627-C11	f85r2	f85r2.4	daiin	III	nach chol: Maß-/Portionswert III am Zeilenende	C	2	1	dair sheo oraiin chol daiin
G627-C12	f96r	f96r.8	daiin	III	nach chol: Maß-/Portionswert III am Zeilenende	H	1	0	ykeor secheeol sheol qokeeey chol daiin
G627-C13	f17r	f17r.11	daiiin	IV	nach chol: Maß-/Portionswert IV am Zeilenende	H	1	1	otchol cthar okaiin chol daiiin
