entry	kind	working_meaning_de	composition	scope	status
a	VALUE_SLOT_LINKER	öffnet nach einem Kopf eine Grad-/Maßstelle; in Übersetzung meist Doppelpunkt oder null	KOPF+a+(n|in|iin|iiin)	produktiv	NEW_PRIMARY_DEFAULT
n/in/iin/iiin	VALUE_MINIMS	I/II/III/IV	terminaler Schlussstrich mit 0/1/2/3 inneren i-Minims	nach a	INHERITED_PRIMARY_DEFAULT
d	FREE_VALUE_HEAD	freie Maß-/Gradangabe; nach Stoff oder Pflanzenteil standardmäßig Portion/Menge	d+a+Wert	alle Register; linksbindend als lokaler Default	NEW_PRIMARY_DEFAULT
dan/dain/daiin/daiiin	FREE_MEASURE_SERIES	Maß-/Portionswert I/II/III/IV	d+a+I/II/III/IV	nach Teil/Stoff: eine/zwei/drei/vier Portionen als Arbeitslesung	NEW_COMPOSITIONAL_DEFAULT
kan/kain/kaiin/kaiiin	QUALITY_DEGREE_SERIES	heiß, Grad I/II/III/IV	k+a+I/II/III/IV	Qualitätscode	NEW_PRIMARY_DEFAULT
tan/tain/taiin/taiiin	QUALITY_DEGREE_SERIES	kalt, Grad I/II/III/IV	t+a+I/II/III/IV	Qualitätscode	NEW_PRIMARY_DEFAULT
chan/chain/chaiin/chaiiin	QUALITY_DEGREE_SERIES	trocken, Grad I/II/III/IV	ch+a+I/II/III/IV	Qualitätscode	NEW_PRIMARY_DEFAULT
shan/shain/shaiin/shaiiin	QUALITY_DEGREE_SERIES	feucht, Grad I/II/III/IV	sh+a+I/II/III/IV	Qualitätscode	NEW_PRIMARY_DEFAULT
okan/okain/okaiin/okaiiin	QUALITY_DEGREE_SERIES	heiß im o-Rahmen, Grad I/II/III/IV	ok+a+I/II/III/IV	Qualitätscode	NEW_PRIMARY_DEFAULT
otan/otain/otaiin/otaiiin	QUALITY_DEGREE_SERIES	kalt im o-Rahmen, Grad I/II/III/IV	ot+a+I/II/III/IV	Qualitätscode	NEW_PRIMARY_DEFAULT
qokan/qokain/qokaiin/qokaiiin	QUALITY_DEGREE_SERIES	heiß im qo-Qualitätsrahmen, Grad I/II/III/IV	qok+a+I/II/III/IV	Qualitätscode	NEW_PRIMARY_DEFAULT
qotan/qotain/qotaiin/qotaiiin	QUALITY_DEGREE_SERIES	kalt im qo-Qualitätsrahmen, Grad I/II/III/IV	qot+a+I/II/III/IV	Qualitätscode	NEW_PRIMARY_DEFAULT
cthan/cthain/cthaiin	PART_VALUE_SERIES	Blatt-/oberirdisches Drogengut, Menge/Grad/Klasse I/II/III	cth+a+Wert	Herbal	INHERITED_WITH_VALUE_READER
chorain/choraiin	PART_VALUE_SERIES	Blüten-/Pflanzenteil, Menge/Grad/Klasse II/III	chor+a+Wert	vor allem Herbal	INHERITED_WITH_VALUE_READER
daiin	FREE_MEASURE_FORM	Maß-/Portionswert III; nach Pflanzenteil Arbeitsdefault drei Portionen	d+a+III	nicht und/item/Operation	REVISED_CONCRETE_DEFAULT
