case_id	page	locus	surface	segmentation	working_reading_de	reading_type	status
HOT_DRY_I	f111v	f111v.33	qokan chan	qok+a+I | ch+a+I	heiß ersten Grades; trocken ersten Grades	PAIRED_QUALITY_DEGREES	PRIMARY_WORKING_READING
HOT_DRY_II	f107v	f107v.7	chain qokain	ch+a+II | qok+a+II	trocken zweiten Grades; heiß zweiten Grades	PAIRED_QUALITY_DEGREES	PRIMARY_WORKING_READING
HOT_MOIST_III	f106r	f106r.20	qokaiin shaiin	qok+a+III | sh+a+III	heiß dritten Grades; feucht dritten Grades	PAIRED_QUALITY_DEGREES	PRIMARY_WORKING_READING
HOT_DRY_III	f112v	f112v.39	okaiin chaiin	ok+a+III | ch+a+III	im o-Rahmen heiß dritten Grades; trocken dritten Grades	PAIRED_QUALITY_DEGREES	PRIMARY_WORKING_READING
D_I_TERMINAL	f2r	f2r.7	shor ckhy daiiny chol dan	... chol | d+a+I	... chol; eine Portion/ein Maß	FIXED_D_MEASURE_FRAME	PRIMARY_WORKING_READING
D_II_TERMINAL	f47v	f47v.9	qotcheey chety chol chol dain	... chol | d+a+II	... chol; zwei Portionen/zwei Maße	FIXED_D_MEASURE_FRAME	PRIMARY_WORKING_READING
D_III_TERMINAL	f37v	f37v.23	yto chol daiin	... chol | d+a+III	... chol; drei Portionen/drei Maße	FIXED_D_MEASURE_FRAME	PRIMARY_WORKING_READING
D_IV_TERMINAL	f17r	f17r.11	otchol cthar okaiin chol daiiin	... chol | d+a+IV	... chol; vier Portionen/vier Maße	FIXED_D_MEASURE_FRAME	PRIMARY_WORKING_READING
F45_PART_DOSE	f45v	f45v.2	okol chor daiin cthy okchol chom okolor dy okchol s	chor | d+a+III | cthy	Blüten-/Pflanzenteil, drei Portionen/Maße; Blattgut	PART_MEASURE_NEXT_PART	PRIMARY_LOCAL_DEFAULT__UNIT_OPEN
F18_PART_VALUE	f18r	f18r.5	tchor shor cthaiin cthol chlol chom	tchor | shor | cth+a+III | cthol ...	Blüten-/Fruchtstand; Blatt-/Oberirdischgut, Wert III; weitere Teilformen	PART_VALUE_SERIES	PRIMARY_LOCAL_DEFAULT__UNIT_OPEN
