pair_id	page	locus	thermal_surface	thermal_axis_de	thermal_roman	moisture_surface	moisture_axis_de	moisture_roman	token_distance	order	same_degree	both_triple_token_stable	working_pair_de	surface_line
G627-P001	f103r	f103r.35	kain	heiß	II	chain	trocken	II	3	MOISTURE_THEN_THERMAL	1	1	heiß Grad II; trocken Grad II	qoker chain olain chey kain sheol shedain qokeedy ykeedy lcheg
G627-P002	f104v	f104v.30	kaiin	heiß	III	shaiin	feucht	III	2	THERMAL_THEN_MOISTURE	1	1	heiß Grad III; feucht Grad III	ycheol kaiin cheody shaiin qoeeol otair or cheeody okcheey lkair ar ar adam
G627-P003	f106r	f106r.20	qokaiin	heiß im qo-Qualitätsrahmen	III	shaiin	feucht	III	1	THERMAL_THEN_MOISTURE	1	1	heiß im qo-Qualitätsrahmen Grad III; feucht Grad III	ytaiin cheey qokaiin shaiin qokeedy sail chedy cheodal qochedy qokaiin
G627-P004	f106v	f106v.7	kain	heiß	II	chain	trocken	II	2	MOISTURE_THEN_THERMAL	1	1	heiß Grad II; trocken Grad II	soy shealsho dy chain shol kain shokaiin qotaiin chodar ail dal dar loror
G627-P005	f107r	f107r.21	okaiin	heiß im o-Rahmen	III	shaiin	feucht	III	2	THERMAL_THEN_MOISTURE	1	1	heiß im o-Rahmen Grad III; feucht Grad III	taror olal okain okaiin qotal shaiin qokeol lkaiin okeeo lkaiin aiin
G627-P006	f107r	f107r.21	okain	heiß im o-Rahmen	II	shaiin	feucht	III	3	THERMAL_THEN_MOISTURE	0	0	heiß im o-Rahmen Grad II; feucht Grad III	taror olal okain okaiin qotal shaiin qokeol lkaiin okeeo lkaiin aiin
G627-P007	f107v	f107v.14	okaiin	heiß im o-Rahmen	III	shaiin	feucht	III	1	MOISTURE_THEN_THERMAL	1	0	heiß im o-Rahmen Grad III; feucht Grad III	daiin shaiin okaiin qokar qokal qokal cheody qokain okchdy dlkal
G627-P008	f107v	f107v.7	qokain	heiß im qo-Qualitätsrahmen	II	chain	trocken	II	1	MOISTURE_THEN_THERMAL	1	1	heiß im qo-Qualitätsrahmen Grad II; trocken Grad II	taiin cheockhy chain qokain
G627-P009	f107v	f107v.7	taiin	kalt	III	chain	trocken	II	2	THERMAL_THEN_MOISTURE	0	1	kalt Grad III; trocken Grad II	taiin cheockhy chain qokain
G627-P010	f111r	f111r.53	kain	heiß	II	chaiin	trocken	III	1	THERMAL_THEN_MOISTURE	0	1	heiß Grad II; trocken Grad III	yshe aiin okshdy shkeey kain chaiin alolshey qokaiin chcthydain
G627-P011	f111r	f111r.53	qokaiin	heiß im qo-Qualitätsrahmen	III	chaiin	trocken	III	2	MOISTURE_THEN_THERMAL	1	1	heiß im qo-Qualitätsrahmen Grad III; trocken Grad III	yshe aiin okshdy shkeey kain chaiin alolshey qokaiin chcthydain
G627-P012	f111v	f111v.22	okain	heiß im o-Rahmen	II	chan	trocken	I	2	THERMAL_THEN_MOISTURE	0	1	heiß im o-Rahmen Grad II; trocken Grad I	saiin ychear olsheey chetain chedy qokain okain al chan okalchey lkeeey
G627-P013	f111v	f111v.22	qokain	heiß im qo-Qualitätsrahmen	II	chan	trocken	I	3	THERMAL_THEN_MOISTURE	0	1	heiß im qo-Qualitätsrahmen Grad II; trocken Grad I	saiin ychear olsheey chetain chedy qokain okain al chan okalchey lkeeey
G627-P014	f111v	f111v.33	qokan	heiß im qo-Qualitätsrahmen	I	chan	trocken	I	1	THERMAL_THEN_MOISTURE	1	1	heiß im qo-Qualitätsrahmen Grad I; trocken Grad I	y sheeil oair ain okan sheain y qokan chan aman cheal char
G627-P015	f111v	f111v.36	okaiin	heiß im o-Rahmen	III	shain	feucht	II	1	MOISTURE_THEN_THERMAL	0	1	heiß im o-Rahmen Grad III; feucht Grad II	shain okaiin chey qokar ar ar ain olr ar olor
G627-P016	f111v	f111v.50	okain	heiß im o-Rahmen	II	shaiin	feucht	III	2	MOISTURE_THEN_THERMAL	0	1	heiß im o-Rahmen Grad II; feucht Grad III	shaiin qoiiin okain chey qokeeey okain chees ar ol loeees otain or
G627-P017	f112v	f112v.39	okaiin	heiß im o-Rahmen	III	chaiin	trocken	III	1	THERMAL_THEN_MOISTURE	1	1	heiß im o-Rahmen Grad III; trocken Grad III	teodarody opcheed okaiin chaiin otam oteedy qoteey qotain chcthd
G627-P018	f114r	f114r.32	qokaiin	heiß im qo-Qualitätsrahmen	III	chaiin	trocken	III	1	MOISTURE_THEN_THERMAL	1	1	heiß im qo-Qualitätsrahmen Grad III; trocken Grad III	tcheodaiin chaiin qokaiin otaiin otalkain otchedain qotcho chdy dair qotar
G627-P019	f114r	f114r.32	otaiin	kalt im o-Rahmen	III	chaiin	trocken	III	2	MOISTURE_THEN_THERMAL	1	1	kalt im o-Rahmen Grad III; trocken Grad III	tcheodaiin chaiin qokaiin otaiin otalkain otchedain qotcho chdy dair qotar
G627-P020	f115v	f115v.39	qokain	heiß im qo-Qualitätsrahmen	II	chain	trocken	II	3	MOISTURE_THEN_THERMAL	1	1	heiß im qo-Qualitätsrahmen Grad II; trocken Grad II	dairal chain ykeedy qokedy qokain lkaiin lkchey lkain lror
G627-P021	f21r	f21r.1	otaiin	kalt im o-Rahmen	III	chan	trocken	I	1	THERMAL_THEN_MOISTURE	0	1	kalt im o-Rahmen Grad III; trocken Grad I	pchor o eeockhy o fychey ypchey qopcheody otaiin chan
G627-P022	f28v	f28v.8	okain	heiß im o-Rahmen	II	chan	trocken	I	1	THERMAL_THEN_MOISTURE	0	1	heiß im o-Rahmen Grad II; trocken Grad I	okain chan chain cthor dain yk chy daiin cthol
G627-P023	f28v	f28v.8	okain	heiß im o-Rahmen	II	chain	trocken	II	2	THERMAL_THEN_MOISTURE	1	1	heiß im o-Rahmen Grad II; trocken Grad II	okain chan chain cthor dain yk chy daiin cthol
