frame_id	head	root_before_a	left_surface	right_surface	values	distinct_values	occurrences	all_value_tokens_triple_stable	surfaces_by_value	loci_by_value	sections	example_lines
G627-F001	da	d	chol	<END>	I|II|III|IV	4	13	0	I:dan;II:dain;III:daiin;IV:daiiin	I:f2r.7;II:f18r.2,f47v.9;III:f14v.2,f2v.5,f35v.19,f37v.23,f49v.26,f51v.6,f56v.16,f85r2.4,f96r.8;IV:f17r.11	C|H	shor ckhy daiiny chol dan / otshol qokchol chykchy okchal daiin dy chol dain / qotcheey chety chol chol dain / okchor d chytshy oty chy cthy otchy ty chol daiin
G627-F003	da	d	<START>	ol	II|III|IV	3	4	1	II:dain;III:daiin;IV:daiiin	II:f75r.26;III:f103r.10,f83r.54;IV:f77r.40	B|S	dain ol sheol dain ol qoly dar ajy / daiin ol oain okeol chol okam chety shedy otaiin shedy teolshy oteedy sor ain / daiin ol dain chey ldalor / daiiin ol eeedy okaiin sheeol qotaiin shody qoty
G627-F017	da	d	<START>	ar	II|III	2	4	1	II:dain;III:daiin	II:f115v.16,f79v.13;III:f55v.12,f86v6.40	B|H|S|T	dain ar oteey qoteol kar y sheo lkechdy qokar qokey lko rokeedy ld / dain ar olshey dytain qokain checthy okeedy qokeedy ror / daiin ar cheky olkeechy sl ar aiin daiin otam / daiin ar qotal tshdy otar shcthdy qokol chotal kar ol kar alky
G627-F018	da	d	<START>	chckhy	II|III	2	3	0	II:dain;III:daiin	II:f76r.47;III:f6r.2,f95r1.10	H|T	dain chckhy or aiin sheey qockhey olchdar sheey otedy olain oky / daiin chckhy chor chor kar cthy cthor chotols / daiin chckhy okaiin chckhy daiin ykedy epiin okaraiin ls
G627-F019	da	d	<START>	chear	II|III	2	2	1	II:dain;III:daiin	II:f8v.17;III:f112v.17	H|S	dain chear daiin / daiin chear chedy chy keedy chdaiin cheedy qokain otaldal
G627-F020	da	d	<START>	chedy	II|III	2	5	1	II:dain;III:daiin	II:f111v.3,f83r.27;III:f108v.35,f115r.11,f77r.33	B|S	dain chedy shedal otedy oteey chedy qokeey dain chcthar otar qotain otaim / dain chedy qokeedy shckhedy shckhedy / daiin chedy lchedy sholkeedy qokeedy chey qokeey qokeedy oteedy lchedam / daiin chedy chol chedy qokoiin qokcheedy qototeeey rain cheo chkain cho lory
G627-F021	da	d	<START>	cheky	II|III	2	3	0	II:dain;III:daiin	II:f107v.4,f55r.9;III:f100v.22	H|P|S	dain cheky okechy qokain shocthy otaiin alkaiin / dain cheky dar chckhy dal qoko lkeedy dar kaiin dy kag / daiin cheky chory
G627-F022	da	d	<START>	cheol	III|IV	2	4	1	III:daiin;IV:daiiin	III:f108v.13,f51v.13,f76v.36;IV:f113v.31	B|H|S	daiin cheol qokeey qokeedy qokeey raiin chckhy okeey qokeedy okedain aldor / daiin cheol cheodain / daiin cheol teey lshety okeey qeedy / daiiin cheol teeoar shek lchedy okaiin chckhaiin otaiin otaiin araral
G627-F023	da	d	<START>	chey	II|III	2	9	0	II:dain;III:daiin	II:f108r.20,f116r.17,f17v.19,f76r.42,f82v.21;III:f103v.19,f111v.4,f116r.27,f82v.29	B|H|S|T	dain chey qokeedy cholcheey dalkar okedy / dain chey qokeey okeey lain okeey qol chedy / dain chey qoaiin cthor cholchom / dain chey lsh daiin chey lchedy qolain qotal shedy dy shecthy otalam
G627-F024	da	d	<START>	chl	II|III	2	2	1	II:dain;III:daiin	II:f116r.3;III:f113v.16	S	dain chl lshey cthy lshedy oteor shey qo saly / daiin chl l keey lkaiin chdain qokain eor okalchedy qokar olkam ar
