contact_id	page	locus	d_surface	working_roman	left_surface	right_surface	direction	working_local_de	d_token_triple_stable	surface_line
G627-D001	f10r	f10r.7	dain	II	cth	dair	D_THEN_PART	Portion/Maß II; dair	1	dchy qokchol y kchaiin yty daiin cth dain dair am
G627-D002	f10v	f10v.2	daiin	III	cthy	<END>	PART_THEN_D	cthy, Portion/Maß III	1	dain daiin ckhy chcthor choiin qot chodaiin cthy daiin
G627-D003	f11r	f11r.5	daiin	III	y	cthy	D_THEN_PART	Portion/Maß III; cthy	1	tchol shor shor dky y daiin cthy d y chodl daiin
G627-D004	f15r	f15r.5	daiin	III	cthy	cthy	PART_D_PART	cthy; Portion/Maß III; cthy	1	qotchy r shor cthy daiin cthy dy
G627-D005	f15r	f15r.13	dain	II	cthy	sky	PART_THEN_D	cthy, Portion/Maß II	1	ykshol dor sheey cthy dain sky shor shoty
G627-D006	f15v	f15v.11	daiin	III	chol	cthy	D_THEN_PART	Portion/Maß III; cthy	1	sol oiin cheor chol daiin cthy
G627-D007	f19r	f19r.12	daiin	III	chor	daiinol	PART_THEN_D	chor, Portion/Maß III	0	ykchor chor daiin daiinol
G627-D008	f19v	f19v.10	daiin	III	<START>	chor	D_THEN_PART	Portion/Maß III; chor	1	daiin chor daiin qokor y okchan
G627-D009	f19v	f19v.10	daiin	III	chor	qokor	PART_THEN_D	chor, Portion/Maß III	1	daiin chor daiin qokor y okchan
G627-D010	f20v	f20v.7	daiin	III	cthy	sheoy	PART_THEN_D	cthy, Portion/Maß III	1	shocthy sho cthy daiin sheoy tey s soaiin
G627-D011	f21r	f21r.2	daiin	III	cthy	<END>	PART_THEN_D	cthy, Portion/Maß III	1	saiin chcphy oky sheaiin qotchol oteos sheey cthy daiin
G627-D012	f21v	f21v.5	daiin	III	cthy	dait	PART_THEN_D	cthy, Portion/Maß III	1	osho deey ctho l sho cthy daiin dait oky
G627-D013	f22r	f22r.5	daiin	III	dar	chor	D_THEN_PART	Portion/Maß III; chor	1	ol daiin qokchy dar daiin chor oldor oky y choldchy
G627-D014	f22r	f22r.9	dain	II	odaiin	cthy	D_THEN_PART	Portion/Maß II; cthy	1	odaiin dain cthy ctheo r oraiino
G627-D015	f22r	f22r.10	daiin	III	chor	cthoiin	PART_THEN_D	chor, Portion/Maß III	1	kchol chor daiin cthoiin dchor chey qokol dy opchol oldam
G627-D016	f22v	f22v.12	daiin	III	ychky	cthy	D_THEN_PART	Portion/Maß III; cthy	0	ychky daiin cthy
G627-D017	f23r	f23r.2	daiin	III	chor	chk	PART_THEN_D	chor, Portion/Maß III	1	to ar chor daiin chk dain otchy lolchor daiin dam okchol dain g
G627-D018	f25v	f25v.2	daiin	III	chor	s	PART_THEN_D	chor, Portion/Maß III	1	dchor cthor chor daiin s okeeaiin daiin ckhey daiin
G627-D019	f27r	f27r.5	daiin	III	y	dair	D_THEN_PART	Portion/Maß III; dair	1	dor chees ctho shy ar y daiin dair
G627-D020	f28v	f28v.4	daiin	III	shor	qoty	PART_THEN_D	shor, Portion/Maß III	1	tshoiin cheor chor o chty qotol sheol shor daiin qoty
G627-D021	f29r	f29r.6	daiin	III	shor	qokaiiin	PART_THEN_D	shor, Portion/Maß III	1	chokshy shocthy shor shor daiin qokaiiin
G627-D022	f29r	f29r.8	daiin	III	kody	cthy	D_THEN_PART	Portion/Maß III; cthy	1	shor chor shosheky shy qoty kody daiin cthy
G627-D023	f2v	f2v.2	daiin	III	chor	<END>	PART_THEN_D	chor, Portion/Maß III	1	kcho kchy sho shol qotcho loeees qoty chor daiin
G627-D024	f30v	f30v.4	daiin	III	otchey	chor	D_THEN_PART	Portion/Maß III; chor	1	otchey daiin chor checkhy qotchod daiin
G627-D025	f32r	f32r.13	daiin	III	dain	cthy	D_THEN_PART	Portion/Maß III; cthy	1	otcho rol dain daiin cthy
G627-D026	f32v	f32v.3	daiin	III	shor	chckhy	PART_THEN_D	shor, Portion/Maß III	1	shor daiin chckhy dsho dain daiin s shokey ka
G627-D027	f38v	f38v.3	daiin	III	keey	dair	D_THEN_PART	Portion/Maß III; dair	1	qokeey keor daiin okey keey daiin dair daiin s
G627-D028	f38v	f38v.3	daiin	III	dair	s	PART_THEN_D	dair, Portion/Maß III	1	qokeey keor daiin okey keey daiin dair daiin s
G627-D029	f39v	f39v.3	daiin	III	<START>	chor	D_THEN_PART	Portion/Maß III; chor	0	daiin chor okain okaii fchody saiin or aiin qokaiin ytodaiin okam
G627-D030	f3r	f3r.3	daiin	III	chol	cthy	D_THEN_PART	Portion/Maß III; cthy	1	ochor qocheor chol daiin cthy
G627-D031	f42v	f42v.1	dain	II	chor	<END>	PART_THEN_D	chor, Portion/Maß II	1	cho sheey qocho taiin shols chol chor dain
G627-D032	f44v	f44v.3	daiin	III	otol	cthy	D_THEN_PART	Portion/Maß III; cthy	1	tol okchor shcthy otol daiin cthy cthy
G627-D033	f45r	f45r.8	dain	II	cthy	ey	PART_THEN_D	cthy, Portion/Maß II	0	tchol cthy qodaiin cthy dain ey otydal daiin g
G627-D034	f45v	f45v.2	daiin	III	chor	cthy	PART_D_PART	chor; Portion/Maß III; cthy	1	okol chor daiin cthy okchol chom okolor dy okchol s
G627-D035	f46r	f46r.3	daiin	III	<START>	shor	D_THEN_PART	Portion/Maß III; shor	1	daiin shor ykal chey daiin she dalshedy qokol s aiin shee ykar daiin
G627-D036	f49v	f49v.38	daiin	III	chor	dy	PART_THEN_D	chor, Portion/Maß III	1	chokeo sho cheor cheokchet chor daiin dy daiin qokg
G627-D037	f51v	f51v.2	daiin	III	qokey	cthy	D_THEN_PART	Portion/Maß III; cthy	1	dshody ckhody qokol dykaiin chy qokey daiin cthy
G627-D038	f52v	f52v.11	daiin	III	<START>	shor	D_THEN_PART	Portion/Maß III; shor	1	daiin shor qodaiin ckhey sal
G627-D039	f58v	f58v.6	daiin	III	shor	choly	PART_THEN_D	shor, Portion/Maß III	1	qokair ar aly shor daiin choly dal ykaiin org fchey okaly oky
G627-D040	f7r	f7r.10	daiin	III	chor	chckhy	PART_THEN_D	chor, Portion/Maß III	1	s chain chor daiin chckhy
G627-D041	f7v	f7v.2	daiin	III	cthy	qoky	PART_THEN_D	cthy, Portion/Maß III	1	chochy cthy daiin qoky chy daiin cthol cthy cthd
G627-D042	f89v1	f89v1.20	daiin	III	sair	okal	PART_THEN_D	sair, Portion/Maß III	1	sol chey okchol sair daiin okal choldy
G627-D043	f8r	f8r.18	daiin	III	chaiin	chor	D_THEN_PART	Portion/Maß III; chor	1	okar cfhaiin chaiin daiin chor cha rchealcham
G627-D044	f9r	f9r.5	daiin	III	<START>	chor	D_THEN_PART	Portion/Maß III; chor	1	daiin chor sor cthy chokoiin shol dsholdy otchol ot dy
G627-D045	f9v	f9v.1	daiin	III	shor	qopchypcho	PART_THEN_D	shor, Portion/Maß III	1	fochor oporody opy shor daiin qopchypcho qofol shol cfhol daiin
G627-D046	f9v	f9v.3	daiin	III	ykaiin	cthy	D_THEN_PART	Portion/Maß III; cthy	1	ykey chor ykaiin daiin cthy otaiin oky oeees daiin
