case	context_index	class	variant	original_members	primary	independent	decision	independent_meaning_capacity
WRAP01	2	1	0	6	sat	sat	VERIFIED_SAT	0
WRAP02	2	1	2	6	sat	sat	VERIFIED_SAT	0
WRAP03	2	1	8	6	sat	sat	VERIFIED_SAT	0
WRAP04	2	1	10	6	sat	sat	VERIFIED_SAT	0
WRAP05	4	1	0	6	sat	sat	VERIFIED_SAT	0
WRAP06	4	1	2	6	sat	sat	VERIFIED_SAT	0
WRAP07	4	1	8	6	sat	sat	VERIFIED_SAT	0
WRAP08	4	1	10	6	sat	sat	VERIFIED_SAT	0
WRAP09	2	2	0	6	sat	unknown	VERIFIED_SAT	0
WRAP10	2	2	2	6	sat	sat	VERIFIED_SAT	0
WRAP11	2	2	8	6	sat	sat	VERIFIED_SAT	0
WRAP12	2	2	10	6	sat	sat	VERIFIED_SAT	0
WRAP13	4	2	0	6	sat	sat	VERIFIED_SAT	0
WRAP14	4	2	2	6	sat	sat	VERIFIED_SAT	0
WRAP15	4	2	8	6	sat	sat	VERIFIED_SAT	0
WRAP16	4	2	10	6	sat	sat	VERIFIED_SAT	0
WRAP17	2	3	0	6	sat	unknown	VERIFIED_SAT	0
WRAP18	2	3	2	6	sat	unknown	VERIFIED_SAT	0
WRAP19	2	3	4	6	sat	sat	VERIFIED_SAT	0
WRAP20	2	3	6	6	sat	sat	VERIFIED_SAT	0
WRAP21	4	3	0	6	sat	sat	VERIFIED_SAT	0
WRAP22	4	3	2	6	sat	sat	VERIFIED_SAT	0
WRAP23	4	3	4	6	sat	sat	VERIFIED_SAT	0
WRAP24	4	3	6	6	sat	sat	VERIFIED_SAT	0
WRAP25	2	4	0	6	sat	unknown	VERIFIED_SAT	0
WRAP26	2	4	2	6	sat	unknown	VERIFIED_SAT	0
WRAP27	2	4	4	6	sat	sat	VERIFIED_SAT	0
WRAP28	2	4	6	6	sat	sat	VERIFIED_SAT	0
WRAP29	2	4	8	6	sat	sat	VERIFIED_SAT	0
WRAP30	2	4	10	6	sat	unknown	VERIFIED_SAT	0
WRAP31	2	4	12	6	sat	sat	VERIFIED_SAT	0
WRAP32	2	4	14	6	sat	sat	VERIFIED_SAT	0
WRAP33	4	4	0	6	sat	sat	VERIFIED_SAT	0
WRAP34	4	4	2	6	sat	sat	VERIFIED_SAT	0
WRAP35	4	4	4	6	sat	sat	VERIFIED_SAT	0
WRAP36	4	4	6	6	sat	sat	VERIFIED_SAT	0
WRAP37	4	4	8	6	sat	sat	VERIFIED_SAT	0
WRAP38	4	4	10	6	sat	sat	VERIFIED_SAT	0
WRAP39	4	4	12	6	sat	sat	VERIFIED_SAT	0
WRAP40	4	4	14	6	sat	sat	VERIFIED_SAT	0
WRAP41	2	5	4	6	sat	sat	VERIFIED_SAT	0
WRAP42	2	5	6	6	sat	sat	VERIFIED_SAT	0
WRAP43	2	5	12	6	sat	sat	VERIFIED_SAT	0
WRAP44	2	5	14	6	sat	sat	VERIFIED_SAT	0
WRAP45	4	5	4	6	sat	sat	VERIFIED_SAT	0
WRAP46	4	5	6	6	sat	sat	VERIFIED_SAT	0
WRAP47	4	5	12	6	sat	sat	VERIFIED_SAT	0
WRAP48	4	5	14	6	sat	sat	VERIFIED_SAT	0
WRAP49	2	6	0	6	sat	unknown	VERIFIED_SAT	0
WRAP50	2	6	2	6	sat	unknown	VERIFIED_SAT	0
WRAP51	4	6	0	6	sat	sat	VERIFIED_SAT	0
WRAP52	4	6	2	6	sat	sat	VERIFIED_SAT	0
