original	context_index	variant	case	decision	lifted_witnesses	independent_meaning_capacity
L02_009	2	0	WRAP01	VERIFIED_SHARED_READING	2	0
L02_012	2	0	WRAP01	VERIFIED_SHARED_READING	2	0
L02_109	2	0	WRAP01	VERIFIED_SHARED_READING	2	0
L02_115	2	0	WRAP01	VERIFIED_SHARED_READING	2	0
L02_212	2	0	WRAP01	VERIFIED_SHARED_READING	2	0
L02_215	2	0	WRAP01	VERIFIED_SHARED_READING	2	0
L02_009	2	2	WRAP02	VERIFIED_SHARED_READING	2	0
L02_012	2	2	WRAP02	VERIFIED_SHARED_READING	2	0
L02_109	2	2	WRAP02	VERIFIED_SHARED_READING	2	0
L02_115	2	2	WRAP02	VERIFIED_SHARED_READING	2	0
L02_212	2	2	WRAP02	VERIFIED_SHARED_READING	2	0
L02_215	2	2	WRAP02	VERIFIED_SHARED_READING	2	0
L02_009	2	8	WRAP03	VERIFIED_SHARED_READING	2	0
L02_012	2	8	WRAP03	VERIFIED_SHARED_READING	2	0
L02_109	2	8	WRAP03	VERIFIED_SHARED_READING	2	0
L02_115	2	8	WRAP03	VERIFIED_SHARED_READING	2	0
L02_212	2	8	WRAP03	VERIFIED_SHARED_READING	2	0
L02_215	2	8	WRAP03	VERIFIED_SHARED_READING	2	0
L02_009	2	10	WRAP04	VERIFIED_SHARED_READING	2	0
L02_012	2	10	WRAP04	VERIFIED_SHARED_READING	2	0
L02_109	2	10	WRAP04	VERIFIED_SHARED_READING	2	0
L02_115	2	10	WRAP04	VERIFIED_SHARED_READING	2	0
L02_212	2	10	WRAP04	VERIFIED_SHARED_READING	2	0
L02_215	2	10	WRAP04	VERIFIED_SHARED_READING	2	0
L02_009	4	0	WRAP05	VERIFIED_SHARED_READING	2	0
L02_012	4	0	WRAP05	VERIFIED_SHARED_READING	2	0
L02_109	4	0	WRAP05	VERIFIED_SHARED_READING	2	0
L02_115	4	0	WRAP05	VERIFIED_SHARED_READING	2	0
L02_212	4	0	WRAP05	VERIFIED_SHARED_READING	2	0
L02_215	4	0	WRAP05	VERIFIED_SHARED_READING	2	0
L02_009	4	2	WRAP06	VERIFIED_SHARED_READING	2	0
L02_012	4	2	WRAP06	VERIFIED_SHARED_READING	2	0
L02_109	4	2	WRAP06	VERIFIED_SHARED_READING	2	0
L02_115	4	2	WRAP06	VERIFIED_SHARED_READING	2	0
L02_212	4	2	WRAP06	VERIFIED_SHARED_READING	2	0
L02_215	4	2	WRAP06	VERIFIED_SHARED_READING	2	0
L02_009	4	8	WRAP07	VERIFIED_SHARED_READING	2	0
