case	engine	family	context_index	variant	new_word_assignments	new_words_in_wrapper_relations	total_wrapper_functions	observed_function_input_cells	reused_input_cells	active_equal_input_pair_constraints	THEN_positions	new_THEN_spellings	longest_THEN_run	cargos	hazard_pairs	voyage_counts	independent_meaning_capacity
WRAP01	primary	1	2	0	75	33	17	45	2	2	26	16	8	3	0	15	0
WRAP01	independent	1	2	0	75	33	17	46	1	1	25	18	5	2	1	7	0
WRAP02	primary	1	2	2	75	33	17	44	3	3	20	16	4	3	0	19	0
WRAP02	independent	1	2	2	75	33	17	46	1	1	27	20	6	2	1	7	0
WRAP03	primary	1	2	8	75	33	17	46	1	1	31	24	5	3	0	13	0
WRAP03	independent	1	2	8	75	33	17	46	1	1	25	18	5	2	1	7	0
WRAP04	primary	1	2	10	75	33	17	47	0	0	23	16	4	2	0	9	0
WRAP04	independent	1	2	10	75	33	17	46	1	1	27	20	6	2	1	7	0
WRAP05	primary	1	4	0	71	29	15	41	4	4	26	15	8	3	0	15	0
WRAP05	independent	1	4	0	71	29	15	45	0	0	9	6	2	2	1	17	0
WRAP06	primary	1	4	2	71	29	15	45	0	0	20	13	3	2	1	11	0
WRAP06	independent	1	4	2	71	29	15	45	0	0	9	6	2	2	1	17	0
WRAP07	primary	1	4	8	71	29	15	45	0	0	19	12	3	2	1	13	0
WRAP07	independent	1	4	8	71	29	15	45	0	0	9	6	2	2	1	17	0
WRAP08	primary	1	4	10	71	29	15	41	4	4	28	17	8	3	0	11	0
WRAP08	independent	1	4	10	71	29	15	45	0	0	9	6	2	2	1	17	0
WRAP09	primary	2	2	0	75	33	17	46	1	1	25	17	4	2	0	13	0
WRAP10	primary	2	2	2	75	33	17	45	2	2	24	14	8	2	0	13	0
WRAP10	independent	2	2	2	75	33	17	46	1	1	27	20	6	2	1	7	0
WRAP11	primary	2	2	8	75	33	17	45	2	2	29	19	9	3	0	13	0
WRAP11	independent	2	2	8	75	33	17	46	1	1	25	18	5	3	1	7	0
WRAP12	primary	2	2	10	75	33	17	47	0	0	23	16	3	2	0	15	0
WRAP12	independent	2	2	10	75	33	17	46	1	1	27	20	6	2	1	7	0
WRAP13	primary	2	4	0	71	29	15	45	0	0	22	14	3	3	0	9	0
WRAP13	independent	2	4	0	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP14	primary	2	4	2	71	29	15	41	4	4	27	16	8	3	0	11	0
WRAP14	independent	2	4	2	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP15	primary	2	4	8	71	29	15	41	4	4	29	18	9	3	0	13	0
WRAP15	independent	2	4	8	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP16	primary	2	4	10	71	29	15	45	0	0	24	16	5	3	0	13	0
WRAP16	independent	2	4	10	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP17	primary	3	2	0	75	33	17	45	2	2	28	18	8	3	0	13	0
WRAP18	primary	3	2	2	75	33	17	46	1	1	24	16	5	3	0	15	0
WRAP19	primary	3	2	4	75	33	17	47	0	0	19	16	2	3	0	17	0
WRAP19	independent	3	2	4	75	33	17	46	1	1	25	18	5	3	1	7	0
WRAP20	primary	3	2	6	75	33	17	46	1	1	16	13	2	3	0	17	0
WRAP20	independent	3	2	6	75	33	17	46	1	1	25	18	4	3	1	7	0
WRAP21	primary	3	4	0	71	29	15	41	4	4	26	15	8	3	0	13	0
WRAP21	independent	3	4	0	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP22	primary	3	4	2	71	29	15	45	0	0	18	15	3	3	0	15	0
WRAP22	independent	3	4	2	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP23	primary	3	4	4	71	29	15	45	0	0	14	11	2	3	0	19	0
WRAP23	independent	3	4	4	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP24	primary	3	4	6	71	29	15	45	0	0	19	12	3	3	1	9	0
WRAP24	independent	3	4	6	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP25	primary	4	2	0	75	33	17	45	2	2	28	18	8	3	0	13	0
WRAP26	primary	4	2	2	75	33	17	46	1	1	24	16	5	3	0	15	0
WRAP27	primary	4	2	4	75	33	17	47	0	0	19	16	2	3	0	17	0
WRAP27	independent	4	2	4	75	33	17	46	1	1	25	18	5	3	1	7	0
WRAP28	primary	4	2	6	75	33	17	46	1	1	16	13	2	3	0	17	0
WRAP28	independent	4	2	6	75	33	17	46	1	1	25	18	4	3	1	7	0
WRAP29	primary	4	2	8	75	33	17	47	0	0	22	17	3	3	0	17	0
WRAP29	independent	4	2	8	75	33	17	46	1	1	25	18	4	3	1	7	0
WRAP30	primary	4	2	10	75	33	17	47	0	0	23	20	3	3	0	17	0
WRAP31	primary	4	2	12	75	33	17	47	0	0	19	12	3	3	0	19	0
WRAP31	independent	4	2	12	75	33	17	46	1	1	25	18	5	3	1	7	0
WRAP32	primary	4	2	14	75	33	17	45	2	2	24	14	8	3	1	13	0
WRAP32	independent	4	2	14	75	33	17	46	1	1	25	18	4	3	1	7	0
WRAP33	primary	4	4	0	71	29	15	41	4	4	26	15	8	3	0	13	0
WRAP33	independent	4	4	0	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP34	primary	4	4	2	71	29	15	45	0	0	18	15	3	3	0	15	0
WRAP34	independent	4	4	2	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP35	primary	4	4	4	71	29	15	45	0	0	14	11	2	3	0	19	0
WRAP35	independent	4	4	4	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP36	primary	4	4	6	71	29	15	45	0	0	19	12	3	3	1	9	0
WRAP36	independent	4	4	6	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP37	primary	4	4	8	71	29	15	45	0	0	22	14	5	3	0	15	0
WRAP37	independent	4	4	8	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP38	primary	4	4	10	71	29	15	45	0	0	28	20	3	3	0	13	0
WRAP38	independent	4	4	10	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP39	primary	4	4	12	71	29	15	45	0	0	22	14	6	3	0	13	0
WRAP39	independent	4	4	12	71	29	15	45	0	0	11	8	2	2	1	15	0
WRAP40	primary	4	4	14	71	29	15	45	0	0	20	13	4	2	1	13	0
WRAP40	independent	4	4	14	71	29	15	45	0	0	15	12	2	2	1	13	0
WRAP41	primary	5	2	4	75	33	17	47	0	0	19	16	2	3	0	17	0
WRAP41	independent	5	2	4	75	33	17	46	1	1	25	18	5	3	1	7	0
WRAP42	primary	5	2	6	75	33	17	46	1	1	16	13	2	3	0	17	0
WRAP42	independent	5	2	6	75	33	17	46	1	1	25	18	4	3	1	7	0
WRAP43	primary	5	2	12	75	33	17	47	0	0	19	12	3	3	0	19	0
WRAP43	independent	5	2	12	75	33	17	46	1	1	25	18	5	3	1	7	0
WRAP44	primary	5	2	14	75	33	17	45	2	2	24	14	8	3	1	13	0
WRAP44	independent	5	2	14	75	33	17	46	1	1	25	18	4	3	1	7	0
WRAP45	primary	5	4	4	71	29	15	45	0	0	14	11	2	3	0	19	0
WRAP45	independent	5	4	4	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP46	primary	5	4	6	71	29	15	45	0	0	19	12	3	3	1	9	0
WRAP46	independent	5	4	6	71	29	15	45	0	0	9	6	2	3	1	17	0
WRAP47	primary	5	4	12	71	29	15	45	0	0	22	14	6	3	0	13	0
