rank	exact_card_id	registered_surfaces	component_recipe	reading_de	events	herbal_events	bio_events	new_assignment	drill_level
1	PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	20	9	11	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
2	PROC013	cheol|chol|ol|qol|sol|tol	OL	WEITER	19	3	16	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
3	PROC019	chey|chy|dy|shy|sy|y	Y	DIES	18	9	9	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
4	PROC042	chdy|chedy	CHD+Y	UMSETZEN · DIES	11	1	10	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
5	PROC008	choky|oky|qoky	OK+Y	ANSETZEN · DIES	10	3	7	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
6	PROC055	al|chal|cheal|dal|sal|tal	AL	ZIELSTELLE	10	1	9	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
7	PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	9	1	8	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
8	PROC014	checthy|cthy|shcthy	CTH+Y	BEREITEN · DIES	7	3	4	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
9	PROC016	chor|or|shor|sor	OR	ANSATZ	7	5	2	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
10	PROC048	okal|qokal	OK+AL	ANSETZEN · ZIELSTELLE	6	1	5	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
11	PROC003	char|dar|sar	AR	QUELLE	5	2	3	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
12	PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · DIES	4	1	3	COMMON_12_ACTIVE_BOARD	SIX_COPIES_PLUS_RECALL
