semantic_head_cell_id	future_card_id	priority_rank	support_kind	support_cell_id	frozen_frame	target_action_root	target_action_recipe	register	alternate_action_root	alternate_action_recipe	event_count	event_ids	source_pages	observed_clause_form_count	observed_clauses_de	expected_portable_remainder_de	observed_portable_remainder_variant_count	observed_portable_remainders_de	all_portable_remainders_match	expected_owner_remainder_de	observed_owner_remainder_variant_count	observed_owner_remainders_de	all_owner_remainders_match	action_atom_reading_form_count	action_atom_readings_de	explicit_argument_roots	inherited_argument_roots	all_component_orders_match	all_source_roundtrips_exact
G496-H001	G495-F001	1	NONTR	G494-NS004	@ACTION	T	T	BIOLOGICAL	OK	OK	1	G496-E001	f75r	1	Setze den Stationsposten [wie zuvor] im Stationsgang an.	EMPTY	1	EMPTY	YES	EMPTY	1	EMPTY	YES	1	STATIONSGANG ANSETZEN	NONE	Y	YES	YES
G496-H002	G495-F001	1	NONTR	G494-NS005	@ACTION	T	T	BIOLOGICAL	CH	CH	1	G496-E002	f75r	1	Entnimm den Stationswert [wie zuvor].	EMPTY	1	EMPTY	YES	EMPTY	1	EMPTY	YES	1	POSTEN ENTNEHMEN	NONE	AIIN	YES	YES
G496-H003	G495-F001	1	NONTR	G494-NS006	@ACTION	T	T	BIOLOGICAL	SH	SH	1	G496-E003	f77r	1	Halte den Stationswert [wie zuvor].	EMPTY	1	EMPTY	YES	EMPTY	1	EMPTY	YES	1	POSTEN HALTEN	NONE	AIIN	YES	YES
G496-H004	G495-F001	1	NONTR	G494-NS007	@ACTION	T	T	BIOLOGICAL	S	S	12	G496-E004|G496-E005|G496-E006|G496-E007|G496-E008|G496-E009|G496-E010|G496-E011|G496-E012|G496-E013|G496-E014|G496-E015	f75r|f76r|f77r|f81v|f82r|f83r	4	Wähle den Stationsanteil [wie zuvor]. || Wähle den Stationsposten [wie zuvor]. || Wähle den Stationswert [wie zuvor]. || Wähle die Stationseinheit [wie zuvor].	EMPTY	1	EMPTY	YES	EMPTY	1	EMPTY	YES	1	STATION WÄHLEN	NONE	AIIN|AIN|OR|Y	YES	YES
G496-H005	G495-F001	1	NONTR	G494-NS008	@ACTION	T	T	BIOLOGICAL	CHD	CHD	2	G496-E016|G496-E017	f77r|f83r	2	Bearbeite den Stationsanteil [wie zuvor]. || Bearbeite den Stationswert [wie zuvor].	EMPTY	1	EMPTY	YES	EMPTY	1	EMPTY	YES	1	POSTEN BEARBEITEN	NONE	AIIN|AIN	YES	YES
G496-H006	G495-F001	1	OPPOSITE_TR	G494-TRS002	@ACTION	T	T	BIOLOGICAL	R	R	12	G496-E018|G496-E019|G496-E020|G496-E021|G496-E022|G496-E023|G496-E024|G496-E025|G496-E026|G496-E027|G496-E028|G496-E029	f75r|f76r|f77r|f81v|f82r|f83r	2	Markiere den Stationsposten [wie zuvor]. || Markiere.	EMPTY	1	EMPTY	YES	EMPTY	1	EMPTY	YES	1	STATION MARKIEREN	NONE	Y	YES	YES
G496-H007	G495-F002	2	NONTR	G494-NS052	@ACTION+AL	R	R+AL	CELESTIAL	OK	OK+AL	5	G496-E030|G496-E031|G496-E032|G496-E033|G496-E034	f68r1|f71v|f72r	2	Setze den Positionsposten [wie zuvor]; zur Zielposition. || Setze den Positionswert [wie zuvor]; zur Zielposition.	ZIELORT	1	ZIELORT	YES	ZIELPOSITION	1	ZIELPOSITION	YES	1	POSITION SETZEN	NONE	AIIN|Y	YES	YES
G496-H008	G495-F002	2	NONTR	G494-NS053	@ACTION+AL	R	R+AL	CELESTIAL	CH	CH+AL	2	G496-E035|G496-E036	f71v|f72r	2	Nimm auf; zur Zielposition. || Nimm den Positionswert [wie zuvor] auf; zur Zielposition.	ZIELORT	1	ZIELORT	YES	ZIELPOSITION	1	ZIELPOSITION	YES	1	POSITION AUFNEHMEN	NONE	AIIN	YES	YES
G496-H009	G495-F002	2	NONTR	G494-NS054	@ACTION+AL	R	R+AL	CELESTIAL	K	K+AL	1	G496-E037	f71v	1	Ordne den Positionsposten [wie zuvor] zu; zur Zielposition.	ZIELORT	1	ZIELORT	YES	ZIELPOSITION	1	ZIELPOSITION	YES	1	WERT ZUORDNEN	NONE	Y	YES	YES
G496-H010	G495-F002	2	NONTR	G494-NS055	@ACTION+AL	R	R+AL	CELESTIAL	S	S+AL	2	G496-E038|G496-E039	f67r2|f72r	1	Wähle den Positionswert [wie zuvor]; zur Zielposition.	ZIELORT	1	ZIELORT	YES	ZIELPOSITION	1	ZIELPOSITION	YES	1	POSITION WÄHLEN	NONE	AIIN	YES	YES
G496-H011	G495-F002	2	NONTR	G494-NS056	@ACTION+AL	R	R+AL	CELESTIAL	CHD	CHD+AL	1	G496-E040	f72r	1	Bearbeite den Positionsposten [wie zuvor]; zur Zielposition.	ZIELORT	1	ZIELORT	YES	ZIELPOSITION	1	ZIELPOSITION	YES	1	EINTRAG BEARBEITEN	NONE	Y	YES	YES
G496-H012	G495-F002	2	OPPOSITE_TR	G494-TRS008	@ACTION+AL	R	R+AL	CELESTIAL	T	T+AL	1	G496-E041	f71v	1	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	ZIELORT	1	ZIELORT	YES	ZIELPOSITION	1	ZIELPOSITION	YES	1	WERT EINSTELLEN	NONE	Y	YES	YES
G496-H013	G495-F003	3	NONTR	G494-NS014	@ACTION+AIIN	T	T+AIIN	CELESTIAL	OK	OK+AIIN	7	G496-E042|G496-E043|G496-E044|G496-E045|G496-E046|G496-E047|G496-E048	f71v|f72r	1	Setze den Positionswert.	WERT	1	WERT	YES	POSITIONSWERT	1	POSITIONSWERT	YES	1	POSITION SETZEN	AIIN	NONE	YES	YES
G496-H014	G495-F003	3	NONTR	G494-NS015	@ACTION+AIIN	T	T+AIIN	CELESTIAL	K	K+AIIN	1	G496-E049	f71v	1	Ordne den Positionswert zu.	WERT	1	WERT	YES	POSITIONSWERT	1	POSITIONSWERT	YES	1	WERT ZUORDNEN	AIIN	NONE	YES	YES
G496-H015	G495-F003	3	NONTR	G494-NS016	@ACTION+AIIN	T	T+AIIN	CELESTIAL	S	S+AIIN	2	G496-E050|G496-E051	f67r2|f72r	1	Wähle den Positionswert.	WERT	1	WERT	YES	POSITIONSWERT	1	POSITIONSWERT	YES	1	POSITION WÄHLEN	AIIN	NONE	YES	YES
G496-H016	G495-F003	3	NONTR	G494-NS017	@ACTION+AIIN	T	T+AIIN	CELESTIAL	CHD	CHD+AIIN	2	G496-E052|G496-E053	f67r2|f72r	1	Bearbeite den Positionswert.	WERT	1	WERT	YES	POSITIONSWERT	1	POSITIONSWERT	YES	1	EINTRAG BEARBEITEN	AIIN	NONE	YES	YES
G496-H017	G495-F004	4	NONTR	G494-NS021	@ACTION+AIIN	R	R+AIIN	CELESTIAL	OK	OK+AIIN	7	G496-E054|G496-E055|G496-E056|G496-E057|G496-E058|G496-E059|G496-E060	f71v|f72r	1	Setze den Positionswert.	WERT	1	WERT	YES	POSITIONSWERT	1	POSITIONSWERT	YES	1	POSITION SETZEN	AIIN	NONE	YES	YES
G496-H018	G495-F004	4	NONTR	G494-NS022	@ACTION+AIIN	R	R+AIIN	CELESTIAL	K	K+AIIN	1	G496-E061	f71v	1	Ordne den Positionswert zu.	WERT	1	WERT	YES	POSITIONSWERT	1	POSITIONSWERT	YES	1	WERT ZUORDNEN	AIIN	NONE	YES	YES
G496-H019	G495-F004	4	NONTR	G494-NS023	@ACTION+AIIN	R	R+AIIN	CELESTIAL	S	S+AIIN	2	G496-E062|G496-E063	f67r2|f72r	1	Wähle den Positionswert.	WERT	1	WERT	YES	POSITIONSWERT	1	POSITIONSWERT	YES	1	POSITION WÄHLEN	AIIN	NONE	YES	YES
G496-H020	G495-F004	4	NONTR	G494-NS024	@ACTION+AIIN	R	R+AIIN	CELESTIAL	CHD	CHD+AIIN	2	G496-E064|G496-E065	f67r2|f72r	1	Bearbeite den Positionswert.	WERT	1	WERT	YES	POSITIONSWERT	1	POSITIONSWERT	YES	1	EINTRAG BEARBEITEN	AIIN	NONE	YES	YES
G496-H021	G495-F005	5	NONTR	G494-NS029	@ACTION+AIN	T	T+AIN	HERBAL	OK	OK+AIN	7	G496-E066|G496-E067|G496-E068|G496-E069|G496-E070|G496-E071|G496-E072	f18r|f55v|f95v	1	Setze den Materialanteil im Arbeitsgang an.	ANTEIL	1	ANTEIL	YES	MATERIALANTEIL	1	MATERIALANTEIL	YES	1	ARBEITSGANG ANSETZEN	AIN	NONE	YES	YES
G496-H022	G495-F005	5	NONTR	G494-NS030	@ACTION+AIN	T	T+AIN	HERBAL	K	K+AIN	1	G496-E073	f95v	1	Gib den Materialanteil zu.	ANTEIL	1	ANTEIL	YES	MATERIALANTEIL	1	MATERIALANTEIL	YES	1	MATERIAL ZUGEBEN	AIN	NONE	YES	YES
