family_event_id	future_card_id	priority_rank	support_kind	support_cell_id	target_action_root	target_action_recipe	frozen_frame	register	alternate_action_root	alternate_action_recipe	source_event_id	source_statement_id	source_page	source_surface	source_owner_class	source_owner_de	observed_clause_de	action_atom_reading_de	explicit_argument_roots	inherited_argument_root	expected_portable_remainder_de	observed_portable_remainder_de	portable_remainder_match	expected_owner_remainder_de	observed_owner_remainder_de	owner_remainder_match	component_order_match	source_roundtrip_exact
G496-E001	G495-F001	1	NONTR	G494-NS004	T	T	@ACTION	BIOLOGICAL	OK	OK	G407-E1456	G407-S085	f75r	ok	BAD_ODER_BECKENFELD	großes Bad-/Stationsblatt mit dreieckiger Insel	Setze den Stationsposten [wie zuvor] im Stationsgang an.	STATIONSGANG ANSETZEN	NONE	Y	EMPTY	EMPTY	YES	EMPTY	EMPTY	YES	YES	YES
G496-E002	G495-F001	1	NONTR	G494-NS005	T	T	@ACTION	BIOLOGICAL	CH	CH	G407-E1811	G407-S184	f75r	ch	BAD_ODER_BECKENFELD	großes Bad-/Stationsblatt mit dreieckiger Insel	Entnimm den Stationswert [wie zuvor].	POSTEN ENTNEHMEN	NONE	AIIN	EMPTY	EMPTY	YES	EMPTY	EMPTY	YES	YES	YES
G496-E003	G495-F001	1	NONTR	G494-NS006	T	T	@ACTION	BIOLOGICAL	SH	SH	G407-E2652	G407-S385	f77r	sh	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	Halte den Stationswert [wie zuvor].	POSTEN HALTEN	NONE	AIIN	EMPTY	EMPTY	YES	EMPTY	EMPTY	YES	YES	YES
G496-E004	G495-F001	1	NONTR	G494-NS007	T	T	@ACTION	BIOLOGICAL	S	S	G407-E1731	G407-S143	f75r	s	BAD_ODER_BECKENFELD	großes Bad-/Stationsblatt mit dreieckiger Insel	Wähle den Stationsanteil [wie zuvor].	STATION WÄHLEN	NONE	AIN	EMPTY	EMPTY	YES	EMPTY	EMPTY	YES	YES	YES
G496-E005	G495-F001	1	NONTR	G494-NS007	T	T	@ACTION	BIOLOGICAL	S	S	G407-E1945	G407-S215	f76r	s	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A3	Wähle den Stationswert [wie zuvor].	STATION WÄHLEN	NONE	AIIN	EMPTY	EMPTY	YES	EMPTY	EMPTY	YES	YES	YES
G496-E006	G495-F001	1	NONTR	G494-NS007	T	T	@ACTION	BIOLOGICAL	S	S	G407-E2659	G407-S386	f77r	s	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	Wähle den Stationsanteil [wie zuvor].	STATION WÄHLEN	NONE	AIN	EMPTY	EMPTY	YES	EMPTY	EMPTY	YES	YES	YES
G496-E007	G495-F001	1	NONTR	G494-NS007	T	T	@ACTION	BIOLOGICAL	S	S	G407-E2666	G407-S390	f77r	s	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	Wähle den Stationsposten [wie zuvor].	STATION WÄHLEN	NONE	Y	EMPTY	EMPTY	YES	EMPTY	EMPTY	YES	YES	YES
G496-E008	G495-F001	1	NONTR	G494-NS007	T	T	@ACTION	BIOLOGICAL	S	S	G407-E2691	G407-S392	f77r	s	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	Wähle den Stationswert [wie zuvor].	STATION WÄHLEN	NONE	AIIN	EMPTY	EMPTY	YES	EMPTY	EMPTY	YES	YES	YES
G496-E009	G495-F001	1	NONTR	G494-NS007	T	T	@ACTION	BIOLOGICAL	S	S	G407-E2982	G407-S448	f81v	s	BAD_ODER_BECKENFELD	gemeinsames zweireihiges Badfeld	Wähle den Stationsposten [wie zuvor].	STATION WÄHLEN	NONE	Y	EMPTY	EMPTY	YES	EMPTY	EMPTY	YES	YES	YES
G496-E010	G495-F001	1	NONTR	G494-NS007	T	T	@ACTION	BIOLOGICAL	S	S	G407-E3299	G407-S521	f82r	s	BAD_ODER_BECKENFELD	mehrere getrennte Bad- und Leitungsstationen	Wähle die Stationseinheit [wie zuvor].	STATION WÄHLEN	NONE	OR	EMPTY	EMPTY	YES	EMPTY	EMPTY	YES	YES	YES
