semantic_card_id	future_card_id	priority_rank	source_realization_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_slot_trace_de	previous_working_phrase_de	context_safe_default_phrase_de	default_change_type	state_requirement	state_warning_retained	substitution_class	action_substitution_reading	observed_head_cell_count	observed_nontr_head_cell_count	observed_opposite_tr_cell_count	observed_action_roots	observed_family_event_count	source_event_ids	source_pages	expected_portable_remainder_de	observed_portable_remainder_variants_de	portable_remainder_mismatch_count	expected_owner_remainder_de	observed_owner_remainder_variants_de	owner_remainder_mismatch_count	explicit_argument_roots_in_family	inherited_argument_roots_in_family	all_component_orders_match	all_source_roundtrips_exact	working_meaning_retained	surface_prediction_made	occurrence_prediction_made	guard
G496-S001	G495-F001	1	G493-C003	@ACTION	T	T	BIOLOGICAL	EINSTELLEN	T=STATIONSWERT EINSTELLEN	Stelle den Stationsposten [wie zuvor] ein.	Stelle das zuvor Genannte ein.	CONTEXT_NOUN_GENERALIZED	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	CONTEXT_SAFE_MULTIPLE_INHERITED_ROOTS	CONDITIONAL_ON_ACTIVE_ARGUMENT	6	5	1	OK|CH|SH|S|CHD|R	29	G407-E1456|G407-E1811|G407-E2652|G407-E1731|G407-E1945|G407-E2659|G407-E2666|G407-E2691|G407-E2982|G407-E3299|G407-E3321|G407-E3544|G407-E3571|G407-E3702|G407-E3716|G407-E2428|G407-E3624|G407-E1463|G407-E1527|G407-E1912|G407-E2127|G407-E2152|G407-E2513|G407-E2656|G407-E3063|G407-E3237|G407-E3273|G407-E3296|G407-E3532	f75r|f76r|f77r|f81v|f82r|f83r	EMPTY	EMPTY	0	EMPTY	EMPTY	0	NONE	AIIN|AIN|OR|Y	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S002	G495-F002	2	G493-C039	@ACTION+AL	R	R+AL	CELESTIAL	MARKIEREN · ZIELORT	R=POSITION MARKIEREN · AL=ZIELPOSITION	Markiere den Positionsposten [wie zuvor]; zur Zielposition.	Markiere das zuvor Genannte; zur Zielposition.	CONTEXT_NOUN_GENERALIZED	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	CONTEXT_SAFE_MULTIPLE_INHERITED_ROOTS	CONDITIONAL_ON_ACTIVE_ARGUMENT	6	5	1	OK|CH|K|S|CHD|T	12	G407-E1049|G407-E1130|G407-E1201|G407-E1255|G407-E1278|G407-E1096|G407-E1215|G407-E1136|G407-E0990|G407-E1169|G407-E1144|G407-E1108	f67r2|f68r1|f71v|f72r	ZIELORT	ZIELORT	0	ZIELPOSITION	ZIELPOSITION	0	NONE	AIIN|Y	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S003	G495-F003	3	G493-C014	@ACTION+AIIN	T	T+AIIN	CELESTIAL	EINSTELLEN · WERT	T=WERT EINSTELLEN · AIIN=POSITIONSWERT	Stelle den Positionswert ein.	Stelle den Positionswert ein.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	4	4	0	OK|K|S|CHD	12	G407-E1132|G407-E1178|G407-E1193|G407-E1194|G407-E1231|G407-E1289|G407-E1298|G407-E1106|G407-E0942|G407-E1257|G407-E0961|G407-E1305	f67r2|f71v|f72r	WERT	WERT	0	POSITIONSWERT	POSITIONSWERT	0	AIIN	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S004	G495-F004	4	G493-C019	@ACTION+AIIN	R	R+AIIN	CELESTIAL	MARKIEREN · WERT	R=POSITION MARKIEREN · AIIN=POSITIONSWERT	Markiere den Positionswert.	Markiere den Positionswert.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	4	4	0	OK|K|S|CHD	12	G407-E1132|G407-E1178|G407-E1193|G407-E1194|G407-E1231|G407-E1289|G407-E1298|G407-E1106|G407-E0942|G407-E1257|G407-E0961|G407-E1305	f67r2|f71v|f72r	WERT	WERT	0	POSITIONSWERT	POSITIONSWERT	0	AIIN	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S005	G495-F005	5	G493-C022	@ACTION+AIN	T	T+AIN	HERBAL	EINSTELLEN · ANTEIL	T=ARBEITSSTUFE EINSTELLEN · AIN=MATERIALANTEIL	Stelle den Materialanteil ein.	Stelle den Materialanteil ein.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	4	4	0	OK|K|S|CHD	12	G407-E0550|G407-E0719|G407-E4452|G407-E4465|G407-E4471|G407-E4483|G407-E4561|G407-E4515|G407-E0510|G407-E0652|G407-E4544|G407-E4548	f17r|f18r|f24v|f55v|f95v	ANTEIL	ANTEIL	0	MATERIALANTEIL	MATERIALANTEIL	0	AIN	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S006	G495-F006	6	G493-C027	@ACTION+AIN	R	R+AIN	HERBAL	MARKIEREN · ANTEIL	R=TEIL MARKIEREN · AIN=MATERIALANTEIL	Markiere den Materialanteil.	Markiere den Materialanteil.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	4	4	0	OK|K|S|CHD	12	G407-E0550|G407-E0719|G407-E4452|G407-E4465|G407-E4471|G407-E4483|G407-E4561|G407-E4515|G407-E0510|G407-E0652|G407-E4544|G407-E4548	f17r|f18r|f24v|f55v|f95v	ANTEIL	ANTEIL	0	MATERIALANTEIL	MATERIALANTEIL	0	AIN	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S007	G495-F007	7	G493-C097	@ACTION+Y	R	R+Y	HERBAL	MARKIEREN · POSTEN	R=TEIL MARKIEREN · Y=PFLANZENPOSTEN	Markiere den Pflanzenposten.	Markiere den Pflanzenposten.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	4	3	1	OK|K|CHD|T	29	G407-E0230|G407-E0254|G407-E0412|G407-E0418|G407-E0427|G407-E0431|G407-E0454|G407-E0455|G407-E0493|G407-E0594|G407-E0757|G407-E0771|G407-E0842|G407-E0846|G407-E0872|G407-E4464|G407-E4468|G407-E0336|G407-E0395|G407-E0441|G407-E0707|G407-E0727|G407-E0746|G407-E0828|G407-E4485|G407-E4499|G407-E4521|G407-E0235|G407-E0402	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f95v	POSTEN	POSTEN	0	PFLANZENPOSTEN	PFLANZENPOSTEN	0	Y	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S008	G495-F008	8	G493-C077	@ACTION+OL	R	R+OL	HERBAL	MARKIEREN · FORTSETZEN	R=TEIL MARKIEREN · OL=PFLANZENBEHANDLUNG FORTSETZEN	Weiter markiere den Pflanzenposten [wie zuvor].	Weiter markiere das zuvor Genannte.	CONTEXT_NOUN_GENERALIZED	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	CONTEXT_SAFE_MULTIPLE_INHERITED_ROOTS	CONDITIONAL_ON_ACTIVE_ARGUMENT	4	3	1	OK|SH|K|T	21	G407-E0268|G407-E0363|G407-E0471|G407-E0531|G407-E0543|G407-E0583|G407-E0633|G407-E0815|G407-E0368|G407-E0371|G407-E0470|G407-E0651|G407-E0850|G407-E4537|G407-E0322|G407-E0403|G407-E0840|G407-E0849|G407-E0339|G407-E0852|G407-E0880	f10r|f11r|f13r|f17r|f18r|f24v|f56r|f95v	FORTSETZEN	FORTSETZEN	0	PFLANZENBEHANDLUNG FORTSETZEN	PFLANZENBEHANDLUNG FORTSETZEN	0	NONE	AIIN|OR|Y	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S009	G495-F009	9	G493-C032	@ACTION+AL	T	T+AL	HERBAL	EINSTELLEN · ZIELORT	T=ARBEITSSTUFE EINSTELLEN · AL=ZIELSTELLE	Stelle den Pflanzenposten [wie zuvor] ein; zur Zielstelle.	Stelle das zuvor Genannte ein; zur Zielstelle.	CONTEXT_NOUN_GENERALIZED	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	CONTEXT_SAFE_MULTIPLE_INHERITED_ROOTS	CONDITIONAL_ON_ACTIVE_ARGUMENT	3	3	0	OK|CH|K	9	G407-E0574|G407-E0580|G407-E0600|G407-E0758|G407-E0783|G407-E4425|G407-E4491|G407-E0798|G407-E0775	f18r|f55v|f56r|f95v	ZIELORT	ZIELORT	0	ZIELSTELLE	ZIELSTELLE	0	NONE	AIIN|OR|Y	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S010	G495-F010	10	G493-C095	@ACTION+Y	T	T+Y	PHARMA	EINSTELLEN · POSTEN	T=ANSATZWERT EINSTELLEN · Y=DROGENPOSTEN	Stelle den Drogenposten ein.	Stelle den Drogenposten ein.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	3	3	0	OK|K|CHD	9	G407-E3814|G407-E3980|G407-E4034|G407-E4058|G407-E4165|G407-E4217|G407-E4228|G407-E4330|G407-E4075	f88r|f88v|f89r	POSTEN	POSTEN	0	DROGENPOSTEN	DROGENPOSTEN	0	Y	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
