profile	position	input_wrapper	preferred_wrapper	support_choices	preferred_choices
P1_EARLY_HERBAL	FIRST	BARE	q	2	2
P1_EARLY_HERBAL	LAST	ch	d	1	1
P1_EARLY_HERBAL	LAST	che	d	2	1
P1_EARLY_HERBAL	MIDDLE	BARE	ch	1	1
P1_EARLY_HERBAL	MIDDLE	ch	d	5	3
P1_EARLY_HERBAL	MIDDLE	che	sh	1	1
P1_EARLY_HERBAL	MIDDLE	d	t	1	1
P2_LATE_HERBAL	FIRST	d	BARE	2	1
P2_LATE_HERBAL	MIDDLE	BARE	ch	1	1
P2_LATE_HERBAL	MIDDLE	ch	BARE	1	1
P2_LATE_HERBAL	MIDDLE	che	BARE	1	1
P2_LATE_HERBAL	MIDDLE	d	ch	1	1
P2_LATE_HERBAL	MIDDLE	q	BARE	1	1
P3_BIOLOGICAL	FIRST	BARE	s	3	2
P3_BIOLOGICAL	FIRST	ch	BARE	2	1
P3_BIOLOGICAL	FIRST	d	che	2	1
P3_BIOLOGICAL	FIRST	q	BARE	2	2
P3_BIOLOGICAL	FIRST	s	d	1	1
P3_BIOLOGICAL	LAST	ch	d	1	1
P3_BIOLOGICAL	LAST	che	ch	2	1
P3_BIOLOGICAL	LAST	d	BARE	2	1
P3_BIOLOGICAL	LAST	q	BARE	2	2
P3_BIOLOGICAL	LAST	sh	che	1	1
P3_BIOLOGICAL	MIDDLE	BARE	q	6	3
P3_BIOLOGICAL	MIDDLE	ch	che	3	1
P3_BIOLOGICAL	MIDDLE	che	sh	4	3
P3_BIOLOGICAL	MIDDLE	d	BARE	3	2
P3_BIOLOGICAL	MIDDLE	q	BARE	5	4
P3_BIOLOGICAL	ONLY	BARE	q	4	3
P3_BIOLOGICAL	ONLY	d	ch	1	1
P3_BIOLOGICAL	ONLY	s	d	2	1
P3_BIOLOGICAL	ONLY	sh	t	1	1
P4_CELESTIAL	FIRST	BARE	d	3	2
P4_CELESTIAL	FIRST	ch	BARE	2	1
P4_CELESTIAL	FIRST	d	BARE	1	1
P4_CELESTIAL	LAST	BARE	d	5	2
P4_CELESTIAL	LAST	d	BARE	4	1
P4_CELESTIAL	MIDDLE	BARE	d	13	7
P4_CELESTIAL	MIDDLE	ch	BARE	2	2
P4_CELESTIAL	MIDDLE	che	sh	1	1
P4_CELESTIAL	MIDDLE	d	che	4	2
