choice_order	domain	item_id	unit_id	page	position	profile	body	input_wrapper	observed_wrapper	global_prediction	global_exact	profile_prediction	profile_exact	positional_prediction	positional_exact
1	PROSE	E008	H1	f10r	MIDDLE	P1_EARLY_HERBAL	oky	ch	BARE	BARE	YES	d	NO	d	NO
2	PROSE	E011	H1	f10r	FIRST	P1_EARLY_HERBAL	okchy	BARE	q	d	NO	q	YES	q	YES
3	PROSE	E020	H2	f10r	MIDDLE	P1_EARLY_HERBAL	y	ch	d	BARE	NO	d	YES	d	YES
4	PROSE	E022	H2	f10r	MIDDLE	P1_EARLY_HERBAL	aiin	d	t	BARE	NO	t	YES	t	YES
5	PROSE	E023	H2	f10r	LAST	P1_EARLY_HERBAL	y	che	sh	sh	YES	sh	YES	d	NO
6	PROSE	E024	H2	f10r	FIRST	P1_EARLY_HERBAL	otchor	BARE	q	d	NO	q	YES	q	YES
7	PROSE	E028	H2	f10r	MIDDLE	P1_EARLY_HERBAL	olor	BARE	ch	d	NO	q	NO	ch	YES
8	PROSE	E031	H2	f10r	LAST	P1_EARLY_HERBAL	ar	ch	d	BARE	NO	d	YES	d	YES
9	PROSE	E033	H2	f10r	MIDDLE	P1_EARLY_HERBAL	or	ch	sh	BARE	NO	d	NO	d	NO
10	PROSE	E037	H2	f10r	MIDDLE	P1_EARLY_HERBAL	y	ch	d	BARE	NO	d	YES	d	YES
11	PROSE	E044	H3	f11r	MIDDLE	P1_EARLY_HERBAL	ey	che	sh	sh	YES	sh	YES	sh	YES
12	PROSE	E050	H3	f11r	MIDDLE	P1_EARLY_HERBAL	y	ch	d	BARE	NO	d	YES	d	YES
13	PROSE	E055	H3	f11r	LAST	P1_EARLY_HERBAL	y	che	d	sh	NO	sh	NO	d	YES
14	PROSE	E057	H4	f55v	MIDDLE	P2_LATE_HERBAL	aiin	d	ch	BARE	NO	BARE	NO	ch	YES
15	PROSE	E068	H4	f55v	FIRST	P2_LATE_HERBAL	aiin	d	BARE	BARE	YES	BARE	YES	BARE	YES
16	PROSE	E069	H4	f55v	MIDDLE	P2_LATE_HERBAL	okal	q	BARE	BARE	YES	BARE	YES	BARE	YES
17	PROSE	E071	H4	f55v	MIDDLE	P2_LATE_HERBAL	or	ch	BARE	BARE	YES	BARE	YES	BARE	YES
18	PROSE	E072	H4	f55v	MIDDLE	P2_LATE_HERBAL	y	che	BARE	sh	NO	BARE	YES	BARE	YES
19	PROSE	E083	H5	f56r	FIRST	P2_LATE_HERBAL	chol	d	s	BARE	NO	BARE	NO	BARE	NO
20	PROSE	E095	H5	f56r	MIDDLE	P2_LATE_HERBAL	okchy	BARE	ch	d	NO	ch	YES	ch	YES
21	PROSE	E102	B1	f81v	FIRST	P3_BIOLOGICAL	okaiin	q	BARE	BARE	YES	BARE	YES	BARE	YES
22	PROSE	E104	B1	f81v	MIDDLE	P3_BIOLOGICAL	okal	q	BARE	BARE	YES	BARE	YES	BARE	YES
23	PROSE	E105	B1	f81v	MIDDLE	P3_BIOLOGICAL	ar	ch	s	BARE	NO	s	YES	che	NO
24	PROSE	E109	B1	f81v	MIDDLE	P3_BIOLOGICAL	al	d	BARE	BARE	YES	BARE	YES	BARE	YES
25	PROSE	E121	B1	f81v	ONLY	P3_BIOLOGICAL	ol	BARE	q	d	NO	q	YES	q	YES
26	PROSE	E128	B1	f81v	MIDDLE	P3_BIOLOGICAL	ckhy	ch	sh	BARE	NO	s	NO	che	NO
27	PROSE	E142	B1	f81v	MIDDLE	P3_BIOLOGICAL	okey	BARE	q	d	NO	q	YES	q	YES
28	PROSE	E148	B1	f81v	MIDDLE	P3_BIOLOGICAL	ol	BARE	q	d	NO	q	YES	q	YES
29	PROSE	E153	B1	f81v	MIDDLE	P3_BIOLOGICAL	okeey	q	BARE	BARE	YES	BARE	YES	BARE	YES
30	PROSE	E154	B1	f81v	MIDDLE	P3_BIOLOGICAL	ol	BARE	q	d	NO	q	YES	q	YES
31	PROSE	E155	B1	f81v	LAST	P3_BIOLOGICAL	edy	sh	che	che	YES	che	YES	che	YES
32	PROSE	E156	B1	f81v	FIRST	P3_BIOLOGICAL	al	d	s	BARE	NO	BARE	NO	che	NO
33	PROSE	E163	B1	f81v	ONLY	P3_BIOLOGICAL	edy	sh	t	che	NO	che	NO	t	YES
34	PROSE	E166	B1	f81v	ONLY	P3_BIOLOGICAL	al	d	ch	BARE	NO	BARE	NO	ch	YES
35	PROSE	E167	B2	f82r	ONLY	P3_BIOLOGICAL	chedy	s	d	d	YES	d	YES	d	YES
36	PROSE	E170	B2	f82r	MIDDLE	P3_BIOLOGICAL	y	che	d	sh	NO	sh	NO	sh	NO
37	PROSE	E190	B2	f82r	FIRST	P3_BIOLOGICAL	otaiin	BARE	s	d	NO	q	NO	s	YES
38	PROSE	E198	B2	f82r	FIRST	P3_BIOLOGICAL	okain	q	BARE	BARE	YES	BARE	YES	BARE	YES
39	PROSE	E200	B2	f82r	MIDDLE	P3_BIOLOGICAL	okain	q	BARE	BARE	YES	BARE	YES	BARE	YES
