profile	input_wrapper	preferred_wrapper	support_choices	preferred_choices	all_observed_choices	teaching_rule_de
P1_EARLY_HERBAL	BARE	q	3	2	ch:1|q:2	Wenn die Meisterform mit BARE eintritt, bevorzugt P1_EARLY_HERBAL die Form q; andere gelernte Wrapper bleiben erlaubt.
P1_EARLY_HERBAL	ch	d	6	4	BARE:1|d:4|sh:1	Wenn die Meisterform mit ch eintritt, bevorzugt P1_EARLY_HERBAL die Form d; andere gelernte Wrapper bleiben erlaubt.
P1_EARLY_HERBAL	che	sh	3	2	d:1|sh:2	Wenn die Meisterform mit che eintritt, bevorzugt P1_EARLY_HERBAL die Form sh; andere gelernte Wrapper bleiben erlaubt.
P1_EARLY_HERBAL	d	t	1	1	t:1	Wenn die Meisterform mit d eintritt, bevorzugt P1_EARLY_HERBAL die Form t; andere gelernte Wrapper bleiben erlaubt.
P2_LATE_HERBAL	BARE	ch	1	1	ch:1	Wenn die Meisterform mit BARE eintritt, bevorzugt P2_LATE_HERBAL die Form ch; andere gelernte Wrapper bleiben erlaubt.
P2_LATE_HERBAL	ch	BARE	1	1	BARE:1	Wenn die Meisterform mit ch eintritt, bevorzugt P2_LATE_HERBAL die Form BARE; andere gelernte Wrapper bleiben erlaubt.
P2_LATE_HERBAL	che	BARE	1	1	BARE:1	Wenn die Meisterform mit che eintritt, bevorzugt P2_LATE_HERBAL die Form BARE; andere gelernte Wrapper bleiben erlaubt.
P2_LATE_HERBAL	d	BARE	3	1	BARE:1|ch:1|s:1	Wenn die Meisterform mit d eintritt, bevorzugt P2_LATE_HERBAL die Form BARE; andere gelernte Wrapper bleiben erlaubt.
P2_LATE_HERBAL	q	BARE	1	1	BARE:1	Wenn die Meisterform mit q eintritt, bevorzugt P2_LATE_HERBAL die Form BARE; andere gelernte Wrapper bleiben erlaubt.
P3_BIOLOGICAL	BARE	q	13	7	ch:1|che:1|q:7|s:3|t:1	Wenn die Meisterform mit BARE eintritt, bevorzugt P3_BIOLOGICAL die Form q; andere gelernte Wrapper bleiben erlaubt.
P3_BIOLOGICAL	ch	s	6	2	BARE:1|che:1|d:1|s:2|sh:1	Wenn die Meisterform mit ch eintritt, bevorzugt P3_BIOLOGICAL die Form s; andere gelernte Wrapper bleiben erlaubt.
P3_BIOLOGICAL	che	sh	6	3	ch:1|d:1|s:1|sh:3	Wenn die Meisterform mit che eintritt, bevorzugt P3_BIOLOGICAL die Form sh; andere gelernte Wrapper bleiben erlaubt.
P3_BIOLOGICAL	d	BARE	8	3	BARE:3|ch:1|che:1|s:2|t:1	Wenn die Meisterform mit d eintritt, bevorzugt P3_BIOLOGICAL die Form BARE; andere gelernte Wrapper bleiben erlaubt.
P3_BIOLOGICAL	q	BARE	9	8	BARE:8|sh:1	Wenn die Meisterform mit q eintritt, bevorzugt P3_BIOLOGICAL die Form BARE; andere gelernte Wrapper bleiben erlaubt.
P3_BIOLOGICAL	s	d	3	2	d:2|t:1	Wenn die Meisterform mit s eintritt, bevorzugt P3_BIOLOGICAL die Form d; andere gelernte Wrapper bleiben erlaubt.
P3_BIOLOGICAL	sh	che	2	1	che:1|t:1	Wenn die Meisterform mit sh eintritt, bevorzugt P3_BIOLOGICAL die Form che; andere gelernte Wrapper bleiben erlaubt.
P4_CELESTIAL	BARE	d	21	11	ch:2|che:2|d:11|q:2|s:4	Wenn die Meisterform mit BARE eintritt, bevorzugt P4_CELESTIAL die Form d; andere gelernte Wrapper bleiben erlaubt.
P4_CELESTIAL	ch	BARE	4	3	BARE:3|t:1	Wenn die Meisterform mit ch eintritt, bevorzugt P4_CELESTIAL die Form BARE; andere gelernte Wrapper bleiben erlaubt.
P4_CELESTIAL	che	sh	1	1	sh:1	Wenn die Meisterform mit che eintritt, bevorzugt P4_CELESTIAL die Form sh; andere gelernte Wrapper bleiben erlaubt.
P4_CELESTIAL	d	che	9	3	BARE:2|ch:2|che:3|s:2	Wenn die Meisterform mit d eintritt, bevorzugt P4_CELESTIAL die Form che; andere gelernte Wrapper bleiben erlaubt.
