source_reading_id	decision	family_ids	decomposition	old_lexical_core_de	v85_lexical_core_de	v85_context_realization_de	repair_mode	score_delta_lexical_core	lexical_core_cap	context_realization_cap	resolved_debt_atom	evidence_class	evidence_de	counterevidence_de	open_semantic_slots	component_global_export_allowed	occurrence_bound_span_override	occurrence_bound_span_role_override	occurrence_bound_span_export_override
al#1	REVISE	F_AL	AL	Rohstoffklasse I	Material I	Material I	ATLAS_FAMILY_CORE	8	59	59	ROHSTOFF+KLASSENHAUPT	ATLAS_FAMILY_INTERSECTION	Drei aktive Positionen auf drei Seiten; GDT655 belegt AL als unterste Stufe der AL/DAL-Materialleiter, und GDT684 sieht MATERIAL_ROLE ohne Identitaetssignal.	Eine freie A|L-Grenze fehlt; Materialart und historische Benennung bleiben offen.	MATERIAL_IDENTITY	0	NONE	NONE	1
alched#1	REVISE	NONE	ALCHED_EXACT_WHOLE	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	Material I, bis Mittelstufe getrocknet und abgeschlossen	Material I, bis Mittelstufe getrocknet und abgeschlossen	EXACT_WHOLE_IDENTITY_RETREAT	0	39	39	ROHDROGE	EXACT_WHOLE_DEBT_RETREAT	Die aktive Ganzform traegt MATERIAL_ROLE, STATE_DRY, STATE_FINISHED und VALUE_GRADE; der Zustandskern bleibt vollständig erhalten.	Singleton; keine zugelassene AL|CHED-Grenze und kein Stoffidentitaetssignal.	MATERIAL_IDENTITY	0	NONE	NONE	1
chal#1	REVISE	F_AL|F_STATE	CH+AL	Rohstoffklasse I, trocken am Gradanfang	trockenes Material I, Anfangsstufe	trockenes Material I, Anfangsstufe	ATLAS_FAMILY_CORE	8	59	59	ROHSTOFF+KLASSENHAUPT	ATLAS_FAMILY_INTERSECTION	Zwei aktive Positionen sowie 35 dreifach reader-exakte GDT656-Atlaspositionen tragen die CH-Trocken-/AL-I-Schnittmenge.	CH und AL bleiben familiengebundene Analysefelder; keine Stoffidentitaet ist bekannt.	MATERIAL_IDENTITY	0	NONE	NONE	1
daiidal#1	REVISE	NONE	DAIIDAL_EXACT_WHOLE	drei abgemessene Mengen Rohdroge I	abgemessenes Material I; Wert III	Material I, dreimal abgemessen	EXACT_WHOLE_CORE_CONTEXT_SPLIT	0	39	39	ROHDROGE+MENGE_ALS_WORTKERN	EXACT_WHOLE_DEBT_RETREAT	Die Ganzform traegt MATERIAL_ROLE und VALUE_QUANTITY; V84 trennt abstrakten Wert und lokale Zaehllesung bereits systematisch.	Singleton; DAL-Ende und Wert-III-Analyse sind keine frei exportierbare Segmentierung.	MATERIAL_IDENTITY|VALUE_AXIS	0	NONE	NONE	1
dalam#1	REVISE	NONE	DALAM_EXACT_WHOLE	ein Maß Rohdroge I	Material I; Maß I	ein Maß Material I	EXACT_WHOLE_IDENTITY_RETREAT	0	39	39	ROHDROGE	EXACT_WHOLE_DEBT_RETREAT	Die aktive Ganzform traegt Material- und Mengensignale; Maß I bleibt als konkrete Ganzwortlesung erhalten.	Singleton; DAL|AM wird nicht allein aus der sichtbaren Zeichenfolge freigesetzt, die Einheit bleibt unbekannt.	MATERIAL_IDENTITY|MEASURE_UNIT	0	NONE	NONE	1
dchal#1	REVISE	NONE	DCHAL_EXACT_WHOLE	eine Dosis angetrocknete Rohdroge I	angetrocknetes, abgemessenes Material I	angetrocknetes, abgemessenes Material I	EXACT_WHOLE_IDENTITY_RETREAT	0	39	39	DOSIS+ROHDROGE	EXACT_WHOLE_DEBT_RETREAT	MATERIAL_ROLE, STATE_DRY und VALUE_QUANTITY tragen angetrocknet plus abgemessen, ohne eine benannte Einheit zu verlangen.	Singleton; D|CH|AL ist nicht zugelassen und die Materialidentitaet bleibt offen.	MATERIAL_IDENTITY|MEASURE_UNIT	0	NONE	NONE	1
kal#1	REVISE	F_AL|F_STATE	K+AL	Rohstoffklasse I, heiß am Gradanfang	heißes Material I, Anfangsstufe	Material I im heißen Anfangsansatz	ATLAS_FAMILY_CORE_CONTEXT	8	59	39	ROHSTOFF+KLASSENHAUPT	ATLAS_FAMILY_INTERSECTION	GDT656 belegt die heiße K-Startzelle mit 14 reader-exakten Atlaspositionen; die aktive Stelle traegt MATERIAL_ROLE, STATE_HOT und VALUE_GRADE.	Nur eine aktive Stelle; Ansatz ist lokale Realisierung und keine neue freie K- oder AL-Bedeutung.	MATERIAL_IDENTITY	0	NONE	NONE	1
oldal#1	REVISE	NONE	OLDAL_EXACT_WHOLE	abgemessener Drogenrohstoff I	abgemessenes Material I	abgemessenes Material I	EXACT_WHOLE_IDENTITY_RETREAT	0	39	39	DROGENROHSTOFF	EXACT_WHOLE_DEBT_RETREAT	Die aktive Ganzform bewahrt den abgemessenen Materialkern, ohne eine Droge zu identifizieren.	Singleton; OL|DAL bleibt eine offene Segmentierungsmoeglichkeit und erhaelt keinen Familienbonus.	MATERIAL_IDENTITY	0	NONE	NONE	1
otal#1	REVISE	F_AL|F_STATE|F_O	OT+AL	Rohstoffklasse I im kalten Ansatz, Gradanfang	Material I im kalten Anfangsansatz	Material I im kalten Anfangsansatz	ATLAS_FAMILY_CORE	8	59	39	ROHSTOFF+KLASSENHAUPT	ATLAS_FAMILY_INTERSECTION	109 reader-exakte GDT656-Atlaspositionen tragen O-Rahmen, kalte T-Zelle und AL-I; GDT691 bestaetigt die lokale Zubereitungsrolle.	Die aktive Stelle hat den Rivalen Kaltzubereitung; Ansatz bleibt praktische Rahmensprache, keine Identitaet.	MATERIAL_IDENTITY|PREPARATION_HEAD	0	NONE	NONE	1
qoal#1	REVISE	F_AL|F_REF	QO+AL	Rohstoffklasse I	Material I	Material I	ATLAS_FAMILY_CORE	8	39	39	ROHSTOFF+KLASSENHAUPT	ATLAS_FAMILY_INTERSECTION	GDT656 belegt die unqualifizierte QO-AL-Zelle; die aktive Stelle traegt MATERIAL_ROLE ohne Identitaetssignal.	Singleton; QO hat keinen festen deutschen Wortwert und der AL-Kern bleibt familiengebunden.	MATERIAL_IDENTITY|QO_ROLE	0	NONE	NONE	1
