family_a	family_b	pair	prose_card_types	prose_events	prose_surfaces	astro_groups	astro_surfaces	register_status	workshop_use
AIIN	AIN	AIIN+AIN	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	AIR	AIIN+AIR	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	AL	AIIN+AL	0	0	NONE	2	alaiin|aldaiin	ASTRO_ONLY_VISIBLE_COMBINATION	cross-register spelling lead
AIIN	AR	AIIN+AR	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	CHED_TRANSFER	AIIN+CHED_TRANSFER	0	0	NONE	1	chedaiin	ASTRO_ONLY_VISIBLE_COMBINATION	cross-register spelling lead
AIIN	CHEO	AIIN+CHEO	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	CHK	AIIN+CHK	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	CHO_INPUT	AIIN+CHO_INPUT	1	1	chodaiin	1	choaiin	BOTH_REGISTERS	portable combination observed
AIIN	CKH	AIIN+CKH	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	CKHE	AIIN+CKHE	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	CTH	AIIN+CTH	1	1	cthaiin	0	NONE	PROSE_ONLY	prose-licensed combination
AIIN	DY	AIIN+DY	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	E_GRADE	AIIN+E_GRADE	1	1	qotedaiin	0	NONE	PROSE_ONLY	prose-licensed combination
AIIN	IIN	AIIN+IIN	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	K_BINDER	AIIN+K_BINDER	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	L	AIIN+L	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	LSH	AIIN+LSH	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	OK	AIIN+OK	1	9	okaiin	1	qokoaiin	BOTH_REGISTERS	portable combination observed
AIIN	OL	AIIN+OL	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	OR	AIIN+OR	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	OT	AIIN+OT	2	4	otaiin|qotedaiin	0	NONE	PROSE_ONLY	prose-licensed combination
AIIN	O_WITHDRAW	AIIN+O_WITHDRAW	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	P	AIIN+P	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
AIIN	SHED	AIIN+SHED	0	0	NONE	0	NONE	UNSEEN_PAIR	do not invent without another parent
