lead_id	visible_astro_surface	productive_family_recipe	proposed_prose_workshop_value_de	confidence	pair_statuses	reason	visible_in_astro	prose_use_policy
X01	okaiiin	OK+IIN	Arbeitsstufe einsetzen	HIGH	ASTRO_ONLY_VISIBLE_COMBINATION	Astro writes the exact missing OK+stage pair.	YES	candidate spelling only; prose owner would supply the practical object
X02	iokeeor	OK+OR	Bedingungsansatz einsetzen	HIGH	ASTRO_ONLY_VISIBLE_COMBINATION	Astro writes OK+OR with a local renderer frame.	YES	candidate spelling only; prose owner would supply the practical object
X03	olar	OL+AR	aus derselben Quelle weiter	HIGH	ASTRO_ONLY_VISIBLE_COMBINATION	Astro supplies the exact continuation+source card.	YES	candidate spelling only; prose owner would supply the practical object
X04	alaiin	AL+AIIN	Sollwert am Ziel setzen	HIGH	ASTRO_ONLY_VISIBLE_COMBINATION	Astro has two visible target+measure allographs, alaiin and aldaiin.	YES	candidate spelling only; prose owner would supply the practical object
X05	chedaiin	CHED_TRANSFER+AIIN	Sollwert überführen	HIGH	ASTRO_ONLY_VISIBLE_COMBINATION	Astro puts AIIN on the right side of the transfer core.	YES	candidate spelling only; prose owner would supply the practical object
X06	eckhear	AR+CKHE	von der Quelle seihen	HIGH	ASTRO_ONLY_VISIBLE_COMBINATION	Astro writes the missing separator+source pairing.	YES	candidate spelling only; prose owner would supply the practical object
X07	qotair	AIR+OT	zum nächsten Lauf wechseln	HIGH	ASTRO_ONLY_VISIBLE_COMBINATION	Astro combines the next selector with the path/run family.	YES	candidate spelling only; prose owner would supply the practical object
X08	otcheody	CHEO+OT	zum nächsten Auszug wechseln	MEDIUM	ASTRO_ONLY_VISIBLE_COMBINATION	Astro combines OT and CHEO; final local material is not imported as prose meaning.	YES	candidate spelling only; prose owner would supply the practical object
X09	saral	AL+AR	von der Quelle zum Ziel	HIGH	ASTRO_ONLY_VISIBLE_COMBINATION	Astro explicitly places source and target in one card.	YES	candidate spelling only; prose owner would supply the practical object
X10	salsain	AIN+AL	Portion am Ziel	HIGH	ASTRO_ONLY_VISIBLE_COMBINATION	Astro supplies a target+portion card absent from prose.	YES	candidate spelling only; prose owner would supply the practical object
X11	otokeeey	OK+OT	den folgenden Einsatz vollständig ausführen	MEDIUM	ASTRO_ONLY_VISIBLE_COMBINATION	Astro combines OT and OK and visibly carries a full grade-like extension.	YES	candidate spelling only; prose owner would supply the practical object
X12	okolar	AR+OK+OL	einsetzen und aus gleicher Quelle fortfahren	MEDIUM	BOTH_REGISTERS|ASTRO_ONLY_VISIBLE_COMBINATION|BOTH_REGISTERS	Astro realizes the three-family OK+OL+AR chain.	YES	candidate spelling only; prose owner would supply the practical object
