host_ordinal	primary_governor_key	action_slot_id	layer	source_event_or_card_id	statement_or_record_id	physical_page	register	action_root	gdt583_rule_id	gdt584_rule_id	gate_class	parent_rule_id	complete_host_slot_count	complete_host_values_written	direct_governor_tokens	previous_visible_action	next_visible_action	carrier_slot_count	carrier_slot_ids	written_root_sequence	written_root_multiset	repeated_root	historical_rule_replay_exact	historical_action_reading_de	source_id_gate_status	portable_runtime_rule_id	portable_action_reading_de	portable_action_reading_match	portable_runtime_parent_rule_match	parent_semantic_exact_slot_count	parent_semantic_changed_slot_count	parent_semantic_visible_exact_slot_count	parent_semantic_visible_changed_slot_count	parent_semantic_lemma_sequence	parent_semantic_packet_rule_id	parent_semantic_packet_match	expected_packet_rule_id	portable_packet_rule_id	portable_packet_match	portable_exact_slot_count	portable_changed_slot_count	portable_visible_exact_slot_count	portable_visible_changed_slot_count	portable_context_family_changed_slot_count	expected_lemma_sequence	portable_lemma_sequence	historical_count_trace_de	portable_count_trace_de	portable_broad_fallback_slot_count	portable_broad_fallback_alternatives_de	replay_outcome	next_page_action	guard
1	ACTION:G407-E0004@2:T	RUNNING:G407-E0004@2	RUNNING_ATOM	G407-E0004	G407-S001	f1r	SOURCE_SECTION_T	T	T_SOURCE_FIX	T_SOURCE_FIX	AUTO_CONTEXT	T_SOURCE_FIX	3	A_ADDR|T|AIIN	AIIN|A_ADDR|T	NONE	NONE	1	RUNNING:G407-E0004@3	AIIN	AIIN*1	NO	YES	Lege fest	NOT_APPLICABLE	T_SOURCE_FIX	Lege fest	YES	YES	1	0	1	0	Flüssigkeitsmenge	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	1	0	1	0	0	Flüssigkeitsmenge	Flüssigkeitsmenge	Flüssigkeitsmenge ×1	Flüssigkeitsmenge ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED
2	ACTION:G407-E0006@1:SH	RUNNING:G407-E0006@1	RUNNING_ATOM	G407-E0006	G407-S001	f1r	SOURCE_SECTION_T	SH	SH_SOURCE_REST	SH_SOURCE_REST	AUTO_CONTEXT	SH_SOURCE_REST	3	SH|OR|Y	OR|SH|Y	NONE	NONE	2	RUNNING:G407-E0006@2|RUNNING:G407-E0006@3	OR+Y	Y*1+OR*1	NO	YES	Lass ruhen	NOT_APPLICABLE	SH_SOURCE_REST	Lass ruhen	YES	YES	2	0	2	0	Ansatz|Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	2	0	2	0	0	Ansatz|Arbeitsmaterial	Ansatz|Arbeitsmaterial	Arbeitsmaterial ×1; Ansatz ×1	Ansatz ×1; Arbeitsmaterial ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED
3	ACTION:G407-E0007@5:S	RUNNING:G407-E0007@5	RUNNING_ATOM	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	S	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	AUTO_CONTEXT	S_SOURCE_SORT_OUT	2	S|Y	S	R	NONE	1	RUNNING:G407-E0008@1	Y	Y*1	NO	YES	Sondere aus	NOT_APPLICABLE	S_SOURCE_SORT_OUT	Sondere aus	YES	YES	1	0	1	0	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	1	0	1	0	0	Arbeitsmaterial	Arbeitsmaterial	Arbeitsmaterial ×1	Arbeitsmaterial ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED
4	ACTION:G407-E0010@1:SH	RUNNING:G407-E0010@1	RUNNING_ATOM	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	SH	SH_SOURCE_REST	SH_SOURCE_REST	AUTO_CONTEXT	SH_SOURCE_REST	3	SH|D_ADDR|Y	D_ADDR|SH|Y	NONE	NONE	1	RUNNING:G407-E0010@4	Y	Y*1	NO	YES	Lass ruhen	NOT_APPLICABLE	SH_SOURCE_REST	Lass ruhen	YES	YES	1	0	1	0	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	1	0	1	0	0	Arbeitsmaterial	Arbeitsmaterial	Arbeitsmaterial ×1	Arbeitsmaterial ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED
5	ACTION:G407-E0011@1:S	RUNNING:G407-E0011@1	RUNNING_ATOM	G407-E0011	G407-S001	f1r	SOURCE_SECTION_T	S	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	AUTO_CONTEXT	S_SOURCE_SORT_OUT	3	S|OR|Y	OR|S|Y	NONE	NONE	2	RUNNING:G407-E0011@2|RUNNING:G407-E0011@3	OR+Y	Y*1+OR*1	NO	YES	Sondere aus	NOT_APPLICABLE	S_SOURCE_SORT_OUT	Sondere aus	YES	YES	2	0	2	0	Ansatz|Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	2	0	2	0	0	Ansatz|Arbeitsmaterial	Ansatz|Arbeitsmaterial	Arbeitsmaterial ×1; Ansatz ×1	Ansatz ×1; Arbeitsmaterial ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED
6	ACTION:G407-E0016@2:T	RUNNING:G407-E0016@2	RUNNING_ATOM	G407-E0016	G407-S001	f1r	SOURCE_SECTION_T	T	T_SOURCE_FIX	T_SOURCE_FIX	AUTO_CONTEXT	T_SOURCE_FIX	2	T|AIIN	AIIN|T	CH	NONE	1	RUNNING:G407-E0016@3	AIIN	AIIN*1	NO	YES	Lege fest	NOT_APPLICABLE	T_SOURCE_FIX	Lege fest	YES	YES	1	0	1	0	Flüssigkeitsmenge	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	1	0	1	0	0	Flüssigkeitsmenge	Flüssigkeitsmenge	Flüssigkeitsmenge ×1	Flüssigkeitsmenge ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED
7	ACTION:G407-E0020@2:T	RUNNING:G407-E0020@2	RUNNING_ATOM	G407-E0020	G407-S001	f1r	SOURCE_SECTION_T	T	T_SOURCE_FIX	T_SOURCE_FIX	AUTO_CONTEXT	T_SOURCE_FIX	3	T|AR|AIN	AR|T	CH	NONE	1	RUNNING:G407-E0021@1	AIN	AIN*1	NO	YES	Lege fest	NOT_APPLICABLE	T_SOURCE_FIX	Lege fest	YES	YES	1	0	1	0	Teilmenge	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	1	0	1	0	0	Teilmenge	Teilmenge	Teilmenge ×1	Teilmenge ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED
8	ACTION:G407-E0022@1:S	RUNNING:G407-E0022@1	RUNNING_ATOM	G407-E0022	G407-S001	f1r	SOURCE_SECTION_T	S	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	AUTO_CONTEXT	S_SOURCE_SORT_OUT	2	S|Y	S|Y	NONE	R	1	RUNNING:G407-E0022@2	Y	Y*1	NO	YES	Sondere aus	NOT_APPLICABLE	S_SOURCE_SORT_OUT	Sondere aus	YES	YES	1	0	1	0	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	1	0	1	0	0	Arbeitsmaterial	Arbeitsmaterial	Arbeitsmaterial ×1	Arbeitsmaterial ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED
9	ACTION:G407-E0027@2:T	RUNNING:G407-E0027@2	RUNNING_ATOM	G407-E0027	G407-S001	f1r	SOURCE_SECTION_T	T	T_SOURCE_FIX	T_SOURCE_FIX	AUTO_CONTEXT	T_SOURCE_FIX	4	T|O|AR|Y	AR|O|T|Y	CH	NONE	1	RUNNING:G407-E0027@5	Y	Y*1	NO	YES	Lege fest	NOT_APPLICABLE	T_SOURCE_FIX	Lege fest	YES	YES	1	0	1	0	Arbeitsgut	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	1	0	1	0	0	Arbeitsgut	Arbeitsgut	Arbeitsgut ×1	Arbeitsgut ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED
10	ACTION:G407-E0028@4:S	RUNNING:G407-E0028@4	RUNNING_ATOM	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	S	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	AUTO_CONTEXT	S_SOURCE_SORT_OUT	5	S|D_ADDR|AR|AIIN|Y	S	T	NONE	2	RUNNING:G407-E0029@3|RUNNING:G407-E0030@1	AIIN+Y	Y*1+AIIN*1	NO	YES	Sondere aus	NOT_APPLICABLE	S_SOURCE_SORT_OUT	Sondere aus	YES	YES	2	0	2	0	Arbeitsflüssigkeit|Arbeitsmaterial	SOURCE_LIQUID_FROM_MATERIAL	YES	SOURCE_LIQUID_FROM_MATERIAL	SOURCE_LIQUID_FROM_MATERIAL	YES	2	0	2	0	0	Arbeitsflüssigkeit|Arbeitsmaterial	Arbeitsflüssigkeit|Arbeitsmaterial	Arbeitsmaterial ×1; Arbeitsflüssigkeit ×1	Arbeitsflüssigkeit ×1; Arbeitsmaterial ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED
