host_ordinal	primary_governor_key	action_slot_id	layer	source_event_or_card_id	statement_or_record_id	physical_page	register	action_root	gdt583_rule_id	gdt584_rule_id	gate_class	parent_rule_id	complete_host_slot_count	complete_host_values_written	direct_governor_tokens	previous_visible_action	next_visible_action	carrier_slot_count	carrier_slot_ids	written_root_sequence	written_root_multiset	repeated_root	historical_rule_replay_exact	historical_action_reading_de	source_id_gate_status	portable_runtime_rule_id	portable_action_reading_de	portable_action_reading_match	portable_runtime_parent_rule_match	parent_semantic_exact_slot_count	parent_semantic_changed_slot_count	parent_semantic_visible_exact_slot_count	parent_semantic_visible_changed_slot_count	parent_semantic_lemma_sequence	parent_semantic_packet_rule_id	parent_semantic_packet_match	expected_packet_rule_id	portable_packet_rule_id	portable_packet_match	portable_exact_slot_count	portable_changed_slot_count	portable_visible_exact_slot_count	portable_visible_changed_slot_count	portable_context_family_changed_slot_count	expected_lemma_sequence	portable_lemma_sequence	historical_count_trace_de	portable_count_trace_de	portable_broad_fallback_slot_count	portable_broad_fallback_alternatives_de	replay_outcome	next_page_action	guard	repeat_ordinal	repeat_class	written_extra_copy_count	ordered_written_slot_lemmas_de	gdt587_fluid_host_clause_de	gdt588_special_fluent_repair	gdt589_display_action	count_interpretation	repeat_guard
15	ACTION:G407-E0046@6:SH	RUNNING:G407-E0046@6	RUNNING_ATOM	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	SH	SH_SOURCE_REST	SH_SOURCE_REST	AUTO_CONTEXT	SH_SOURCE_REST	6	Y|D_ADDR|A_ADDR|LOCAL_CHAR_I|SH|Y	A_ADDR|D_ADDR|LOCAL_CHAR_I|SH|Y	NONE	NONE	2	RUNNING:G407-E0046@1|RUNNING:G407-E0046@7	Y+Y	Y*2	YES	YES	Lass ruhen	NOT_APPLICABLE	SH_SOURCE_REST	Lass ruhen	YES	YES	2	0	2	0	Arbeitsmaterial|Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	2	0	2	0	0	Arbeitsmaterial|Arbeitsmaterial	Arbeitsmaterial|Arbeitsmaterial	Arbeitsmaterial ×2	Arbeitsmaterial ×2	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED	1	DEFAULT_COMPOSITION	1	Y=Arbeitsmaterial | Y=Arbeitsmaterial	Lass das Arbeitsmaterial in der Innenform, an der Hauptstelle und an der Arbeitsstelle ruhen	NO	KEEP_FLUID_HYPOTHESIS__ADD_ORDERED_WRITTEN_SLOT_TRACE	WRITTEN_CARRIER_POSITIONS__NOT_REAL_OBJECT_MULTIPLICITY	ORDER_BEFORE_MULTISET__POSSIBLE_FRAMING_OR_COREFERENCE_NOT_ERASED
17	ACTION:G407-E0055@2:SH	RUNNING:G407-E0055@2	RUNNING_ATOM	G407-E0055	G407-S002	f1r	SOURCE_SECTION_T	SH	SH_SOURCE_REST	SH_SOURCE_REST	AUTO_CONTEXT	SH_SOURCE_REST	4	Y|SH|E|Y	E|SH|Y	NONE	NONE	2	RUNNING:G407-E0055@1|RUNNING:G407-E0055@4	Y+Y	Y*2	YES	YES	Lass ruhen	NOT_APPLICABLE	SH_SOURCE_REST	Lass ruhen	YES	YES	2	0	2	0	Arbeitsmaterial|Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	2	0	2	0	0	Arbeitsmaterial|Arbeitsmaterial	Arbeitsmaterial|Arbeitsmaterial	Arbeitsmaterial ×2	Arbeitsmaterial ×2	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED	2	DEFAULT_COMPOSITION	1	Y=Arbeitsmaterial | Y=Arbeitsmaterial	Lass das Arbeitsmaterial auf Grad I ruhen	NO	KEEP_FLUID_HYPOTHESIS__ADD_ORDERED_WRITTEN_SLOT_TRACE	WRITTEN_CARRIER_POSITIONS__NOT_REAL_OBJECT_MULTIPLICITY	ORDER_BEFORE_MULTISET__POSSIBLE_FRAMING_OR_COREFERENCE_NOT_ERASED
18	ACTION:G407-E0059@4:T	RUNNING:G407-E0059@4	RUNNING_ATOM	G407-E0059	G407-S003	f1r	SOURCE_SECTION_T	T	T_SOURCE_FIX	T_SOURCE_FIX	AUTO_CONTEXT	T_SOURCE_FIX	4	T|Y|Y|AIN	T|Y	CH	NONE	3	RUNNING:G407-E0059@5|RUNNING:G407-E0061@1|RUNNING:G407-E0062@1	Y+Y+AIN	Y*2+AIN*1	YES	YES	Lege fest	NOT_APPLICABLE	T_SOURCE_FIX	Lege fest	YES	YES	3	0	3	0	Arbeitsgut|Arbeitsgut|Teilmenge	SOURCE_PART_OF_MATERIAL	YES	SOURCE_PART_OF_MATERIAL	SOURCE_PART_OF_MATERIAL	YES	3	0	3	0	0	Arbeitsgut|Arbeitsgut|Teilmenge	Arbeitsgut|Arbeitsgut|Teilmenge	Arbeitsgut ×2; Teilmenge ×1	Arbeitsgut ×2; Teilmenge ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED	3	SPECIAL_PACKET	1	Y=Arbeitsgut | Y=Arbeitsgut | AIN=Teilmenge	Lege die Teilmenge des Arbeitsmaterials fest	YES	KEEP_FLUID_HYPOTHESIS__ADD_ORDERED_WRITTEN_SLOT_TRACE	WRITTEN_CARRIER_POSITIONS__NOT_REAL_OBJECT_MULTIPLICITY	ORDER_BEFORE_MULTISET__POSSIBLE_FRAMING_OR_COREFERENCE_NOT_ERASED
28	ACTION:G407-E0094@1:SH	RUNNING:G407-E0094@1	RUNNING_ATOM	G407-E0094	G407-S005	f1r	SOURCE_SECTION_T	SH	SH_SOURCE_REST	SH_SOURCE_REST	AUTO_CONTEXT	SH_SOURCE_REST	7	SH|O|AIN|AIN|O|D_ADDR|AIIN	O|SH	NONE	NONE	3	RUNNING:G407-E0095@2|RUNNING:G407-E0097@1|RUNNING:G407-E0100@3	AIN+AIN+AIIN	AIIN*1+AIN*2	YES	YES	Lass ruhen	NOT_APPLICABLE	SH_SOURCE_REST	Lass ruhen	YES	YES	3	0	3	0	Teilmenge|Teilmenge|Arbeitsflüssigkeit	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	3	0	3	0	0	Teilmenge|Teilmenge|Arbeitsflüssigkeit	Teilmenge|Teilmenge|Arbeitsflüssigkeit	Arbeitsflüssigkeit ×1; Teilmenge ×2	Teilmenge ×2; Arbeitsflüssigkeit ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED	4	DEFAULT_COMPOSITION	1	AIN=Teilmenge | AIN=Teilmenge | AIIN=Arbeitsflüssigkeit	Lass die Teilmenge und die Arbeitsflüssigkeit in Arbeitsform und an der Arbeitsstelle ruhen	NO	KEEP_FLUID_HYPOTHESIS__ADD_ORDERED_WRITTEN_SLOT_TRACE	WRITTEN_CARRIER_POSITIONS__NOT_REAL_OBJECT_MULTIPLICITY	ORDER_BEFORE_MULTISET__POSSIBLE_FRAMING_OR_COREFERENCE_NOT_ERASED
34	ACTION:G407-E0134@2:T	RUNNING:G407-E0134@2	RUNNING_ATOM	G407-E0134	G407-S005	f1r	SOURCE_SECTION_T	T	T_SOURCE_FIX	T_SOURCE_FIX	AUTO_CONTEXT	T_SOURCE_FIX	6	T|Y|D_ADDR|A_ADDR|LOCAL_CHAR_I|Y	T|Y	CH	NONE	2	RUNNING:G407-E0134@3|RUNNING:G407-E0135@4	Y+Y	Y*2	YES	YES	Lege fest	NOT_APPLICABLE	T_SOURCE_FIX	Lege fest	YES	YES	2	0	2	0	Arbeitsgut|Arbeitsgut	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	2	0	2	0	0	Arbeitsgut|Arbeitsgut	Arbeitsgut|Arbeitsgut	Arbeitsgut ×2	Arbeitsgut ×2	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED	5	DEFAULT_COMPOSITION	1	Y=Arbeitsgut | Y=Arbeitsgut	Lege das Arbeitsgut in der Innenform, an der Hauptstelle und an der Arbeitsstelle fest	NO	KEEP_FLUID_HYPOTHESIS__ADD_ORDERED_WRITTEN_SLOT_TRACE	WRITTEN_CARRIER_POSITIONS__NOT_REAL_OBJECT_MULTIPLICITY	ORDER_BEFORE_MULTISET__POSSIBLE_FRAMING_OR_COREFERENCE_NOT_ERASED
44	ACTION:G407-E0190@2:SH	RUNNING:G407-E0190@2	RUNNING_ATOM	G407-E0190	G407-S006	f1r	SOURCE_SECTION_T	SH	SH_SOURCE_REST	SH_SOURCE_REST	AUTO_CONTEXT	SH_SOURCE_REST	4	Y|SH|EE|Y	EE|SH|Y	NONE	NONE	2	RUNNING:G407-E0190@1|RUNNING:G407-E0190@4	Y+Y	Y*2	YES	YES	Lass ruhen	NOT_APPLICABLE	SH_SOURCE_REST	Lass ruhen	YES	YES	2	0	2	0	Arbeitsmaterial|Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	2	0	2	0	0	Arbeitsmaterial|Arbeitsmaterial	Arbeitsmaterial|Arbeitsmaterial	Arbeitsmaterial ×2	Arbeitsmaterial ×2	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED	6	DEFAULT_COMPOSITION	1	Y=Arbeitsmaterial | Y=Arbeitsmaterial	Lass das Arbeitsmaterial auf Grad II ruhen	NO	KEEP_FLUID_HYPOTHESIS__ADD_ORDERED_WRITTEN_SLOT_TRACE	WRITTEN_CARRIER_POSITIONS__NOT_REAL_OBJECT_MULTIPLICITY	ORDER_BEFORE_MULTISET__POSSIBLE_FRAMING_OR_COREFERENCE_NOT_ERASED
56	ACTION:G407-E0237@4:T	RUNNING:G407-E0237@4	RUNNING_ATOM	G407-E0237	G407-S008	f10r	HERBAL	T	T_PHYSICAL_BROAD	T_PHYSICAL_BROAD	AUTO_CONTEXT	T_PHYSICAL_BROAD	4	T|Y|Y|OR	T|Y	CH	NONE	3	RUNNING:G407-E0237@5|RUNNING:G407-E0238@2|RUNNING:G407-E0240@1	Y+Y+OR	Y*2+OR*1	YES	YES	Stelle ein oder temperiere	NOT_APPLICABLE	T_PHYSICAL_BROAD	Stelle ein oder temperiere	YES	YES	3	0	3	0	Pflanzenmaterial|Pflanzenmaterial|Pflanzenansatz	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	3	0	3	0	0	Pflanzenmaterial|Pflanzenmaterial|Pflanzenansatz	Pflanzenmaterial|Pflanzenmaterial|Pflanzenansatz	Pflanzenmaterial ×2; Pflanzenansatz ×1	Pflanzenmaterial ×2; Pflanzenansatz ×1	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED	7	DEFAULT_COMPOSITION	1	Y=Pflanzenmaterial | Y=Pflanzenmaterial | OR=Pflanzenansatz	Reguliere oder temperiere das Pflanzenmaterial und den Pflanzenansatz	NO	KEEP_FLUID_HYPOTHESIS__ADD_ORDERED_WRITTEN_SLOT_TRACE	WRITTEN_CARRIER_POSITIONS__NOT_REAL_OBJECT_MULTIPLICITY	ORDER_BEFORE_MULTISET__POSSIBLE_FRAMING_OR_COREFERENCE_NOT_ERASED
57	ACTION:G407-E0241@2:T	RUNNING:G407-E0241@2	RUNNING_ATOM	G407-E0241	G407-S008	f10r	HERBAL	T	T_PHYSICAL_BROAD	T_PHYSICAL_BROAD	AUTO_CONTEXT	T_PHYSICAL_BROAD	5	Y|T|Y|Y|Y	T|Y	NONE	NONE	4	RUNNING:G407-E0241@1|RUNNING:G407-E0241@3|RUNNING:G407-E0242@1|RUNNING:G407-E0243@1	Y+Y+Y+Y	Y*4	YES	YES	Stelle ein oder temperiere	NOT_APPLICABLE	T_PHYSICAL_BROAD	Stelle ein oder temperiere	YES	YES	4	0	4	0	Pflanzenmaterial|Pflanzenmaterial|Pflanzenmaterial|Pflanzenmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	4	0	4	0	0	Pflanzenmaterial|Pflanzenmaterial|Pflanzenmaterial|Pflanzenmaterial	Pflanzenmaterial|Pflanzenmaterial|Pflanzenmaterial|Pflanzenmaterial	Pflanzenmaterial ×4	Pflanzenmaterial ×4	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED	8	DEFAULT_COMPOSITION	3	Y=Pflanzenmaterial | Y=Pflanzenmaterial | Y=Pflanzenmaterial | Y=Pflanzenmaterial	Reguliere oder temperiere das Pflanzenmaterial	NO	KEEP_FLUID_HYPOTHESIS__ADD_ORDERED_WRITTEN_SLOT_TRACE	WRITTEN_CARRIER_POSITIONS__NOT_REAL_OBJECT_MULTIPLICITY	ORDER_BEFORE_MULTISET__POSSIBLE_FRAMING_OR_COREFERENCE_NOT_ERASED
63	ACTION:G407-E0262@4:T	RUNNING:G407-E0262@4	RUNNING_ATOM	G407-E0262	G407-S009	f10r	HERBAL	T	T_PHYSICAL_BROAD	T_PHYSICAL_BROAD	AUTO_CONTEXT	T_PHYSICAL_BROAD	4	T|Y|Y|Y	T|Y	CH	NONE	3	RUNNING:G407-E0262@6|RUNNING:G407-E0263@1|RUNNING:G407-E0264@1	Y+Y+Y	Y*3	YES	YES	Stelle ein oder temperiere	NOT_APPLICABLE	T_PHYSICAL_BROAD	Stelle ein oder temperiere	YES	YES	3	0	3	0	Pflanzenmaterial|Pflanzenmaterial|Pflanzenmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	YES	3	0	3	0	0	Pflanzenmaterial|Pflanzenmaterial|Pflanzenmaterial	Pflanzenmaterial|Pflanzenmaterial|Pflanzenmaterial	Pflanzenmaterial ×3	Pflanzenmaterial ×3	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED	9	DEFAULT_COMPOSITION	2	Y=Pflanzenmaterial | Y=Pflanzenmaterial | Y=Pflanzenmaterial	Reguliere oder temperiere das Pflanzenmaterial	NO	KEEP_FLUID_HYPOTHESIS__ADD_ORDERED_WRITTEN_SLOT_TRACE	WRITTEN_CARRIER_POSITIONS__NOT_REAL_OBJECT_MULTIPLICITY	ORDER_BEFORE_MULTISET__POSSIBLE_FRAMING_OR_COREFERENCE_NOT_ERASED
64	ACTION:G407-E0265@1:T	RUNNING:G407-E0265@1	RUNNING_ATOM	G407-E0265	G407-S009	f10r	HERBAL	T	T_HP_MEASURE_SET	T_HP_MEASURE_SET	AUTO_CONTEXT	T_HP_MEASURE_SET	5	T|AIIN|Y|D_ADDR|Y	AIIN|T	NONE	NONE	3	RUNNING:G407-E0265@2|RUNNING:G407-E0266@1|RUNNING:G407-E0267@2	AIIN+Y+Y	Y*2+AIIN*1	YES	YES	Stelle ein	NOT_APPLICABLE	T_HP_MEASURE_SET	Stelle Maß oder Ort ein	NO	YES	3	0	3	0	Auszugsmenge|Pflanzenmaterial|Pflanzenmaterial	HP_MEASURE_FOR_MATERIAL	YES	HP_MEASURE_FOR_MATERIAL	HP_MEASURE_FOR_MATERIAL	YES	3	0	3	0	0	Auszugsmenge|Pflanzenmaterial|Pflanzenmaterial	Auszugsmenge|Pflanzenmaterial|Pflanzenmaterial	Pflanzenmaterial ×2; Auszugsmenge ×1	Auszugsmenge ×1; Pflanzenmaterial ×2	0	NONE	AUTO_EXACT_REPLAY	AUTO_SELECT_COMPLETE_HOST	COMPLETE_ALREADY_SEGMENTED_HOST__EVERY_WRITTEN_CARRIER_SLOT_RETAINED	10	SPECIAL_PACKET	1	AIIN=Auszugsmenge | Y=Pflanzenmaterial | Y=Pflanzenmaterial	Stelle die Auszugsmenge für das Pflanzenmaterial an der Pflanzen-Arbeitsstelle ein	YES	KEEP_FLUID_HYPOTHESIS__ADD_ORDERED_WRITTEN_SLOT_TRACE	WRITTEN_CARRIER_POSITIONS__NOT_REAL_OBJECT_MULTIPLICITY	ORDER_BEFORE_MULTISET__POSSIBLE_FRAMING_OR_COREFERENCE_NOT_ERASED
