manual_ordinal	primary_governor_key	source_event_or_card_id	statement_or_record_id	physical_page	register	manual_rule_id	parent_rule_id	historical_action_reading_de	parent_action_reading_de	action_wording_change	carrier_slot_count	written_root_sequence	historical_lemma_sequence	direct_parent_lemma_sequence	runtime_lemma_sequence	direct_parent_changed_slot_count	runtime_changed_slot_count	runtime_context_family_changed_slot_count	runtime_broad_fallback_slot_count	runtime_broad_fallback_alternatives_de	historical_packet_rule_id	parent_packet_rule_id	packet_change	historical_explicit_replay	carrier_effect	next_page_action	guard
1	ACTION:G407-E0565@2:SH	G407-E0565	G407-S027	f18r	HERBAL	SH_HP_UNIT_HOLD	SH_HP_SOAK	Halte	Weiche ein	YES	1	OR	Pflanzeneinheit	Pflanzeneinheit	Pflanzeneinheit	0	0	0	0	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	NO	YES	CARRIER_OUTPUT_EQUIVALENT	USE_PARENT_AUTOMATIC_RULE_UNLESS_MANUAL_CONTEXT_IS_EXPLICIT	MANUAL_ACTION_VISIBLE__PARENT_SEMANTICS_AND_CONSERVATIVE_RUNTIME_SEPARATED
2	ACTION:G407-E0582@1:SH	G407-E0582	G407-S029	f18r	HERBAL	SH_HP_SETTLE_BEFORE_STRAIN	SH_REST_HOLD	Lass stehen oder absetzen	Halte	YES	1	OR	Pflanzenansatz	Pflanzeneinheit	Pflanzeneinheit	1	1	1	0	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	NO	YES	VISIBLE_CARRIER_CHANGE	USE_PARENT_AUTOMATIC_RULE_UNLESS_MANUAL_CONTEXT_IS_EXPLICIT	MANUAL_ACTION_VISIBLE__PARENT_SEMANTICS_AND_CONSERVATIVE_RUNTIME_SEPARATED
3	ACTION:G407-E0688@2:CHD	G407-E0688	G407-S032	f24v	HERBAL	CHD_HP_WET_TRITURATE	CHD_HP_DRY_GRIND	Verreibe oder mazeriere	Zerreibe	YES	1	Y	Pflanzenmaterial	Pflanzenmaterial	Pflanzenmaterial	0	0	1	0	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	NO	YES	CARRIER_OUTPUT_EQUIVALENT	USE_PARENT_AUTOMATIC_RULE_UNLESS_MANUAL_CONTEXT_IS_EXPLICIT	MANUAL_ACTION_VISIBLE__PARENT_SEMANTICS_AND_CONSERVATIVE_RUNTIME_SEPARATED
4	ACTION:G407-E0691@5:CHD	G407-E0691	G407-S033	f55v	HERBAL	CHD_HP_MATERIAL_COMMINUTE	CHD_HP_DRY_GRIND	Zerkleinere	Zerreibe	YES	2	Y+AIN	Pflanzenmaterial|Pflanzenportion	Pflanzenmaterial|Pflanzenportion	Pflanzenmaterial|Pflanzenportion	0	0	2	0	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	NO	YES	CARRIER_OUTPUT_EQUIVALENT	USE_PARENT_AUTOMATIC_RULE_UNLESS_MANUAL_CONTEXT_IS_EXPLICIT	MANUAL_ACTION_VISIBLE__PARENT_SEMANTICS_AND_CONSERVATIVE_RUNTIME_SEPARATED
5	ACTION:G407-E0707@1:CHD	G407-E0707	G407-S034	f55v	HERBAL	CHD_HP_MATERIAL_COMMINUTE	CHD_HP_DRY_GRIND	Zerkleinere	Zerreibe	YES	1	Y	Pflanzenmaterial	Pflanzenmaterial	Pflanzenmaterial	0	0	1	0	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	NO	YES	CARRIER_OUTPUT_EQUIVALENT	USE_PARENT_AUTOMATIC_RULE_UNLESS_MANUAL_CONTEXT_IS_EXPLICIT	MANUAL_ACTION_VISIBLE__PARENT_SEMANTICS_AND_CONSERVATIVE_RUNTIME_SEPARATED
6	ACTION:G407-E0718@2:CHD	G407-E0718	G407-S034	f55v	HERBAL	CHD_HP_WET_TRITURATE	CHD_HP_DRY_GRIND	Verreibe oder mazeriere	Zerreibe	YES	1	Y	Pflanzenmaterial	Pflanzenmaterial	Pflanzenmaterial	0	0	1	0	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	NO	YES	CARRIER_OUTPUT_EQUIVALENT	USE_PARENT_AUTOMATIC_RULE_UNLESS_MANUAL_CONTEXT_IS_EXPLICIT	MANUAL_ACTION_VISIBLE__PARENT_SEMANTICS_AND_CONSERVATIVE_RUNTIME_SEPARATED
7	ACTION:G407-E0727@1:CHD	G407-E0727	G407-S036	f55v	HERBAL	CHD_HP_WET_EXTRACT_PROCESS	CHD_REST_PROCESS	Verreibe oder mazeriere	Bearbeite	YES	2	AIIN+Y	Pflanzenauszug|Pflanzenmaterial	Pflanzenauszug|Pflanzenmaterial	Pflanzenauszug|Pflanzenmaterial	0	0	1	0	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	NO	YES	CARRIER_OUTPUT_EQUIVALENT	USE_PARENT_AUTOMATIC_RULE_UNLESS_MANUAL_CONTEXT_IS_EXPLICIT	MANUAL_ACTION_VISIBLE__PARENT_SEMANTICS_AND_CONSERVATIVE_RUNTIME_SEPARATED
8	ACTION:G407-E0740@2:CHD	G407-E0740	G407-S036	f55v	HERBAL	CHD_HP_MATERIAL_COMMINUTE	CHD_HP_DRY_GRIND	Zerkleinere	Zerreibe	YES	1	Y	Pflanzenmaterial	Pflanzenmaterial	Pflanzenmaterial	0	0	1	0	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	NO	YES	CARRIER_OUTPUT_EQUIVALENT	USE_PARENT_AUTOMATIC_RULE_UNLESS_MANUAL_CONTEXT_IS_EXPLICIT	MANUAL_ACTION_VISIBLE__PARENT_SEMANTICS_AND_CONSERVATIVE_RUNTIME_SEPARATED
9	ACTION:G407-E0746@1:CHD	G407-E0746	G407-S036	f55v	HERBAL	CHD_HP_MATERIAL_COMMINUTE	CHD_HP_DRY_GRIND	Zerkleinere	Zerreibe	YES	1	Y	Pflanzenmaterial	Pflanzenmaterial	Pflanzenmaterial	0	0	1	0	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	NO	YES	CARRIER_OUTPUT_EQUIVALENT	USE_PARENT_AUTOMATIC_RULE_UNLESS_MANUAL_CONTEXT_IS_EXPLICIT	MANUAL_ACTION_VISIBLE__PARENT_SEMANTICS_AND_CONSERVATIVE_RUNTIME_SEPARATED
10	ACTION:G407-E0828@1:CHD	G407-E0828	G407-S039	f56r	HERBAL	CHD_HP_MATERIAL_COMMINUTE	CHD_HP_DRY_GRIND	Zerkleinere	Zerreibe	YES	1	Y	Pflanzenmaterial	Pflanzenmaterial	Pflanzenmaterial	0	0	1	0	NONE	DEFAULT_GDT584_OBJECT_COMPOSITION	DEFAULT_GDT584_OBJECT_COMPOSITION	NO	YES	CARRIER_OUTPUT_EQUIVALENT	USE_PARENT_AUTOMATIC_RULE_UNLESS_MANUAL_CONTEXT_IS_EXPLICIT	MANUAL_ACTION_VISIBLE__PARENT_SEMANTICS_AND_CONSERVATIVE_RUNTIME_SEPARATED
