packet_host_ordinal	primary_governor_key	source_event_or_card_id	statement_or_record_id	physical_page	register	gate_class	gdt584_rule_id	packet_rule_id	carrier_slot_count	written_root_sequence	written_root_multiset	ordered_written_slot_lemmas_de	written_slot_count_trace_de	packet_composition_elements_de	packet_template_de	sentence_layer_de	display_gap_class	portable_packet_rule_match	historical_explicit_replay	guard
1	ACTION:G407-E0028@4:S	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	S_SOURCE_SORT_OUT	SOURCE_LIQUID_FROM_MATERIAL	2	AIIN+Y	Y*1+AIIN*1	AIIN=Arbeitsflüssigkeit | Y=Arbeitsmaterial	Arbeitsflüssigkeit ×1; Arbeitsmaterial ×1	Arbeitsflüssigkeit ×1; Arbeitsmaterial ×1	Sondere [Arbeitsflüssigkeit; Arbeitsmaterial] aus	Sondere die Arbeitsflüssigkeit vom Arbeitsmaterial an der Arbeitsstelle und von der Quelle oder aus dem Ausgangsgefäß aus	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
2	ACTION:G407-E0059@4:T	G407-E0059	G407-S003	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	T_SOURCE_FIX	SOURCE_PART_OF_MATERIAL	3	Y+Y+AIN	Y*2+AIN*1	Y=Arbeitsgut | Y=Arbeitsgut | AIN=Teilmenge	Arbeitsgut ×2; Teilmenge ×1	Arbeitsmaterial ×2; Teilmenge ×1	Lege [Arbeitsmaterial; Teilmenge] fest	Lege die Teilmenge des Arbeitsmaterials fest	SLOT_Y_WORKING_LEMMA_RENAMED_IN_PACKET	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
3	ACTION:G407-E0076@2:T	G407-E0076	G407-S005	f1r	SOURCE_SECTION_T	AUTO_CONTEXT	T_SOURCE_FIX	SOURCE_PART_OF_MATERIAL	2	Y+AIN	Y*1+AIN*1	Y=Arbeitsgut | AIN=Teilmenge	Arbeitsgut ×1; Teilmenge ×1	Arbeitsmaterial ×1; Teilmenge ×1	Lege [Arbeitsmaterial; Teilmenge] fest	Lege die Teilmenge des Arbeitsmaterials fest	SLOT_Y_WORKING_LEMMA_RENAMED_IN_PACKET	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
4	ACTION:G407-E0265@1:T	G407-E0265	G407-S009	f10r	HERBAL	AUTO_CONTEXT	T_HP_MEASURE_SET	HP_MEASURE_FOR_MATERIAL	3	AIIN+Y+Y	Y*2+AIIN*1	AIIN=Auszugsmenge | Y=Pflanzenmaterial | Y=Pflanzenmaterial	Auszugsmenge ×1; Pflanzenmaterial ×2	Auszugsmenge ×1; Pflanzenmaterial ×2	Stelle [Auszugs-/Dosismaß; Material] ein	Stelle die Auszugsmenge für das Pflanzenmaterial an der Pflanzen-Arbeitsstelle ein	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
5	ACTION:G407-E0360@1:S	G407-E0360	G407-S011	f11r	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	AIIN+Y	Y*1+AIIN*1	AIIN=Pflanzenauszug | Y=Pflanzenmaterial	Pflanzenauszug ×1; Pflanzenmaterial ×1	Pflanzenauszug ×1; Pflanzenmaterial ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug des Pflanzenmaterials ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
6	ACTION:G407-E0586@1:S	G407-E0586	G407-S029	f18r	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
7	ACTION:G407-E0636@4:S	G407-E0636	G407-S031	f24v	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	3	OR+OR+AIIN	AIIN*1+OR*2	OR=Pflanzenansatz | OR=Pflanzenansatz | AIIN=Pflanzenauszug	Pflanzenansatz ×2; Pflanzenauszug ×1	Pflanzenansatz ×2; Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug aus dem Pflanzenansatz in Zubereitungsform, auf Grad I, an der Pflanzen-Arbeitsstelle und über den Materialkontakt ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
8	ACTION:G407-E0708@1:S	G407-E0708	G407-S034	f55v	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug vom Ausgangsmaterial oder -gefäß ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
9	ACTION:G407-E0768@1:S	G407-E0768	G407-S036	f55v	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
10	ACTION:G407-E0792@1:S	G407-E0792	G407-S037	f55v	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	AIIN+AIIN	AIIN*2	AIIN=Pflanzenauszug | AIIN=Pflanzenauszug	Pflanzenauszug ×2	Pflanzenauszug ×2	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug vom Ausgangsmaterial oder -gefäß und über den Materialkontakt ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
11	ACTION:G407-E0934@2:T	G407-E0934	G407-S043	f67r2	CELESTIAL	AUTO_CONTEXT	T_CELESTIAL_SET	CELESTIAL_POSITION_SEGMENT_VALUE	2	Y+OR	Y*1+OR*1	Y=Ringposition | OR=Ringsegment	Ringposition ×1; Ringsegment ×1	Ringposition ×1; Ringsegment ×1	Stelle [Ringposition; Ringsegment; Positionswert] ein	Stelle die Ringposition des Ringsegments in Eintragsform und auf Ringstufe I ein	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
12	ACTION:G407-E0955@2:T	G407-E0955	G407-S047	f67r2	CELESTIAL	AUTO_CONTEXT	T_CELESTIAL_SET	CELESTIAL_POSITION_SEGMENT_VALUE	4	Y+OR+AIIN+OR	Y*1+AIIN*1+OR*2	Y=Ringposition | OR=Ringsegment | AIIN=Positionswert | OR=Ringsegment	Ringposition ×1; Ringsegment ×2; Positionswert ×1	Ringposition ×1; Ringsegment ×2; Positionswert ×1	Stelle [Ringposition; Ringsegment; Positionswert] ein	Stelle die Ringposition des Ringsegments auf den Positionswert ein	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
13	ACTION:G407-E0983@1:T	G407-E0983	G407-S050	f67r2	CELESTIAL	AUTO_CONTEXT	T_CELESTIAL_SET	CELESTIAL_POSITION_SEGMENT_VALUE	3	AIIN+AIN+Y	Y*1+AIIN*1+AIN*1	AIIN=Positionswert | AIN=Sektoranteil | Y=Ringposition	Positionswert ×1; Sektoranteil ×1; Ringposition ×1	Positionswert ×1; Sektoranteil ×1; Ringposition ×1	Stelle [Ringposition; Ringsegment; Positionswert] ein	Stelle den Positionswert, den Sektoranteil und die Ringposition in Eintragsform ein	PACKET_TEMPLATE_OMITS_WRITTEN_SECTOR_SHARE	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
14	ACTION:G407-E1063@2:T	G407-E1063	G407-S055	f71v	CELESTIAL	AUTO_CONTEXT	T_CELESTIAL_SET	CELESTIAL_POSITION_SEGMENT_VALUE	2	Y+AIIN	Y*1+AIIN*1	Y=Ringposition | AIIN=Positionswert	Ringposition ×1; Positionswert ×1	Ringposition ×1; Positionswert ×1	Stelle [Ringposition; Ringsegment; Positionswert] ein	Stelle die Ringposition auf den Positionswert auf Ringstufe II und an der oberen Ringstelle ein	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
15	ACTION:G407-E1188@3:T	G407-E1188	G407-S064	f72r	CELESTIAL	AUTO_CONTEXT	T_CELESTIAL_SET	CELESTIAL_POSITION_SEGMENT_VALUE	2	Y+OR	Y*1+OR*1	Y=Ringposition | OR=Ringsegment	Ringposition ×1; Ringsegment ×1	Ringposition ×1; Ringsegment ×1	Stelle [Ringposition; Ringsegment; Positionswert] ein	Stelle die Ringposition des Ringsegments auf Ringstufe I ein	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
16	ACTION:G407-E1542@1:S	G407-E1542	G407-S109	f75r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	1	AIN	AIN*1	AIN=Teilmenge	Teilmenge ×1	Teilmenge ×1	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	Leite die Teilmenge zur Zielstation oder ins Zielbecken um	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
17	ACTION:G407-E1588@1:S	G407-E1588	G407-S118	f75r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	1	Y	Y*1	Y=Strom	Strom ×1	Strom ×1	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
