guard_ordinal	primary_governor_key	source_event_or_card_id	statement_or_record_id	physical_page	gdt584_rule_id	written_root_sequence	complete_host_values_written	body_blockers_present	historical_y_lemma_sequence	portable_y_lemma_sequence	historical_route	portable_exact	clean_bath_body_fork	exploratory_bath_default_de	retained_bath_alternative_de	guard
1	ACTION:G407-E1425@2:CHD	G407-E1425	G407-S082	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
2	ACTION:G407-E1429@1:CHD	G407-E1429	G407-S082	f75r	CHD_BIO_TREAT	Y	CHD|Y|AR	AR	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
3	ACTION:G407-E1433@1:SH	G407-E1433	G407-S083	f75r	SH_BIO_BATHE	AIN+Y+Y	AIN|SH|E|Y|L|Y	L	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
4	ACTION:G407-E1437@1:CHD	G407-E1437	G407-S084	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
5	ACTION:G407-E1452@2:SH	G407-E1452	G407-S085	f75r	SH_BIO_BATHE	Y	L|SH|E|Y	L	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
6	ACTION:G407-E1455@1:SH	G407-E1455	G407-S085	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
7	ACTION:G407-E1457@1:SH	G407-E1457	G407-S085	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
8	ACTION:G407-E1459@1:SH	G407-E1459	G407-S086	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
9	ACTION:G407-E1474@3:T	G407-E1474	G407-S087	f75r	T_BIO_STATION_REGULATE	Y	T|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
10	ACTION:G407-E1479@2:T	G407-E1479	G407-S090	f75r	T_BIO_STATION_REGULATE	Y+AIN	Y|T|AIN	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
11	ACTION:G407-E1480@1:CHD	G407-E1480	G407-S090	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
12	ACTION:G407-E1484@1:CHD	G407-E1484	G407-S090	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
13	ACTION:G407-E1486@1:S	G407-E1486	G407-S090	f75r	S_REST_SELECT	OR+Y	S|OR|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
14	ACTION:G407-E1495@3:T	G407-E1495	G407-S094	f75r	T_BIO_STATION_REGULATE	Y	T|Y|L|O	L|O	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
15	ACTION:G407-E1505@1:CHD	G407-E1505	G407-S096	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
16	ACTION:G407-E1506@1:SH	G407-E1506	G407-S096	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
17	ACTION:G407-E1526@1:SH	G407-E1526	G407-S101	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
18	ACTION:G407-E1529@1:SH	G407-E1529	G407-S101	f75r	SH_BIO_BATHE	Y	SH|EE|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
19	ACTION:G407-E1530@1:SH	G407-E1530	G407-S101	f75r	SH_BIO_BATHE	Y+Y	SH|E|Y|Y	NONE	Körper|Körper	Körper|Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
20	ACTION:G407-E1544@3:SH	G407-E1544	G407-S109	f75r	SH_BIO_BATHE	Y	SH|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
21	ACTION:G407-E1557@1:CHD	G407-E1557	G407-S110	f75r	CHD_BIO_TREAT	Y+OR	CHD|Y|OR	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
22	ACTION:G407-E1571@1:CHD	G407-E1571	G407-S115	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE
