page_ordinal	physical_page	registers	host_count	carrier_slot_count	auto_host_count	manual_host_count	source_bound_host_count	auto_divergence_count	special_packet_host_count	repeated_root_host_count	clean_bath_body_fork_count	guard
1	f1r	SOURCE_SECTION_T	47	59	47	0	0	0	3	6	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
2	f10r	HERBAL	25	44	24	0	1	0	1	7	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
3	f11r	HERBAL	15	25	15	0	0	0	1	5	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
4	f13r	HERBAL	13	17	13	0	0	0	0	2	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
5	f17r	HERBAL	8	10	7	0	1	0	0	0	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
6	f18r	HERBAL	16	18	14	2	0	0	1	1	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
7	f24v	HERBAL	9	13	8	1	0	0	1	1	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
8	f55v	HERBAL	13	24	7	6	0	0	3	4	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
9	f56r	HERBAL	7	9	6	1	0	0	0	2	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
10	f67r2	CELESTIAL	36	53	36	0	0	0	4	4	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
11	f68r1	CELESTIAL	14	14	14	0	0	0	0	0	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
12	f71v	CELESTIAL	6	9	6	0	0	0	1	2	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
13	f72r	CELESTIAL	43	57	43	0	0	0	1	7	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
14	f75r	BIOLOGICAL	67	88	67	0	0	0	4	6	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
15	f76r	BIOLOGICAL	103	129	103	0	0	0	4	11	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
16	f77r	BIOLOGICAL	57	73	57	0	0	0	8	4	3	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
17	f81r	BIOLOGICAL	37	53	37	0	0	0	3	10	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
18	f81v	BIOLOGICAL	44	50	44	0	0	0	0	5	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
19	f82r	BIOLOGICAL	43	56	43	0	0	0	6	6	1	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
20	f83r	BIOLOGICAL	82	101	82	0	0	0	2	8	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
21	f88r	PHARMA	18	25	16	2	0	0	4	2	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
22	f88v	PHARMA	18	24	15	3	0	0	3	1	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
23	f89r	PHARMA	43	62	36	7	0	0	11	7	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
24	f95v	HERBAL	47	59	33	14	0	0	5	2	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
25	f4r	HERBAL	16	21	16	0	0	0	0	3	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
26	f20v	HERBAL	19	27	19	0	0	0	2	3	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
27	f31r	HERBAL	20	22	15	5	0	0	5	0	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
28	f66r	SOURCE_SECTION_T	50	59	50	0	0	0	0	4	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
29	f69v	CELESTIAL	16	21	16	0	0	0	1	4	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
30	f70v	CELESTIAL	21	21	21	0	0	0	0	0	0	PAGE_PROFILE_ONLY__NO_NEW_PAGE_OR_LOCAL_RULE
