cell_id	prefix	tail	surface	tail_candidate_role_not_translation	raw_occurrences	reader_exact_occurrences	reader_exact_page_count	reader_exact_pages	reader_exact_physical_folio_count	reader_exact_physical_folios	exact_first	exact_middle	exact_last	exact_single	candidate_semantic_credit	component_export_credit
G787-P01-01	BARE	ky	ky	HOT|BEGIN_STAGE|OPEN	29	12	12	f7v|f8r|f16v|f19r|f45v|f58v|f81v|f95r1|f105v|f106v|f107r|f107v	11	f7|f8|f16|f19|f45|f58|f81|f95|f105|f106|f107	0	11	1	0	0	0
G787-P01-02	BARE	key	key	HOT|MIDDLE_STAGE|OPEN	13	8	8	f38v|f47v|f58v|f75v|f80v|f88v|f103r|f112r	8	f38|f47|f58|f75|f80|f88|f103|f112	0	8	0	0	0	0
G787-P01-03	BARE	keey	keey	HOT|END_STAGE|OPEN	43	27	23	f5r|f7r|f21r|f27r|f31r|f33v|f38v|f47r|f56r|f58v|f80r|f99r|f100r|f102v2|f103v|f105r|f107v|f108r|f111r|f112r|f113v|f115r|f115v	22	f5|f7|f21|f27|f31|f33|f38|f47|f56|f58|f80|f99|f100|f102|f103|f105|f107|f108|f111|f112|f113|f115	0	27	0	0	0	0
G787-P01-04	BARE	kedy	kedy	HOT|MIDDLE_STAGE|CLOSE	42	16	12	f40v|f43v|f48r|f55r|f78r|f78v|f85r1|f94v|f108r|f112r|f112v|f116r	10	f40|f43|f48|f55|f78|f85|f94|f108|f112|f116	0	15	1	0	0	0
G787-P01-05	BARE	keedy	keedy	HOT|END_STAGE|CLOSE	59	22	16	f34v|f46r|f66v|f75r|f76r|f76v|f81v|f106v|f108r|f111r|f111v|f112r|f112v|f114r|f115r|f116r	13	f34|f46|f66|f75|f76|f81|f106|f108|f111|f112|f114|f115|f116	0	22	0	0	0	0
G787-P02-01	che	ky	cheky	HOT|BEGIN_STAGE|OPEN	55	50	39	f26r|f26v|f30r|f33r|f33v|f34r|f34v|f39r|f42r|f43r|f43v|f47v|f48v|f49v|f54v|f55r|f55v|f58r|f58v|f66r|f66v|f75r|f77v|f78r|f80r|f81v|f82v|f83r|f100r|f100v|f103v|f104v|f105r|f107v|f111r|f112v|f113v|f115r|f115v	30	f26|f30|f33|f34|f39|f42|f43|f47|f48|f49|f54|f55|f58|f66|f75|f77|f78|f80|f81|f82|f83|f100|f103|f104|f105|f107|f111|f112|f113|f115	0	45	5	0	0	0
G787-P02-02	che	key	chekey	HOT|MIDDLE_STAGE|OPEN	5	5	5	f31r|f33r|f34r|f66r|f113v	5	f31|f33|f34|f66|f113	0	5	0	0	0	0
G787-P02-03	che	keey	chekeey	HOT|END_STAGE|OPEN	3	3	3	f66r|f100r|f102v2	3	f66|f100|f102	0	3	0	0	0	0
G787-P02-04	che	kedy	chekedy	HOT|MIDDLE_STAGE|CLOSE	5	2	2	f26v|f41r	2	f26|f41	0	2	0	0	0	0
G787-P02-05	che	keedy	chekeedy	HOT|END_STAGE|CLOSE	4	3	3	f33r|f75r|f111r	3	f33|f75|f111	0	3	0	0	0	0
G787-P03-01	cho	ky	choky	HOT|BEGIN_STAGE|OPEN	32	30	26	f6r|f14v|f15v|f16r|f20r|f28r|f29r|f35r|f44r|f44v|f46r|f49v|f50v|f56r|f56v|f58r|f58v|f86v5|f88v|f89v1|f90r1|f99r|f102v1|f106r|f114v|f115v	23	f6|f14|f15|f16|f20|f28|f29|f35|f44|f46|f49|f50|f56|f58|f86|f88|f89|f90|f99|f102|f106|f114|f115	0	24	5	1	0	0
G787-P03-02	cho	key	chokey	HOT|MIDDLE_STAGE|OPEN	4	4	4	f42v|f58r|f58v|f96r	3	f42|f58|f96	1	2	1	0	0	0
G787-P03-03	cho	keey	chokeey	HOT|END_STAGE|OPEN	10	9	8	f42v|f56r|f58v|f66r|f107v|f112r|f112v|f114v	7	f42|f56|f58|f66|f107|f112|f114	2	7	0	0	0	0
G787-P03-04	cho	kedy	chokedy	HOT|MIDDLE_STAGE|CLOSE	4	2	2	f107v|f108r	2	f107|f108	0	2	0	0	0	0
G787-P03-05	cho	keedy	chokeedy	HOT|END_STAGE|CLOSE	2	2	2	f108r|f115v	2	f108|f115	0	1	1	0	0	0
G787-P04-01	l	ky	lky	HOT|BEGIN_STAGE|OPEN	19	16	11	f76v|f80r|f81v|f106r|f107r|f108v|f111v|f112r|f112v|f113v|f115v	10	f76|f80|f81|f106|f107|f108|f111|f112|f113|f115	0	12	4	0	0	0
G787-P04-02	l	key	lkey	HOT|MIDDLE_STAGE|OPEN	7	7	7	f76r|f86v5|f86v6|f106v|f107v|f111r|f111v	5	f76|f86|f106|f107|f111	0	5	2	0	0	0
G787-P04-03	l	keey	lkeey	HOT|END_STAGE|OPEN	38	34	19	f48v|f56v|f79v|f82r|f103r|f103v|f104v|f105r|f106r|f107r|f107v|f108r|f108v|f111r|f111v|f112r|f113v|f115v|f116r	15	f48|f56|f79|f82|f103|f104|f105|f106|f107|f108|f111|f112|f113|f115|f116	1	31	2	0	0	0
G787-P04-04	l	kedy	lkedy	HOT|MIDDLE_STAGE|CLOSE	26	15	10	f76r|f76v|f82r|f82v|f83r|f105r|f108r|f108v|f112v|f115r	7	f76|f82|f83|f105|f108|f112|f115	0	15	0	0	0	0
