surface	family_class	left_whole	page	physical_folio	locus	token_ordinal	token_index	surface_rank_in_current_line	line_token_count	line_position	norm_position	section	language	hand	paragraph_start_line	paragraph_end_line	true_paragraph_start	true_paragraph_end	left_surface	right_surface	left_reader_exact	right_reader_exact	reader_exact	zl3b_surface_count	it2a_surface_count	rf1b_surface_count	reader_exact_method	current_line	component_export_credit	occurrence_id
qokeedy	LEFT_WHOLE_PLUS_KEEDY	qo	f26r	f26	f26r.5	9	9	1	11	MIDDLE	0.800000000000	H	B	2	0	0	0	0	cthedy	qokedy	1	0	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	saiin shedy eedy eedy s chy daiin cthedy qokeedy qokedy cthey	0	G787-O001
qokeedy	LEFT_WHOLE_PLUS_KEEDY	qo	f26r	f26	f26r.8	3	3	1	10	MIDDLE	0.222222222222	H	B	2	0	0	0	0	shedy	qoteedar	0	0	1	2	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	daiin shedy qokeedy qoteedar s ok ol ytedy qokeedy qokedy	0	G787-O002
okeedy	LEFT_WHOLE_PLUS_KEEDY	o	f26r	f26	f26r.9	9	9	1	10	MIDDLE	0.888888888889	H	B	2	0	0	0	0	ykeechy	cheky	1	1	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	tcheoshy dchdy okedy chckhy s dy dy ykeechy okeedy cheky	0	G787-O003
ykeedy	LEFT_WHOLE_PLUS_KEEDY	y	f31r	f31	f31r.7	6	6	1	8	MIDDLE	0.714285714286	H	B	2	0	0	0	0	qokedy	chedy	1	1	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	ykeedar saiin checkhey sheol qokedy ykeedy chedy ldy	0	G787-O004
qokeedy	LEFT_WHOLE_PLUS_KEEDY	qo	f31r	f31	f31r.10	6	6	1	8	MIDDLE	0.714285714286	H	B	2	1	0	0	0	qokedy	dar	1	0	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	tol shso okedy okedy qokedy qokeedy dar shedshey	0	G787-O005
okeedy	LEFT_WHOLE_PLUS_KEEDY	o	f31r	f31	f31r.14	5	5	1	5	LAST	1.000000000000	H	B	2	0	0	0	0	daiin	EDGE	1	0	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	saiis or chedy daiin okeedy	0	G787-O006
chekeedy	LEFT_WHOLE_PLUS_KEEDY	che	f33r	f33	f33r.3	10	10	1	11	MIDDLE	0.900000000000	H	B	2	0	0	0	0	ody	ykam	1	0	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	laiin y cheky qokedy shedy chdal chechdaiin qokchy ody chekeedy ykam	0	G787-O007
keedy	BARE_KEEDY	NONE	f34v	f34	f34v.9	4	4	1	11	MIDDLE	0.300000000000	H	B	2	0	0	0	0	qokeey	kchdy	1	0	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	lsheody cphy qokeey keedy kchdy chedy qokedy chdy kal shs oldaiin	0	G787-O008
ykeedy	LEFT_WHOLE_PLUS_KEEDY	y	f39v	f39	f39v.11	6	6	1	9	MIDDLE	0.625000000000	H	B	2	0	0	0	0	chl	chckhy	1	1	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	sarol chedy shekam qokar chl ykeedy chckhy dalor dy	0	G787-O009
qokeedy	LEFT_WHOLE_PLUS_KEEDY	qo	f41r	f41	f41r.9	1	1	1	10	FIRST	0.000000000000	H	B	5	0	0	0	0	EDGE	okedy	0	1	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	qokeedy okedy chekedy chedy chckheody chekol daiin cheo al otedy	0	G787-O010
ykeedy	LEFT_WHOLE_PLUS_KEEDY	y	f43v	f43	f43v.4	2	2	1	10	MIDDLE	0.111111111111	H	B	2	0	0	0	0	dey	chees	0	1	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	dey ykeedy chees ain shy qocthedy chey qokar checkhy okam	0	G787-O011
okeedy	LEFT_WHOLE_PLUS_KEEDY	o	f46r	f46	f46r.5	1	1	1	10	FIRST	0.000000000000	H	B	2	0	1	0	0	EDGE	shekeey	0	0	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	okeedy shekeey ykey shedy chdy shky qotsheod ytedy ytey cheor	0	G787-O012
keedy	BARE_KEEDY	NONE	f46r	f46	f46r.6	4	4	1	12	MIDDLE	0.272727272727	H	B	2	1	0	0	0	shee	ypchedy	1	1	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	tedy dytedy shee keedy ypchedy chdalor sheedy odos aiin opchedy dykedy chdam	0	G787-O013
qokeedy	LEFT_WHOLE_PLUS_KEEDY	qo	f46v	f46	f46v.8	2	2	1	5	MIDDLE	0.250000000000	H	B	2	0	0	0	0	okeedchsy	chetedar	1	1	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	okeedchsy qokeedy chetedar or aiy	0	G787-O014
ykeedy	LEFT_WHOLE_PLUS_KEEDY	y	f48r	f48	f48r.4	4	4	1	12	MIDDLE	0.272727272727	H	B	5	0	0	0	0	otaiin	chet	1	1	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	tolkeol dain otaiin ykeedy chet ytedy tedy qokdy tshdy chetedy ctheety r	0	G787-O015
lkeedy	LEFT_WHOLE_PLUS_KEEDY	l	f55r	f55	f55r.9	7	7	1	11	MIDDLE	0.600000000000	H	B	2	0	0	0	0	qoko	dar	1	0	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	dain cheky dar chckhy dal qoko lkeedy dar kaiin dy kag	0	G787-O016
keedy	BARE_KEEDY	NONE	f66v	f66	f66v.8	5	5	1	8	MIDDLE	0.571428571429	H	B	5	0	1	0	0	qokol	cheky	1	1	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	dchekeedy cheody qokchdy qokol keedy cheky chety kody	0	G787-O017
chekeedy	LEFT_WHOLE_PLUS_KEEDY	che	f75r	f75	f75r.2	7	7	1	8	MIDDLE	0.857142857143	B	B	2	0	0	0	0	chedykar	ror	1	1	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	dain shey ly ssheol qoldy chedykar chekeedy ror	0	G787-O018
qokeedy	LEFT_WHOLE_PLUS_KEEDY	qo	f75r	f75	f75r.6	7	7	1	8	MIDDLE	0.857142857143	B	B	2	0	0	0	0	chcthy	qoky	1	1	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	pcheykeeor olky dar okey qokain chcthy qokeedy qoky	0	G787-O019
okeedy	LEFT_WHOLE_PLUS_KEEDY	o	f75r	f75	f75r.8	8	8	1	8	LAST	1.000000000000	B	B	2	0	0	0	0	lshedy	EDGE	0	0	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	sor chey qokardy dsheckhy qokain chckhy lshedy okeedy	0	G787-O020
qokeedy	LEFT_WHOLE_PLUS_KEEDY	qo	f75r	f75	f75r.11	1	1	1	10	FIRST	0.000000000000	B	B	2	0	0	0	0	EDGE	qokair	0	0	1	2	2	2	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	qokeedy qokair oly qokeedy dy qokal okar shedy dor chekam	0	G787-O021
