surface	family_class	left_whole	current_reader_exact_occurrences	current_reader_complete_surface_boundary_occurrences	stolfi_page_available_occurrences	stolfi_same_locus_occurrences	stolfi_fused_whole_occurrences	stolfi_bare_keedy_occurrences	stolfi_split_left_keedy_occurrences	stolfi_other_keedy_boundary_occurrences	stolfi_alternate_reading_occurrences	stolfi_no_same_locus_occurrences	stolfi_no_page_occurrences	stolfi_same_loci	stolfi_split_loci	boundary_evidence_scope	component_export_credit
alkeedy	LEFT_WHOLE_PLUS_KEEDY	al	2	2	0	0	0	0	0	0	0	0	2	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
chalkeedy	LEFT_WHOLE_PLUS_KEEDY	chal	1	1	0	0	0	0	0	0	0	0	1	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
chekeedy	LEFT_WHOLE_PLUS_KEEDY	che	3	3	2	1	1	0	0	0	0	1	1	f75r.2	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
cheolkeedy	LEFT_WHOLE_PLUS_KEEDY	cheol	1	1	0	0	0	0	0	0	0	0	1	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
chkeedy	LEFT_WHOLE_PLUS_KEEDY	ch	1	1	1	1	1	0	0	0	0	0	0	f83r.3	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
chokeedy	LEFT_WHOLE_PLUS_KEEDY	cho	2	2	0	0	0	0	0	0	0	0	2	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
cholkeedy	LEFT_WHOLE_PLUS_KEEDY	chol	1	1	0	0	0	0	0	0	0	0	1	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
dolkeedy	LEFT_WHOLE_PLUS_KEEDY	dol	1	1	0	0	0	0	0	0	0	0	1	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
dykeedy	LEFT_WHOLE_PLUS_KEEDY	dy	1	1	1	1	1	0	0	0	0	0	0	f79r.26	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
keedy	BARE_KEEDY	NONE	22	22	9	7	0	7	0	0	0	2	13	f34v.9|f46r.6|f75r.13|f75r.36|f75r.40|f76r.51|f81v.1	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
lkeedy	LEFT_WHOLE_PLUS_KEEDY	l	23	23	2	0	0	0	0	0	0	2	21	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
oekeedy	LEFT_WHOLE_PLUS_KEEDY	oe	1	1	1	0	0	0	0	0	0	1	0	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
okeedy	LEFT_WHOLE_PLUS_KEEDY	o	49	49	19	6	6	0	0	0	0	13	30	f75r.8|f75v.43|f75v.45|f76v.34|f78r.19|f79v.28	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
olkchokeedy	LEFT_WHOLE_PLUS_KEEDY	olkcho	1	1	0	0	0	0	0	0	0	0	1	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
olkeedy	LEFT_WHOLE_PLUS_KEEDY	ol	25	25	13	4	4	0	0	0	0	9	12	f75r.39|f83r.3|f85r1.5|f86v5.33	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
qoeekeedy	LEFT_WHOLE_PLUS_KEEDY	qoee	1	1	1	0	0	0	0	0	0	1	0	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
qokeedy	LEFT_WHOLE_PLUS_KEEDY	qo	201	201	115	38	38	0	0	0	0	77	86	f26r.5|f46v.8|f75r.11|f75r.25|f75r.28|f75r.29|f75r.39|f75r.6|f75v.47|f75v.59|f76r.39|f76r.6|f77r.36|f78r.10|f78r.24|f78r.28|f78r.4|f79v.39|f80r.11|f80v.1|f80v.37|f82r.13|f82r.16|f82r.17|f82r.2|f82r.24|f82r.26|f82r.27|f82r.29|f82r.30|f82r.5|f82v.5|f83r.30|f86v3.1	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
qolkeedy	LEFT_WHOLE_PLUS_KEEDY	qol	5	5	5	0	0	0	0	0	0	5	0	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
qoolkeedy	LEFT_WHOLE_PLUS_KEEDY	qool	1	1	0	0	0	0	0	0	0	0	1	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
rolkeedy	LEFT_WHOLE_PLUS_KEEDY	rol	1	1	1	0	0	0	0	0	0	1	0	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
salkeedy	LEFT_WHOLE_PLUS_KEEDY	sal	1	1	0	0	0	0	0	0	0	0	1	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
sheokeedy	LEFT_WHOLE_PLUS_KEEDY	sheo	1	1	0	0	0	0	0	0	0	0	1	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
sheolkeedy	LEFT_WHOLE_PLUS_KEEDY	sheol	1	1	0	0	0	0	0	0	0	0	1	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
sholkeedy	LEFT_WHOLE_PLUS_KEEDY	shol	1	1	0	0	0	0	0	0	0	0	1	NONE	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
sokeedy	LEFT_WHOLE_PLUS_KEEDY	so	1	1	1	1	1	0	0	0	0	0	0	f78r.25	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
solkeedy	LEFT_WHOLE_PLUS_KEEDY	sol	3	3	3	1	0	0	1	0	0	2	0	f78r.31	f78r.31	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
ykeedy	LEFT_WHOLE_PLUS_KEEDY	y	19	19	12	7	7	0	0	0	0	5	7	f31r.7|f39v.11|f43v.4|f75v.67|f78r.32|f81v.14|f85r2.19	NONE	LEGACY_TRANSCRIPTION_SENSITIVITY_NOT_INDEPENDENT_SEMANTICS	0
