occurrence_id	surface	left_whole	page	physical_folio	locus	stolfi_page_row_count	stolfi_same_locus_present	stolfi_whole_count	stolfi_split_left_keedy_count	stolfi_raw_split_separator	boundary_status	component_export_credit
G787-O001	qokeedy	qo	f26r	f26	f26r.5	5	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G787-O002	qokeedy	qo	f26r	f26	f26r.8	5	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G787-O003	okeedy	o	f26r	f26	f26r.9	5	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G787-O004	ykeedy	y	f31r	f31	f31r.7	5	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G787-O005	qokeedy	qo	f31r	f31	f31r.10	5	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G787-O006	okeedy	o	f31r	f31	f31r.14	5	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G787-O007	chekeedy	che	f33r	f33	f33r.3	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G787-O008	keedy	NONE	f34v	f34	f34v.9	11	1	1	0	NONE	BARE_KEEDY_AT_SAME_LOCUS	0
G787-O009	ykeedy	y	f39v	f39	f39v.11	14	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G787-O010	qokeedy	qo	f41r	f41	f41r.9	6	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G787-O011	ykeedy	y	f43v	f43	f43v.4	16	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G787-O012	okeedy	o	f46r	f46	f46r.5	10	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G787-O013	keedy	NONE	f46r	f46	f46r.6	10	1	1	0	NONE	BARE_KEEDY_AT_SAME_LOCUS	0
G787-O014	qokeedy	qo	f46v	f46	f46v.8	13	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
