page	physical_folio	locus	left_surface	right_surface	separated_pair	left_token_ordinal	right_token_ordinal	line_token_count	line_position_of_keedy	paragraph_start_line	paragraph_end_line	section	language	hand	left_reader_exact	keedy_reader_exact	both_tokens_reader_exact	zl3b_exact_pair_count	it2a_exact_pair_count	rf1b_exact_pair_count	all_three_readers_preserve_pair	current_line	component_export_credit	span_id
f34v	f34	f34v.9	qokeey	keedy	qokeey keedy	3	4	11	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	1	lsheody cphy qokeey keedy kchdy chedy qokedy chdy kal shs oldaiin	0	G787-S01
f46r	f46	f46r.6	shee	keedy	shee keedy	3	4	12	MIDDLE	1	0	H	B	2	1	1	1	1	1	1	1	tedy dytedy shee keedy ypchedy chdalor sheedy odos aiin opchedy dykedy chdam	0	G787-S02
f66v	f66	f66v.8	qokol	keedy	qokol keedy	4	5	8	MIDDLE	0	1	H	B	5	1	1	1	1	1	1	1	dchekeedy cheody qokchdy qokol keedy cheky chety kody	0	G787-S03
f75r	f75	f75r.13	pchedy	keedy	pchedy keedy	1	2	8	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	1	pchedy keedy qokedy qokedy qokedy qokedy qokain olshedy	0	G787-S04
f75r	f75	f75r.36	sol	keedy	sol keedy	1	2	7	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	1	sol keedy qokeedy qokey okar otar dardardy	0	G787-S05
f75r	f75	f75r.40	dal	keedy	dal keedy	5	6	7	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	1	dar shedy qokain shedy dal keedy rshedy	0	G787-S06
f76r	f76	f76r.51	shey	keedy	shey keedy	3	4	11	MIDDLE	1	0	T	B	2	1	1	1	1	1	1	1	qkor shedy shey keedy sal raiin opchdy dar chedy qopchedy rorol	0	G787-S07
f76v	f76	f76v.39	ol	keedy	ol keedy	7	8	11	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	1	sshey lshedy qokaiin shedy okedy san ol keedy sor qoky dedy	0	G787-S08
f81v	f81	f81v.1	shey	keedy	shey keedy	2	3	11	MIDDLE	1	0	B	B	2	1	1	1	1	1	1	1	par shey keedy shekal dal dar ol pchedy shek dain ofalsheky	0	G787-S09
f106v	f106	f106v.32	sheky	keedy	sheky keedy	3	4	11	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	1	polos shdair sheky keedy qoeedy qofchedy sair al pchedy ypodaiin saram	0	G787-S10
f108r	f108	f108r.21	shokal	keedy	shokal keedy	4	5	9	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	1	qolshy qoeedy lkealshedy shokal keedy qotedy qopchedy otal dkedam	0	G787-S11
f111r	f111	f111r.17	oteed	keedy	oteed keedy	10	11	12	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	1	otes lchey lshedy qoteedy olcheody qokeey chey kal chekeedy oteed keedy otam	0	G787-S12
f111v	f111	f111v.2	cheol	keedy	cheol keedy	2	3	11	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	1	sheekeey cheol keedy qokair shecthy qokeol okechedy qokedy qopchedy qokedam chy	0	G787-S13
f111v	f111	f111v.37	chey	keedy	chey keedy	8	9	12	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	1	polchey lkarshar ykain qokain shalky dy tor chey keedy lteedy r aldl	0	G787-S14
f112r	f112	f112r.40	qokal	keedy	qokal keedy	6	7	10	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	1	sain okal lkeedy okar okchedy qokal keedy chkey oty oral	0	G787-S15
f112v	f112	f112v.32	shee	keedy	shee keedy	2	3	11	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	1	tchedor shee keedy otedar checphey qopchedy qopcheey kar opcheeo r a	0	G787-S16
f114r	f114	f114r.29	oeedy	keedy	oeedy keedy	2	3	14	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	1	chol oeedy keedy cheey cheodeey keedeedy daiiin ald air ar shol chedy otchedy qoty	0	G787-S17
f115r	f115	f115r.10	qokchey	keedy	qokchey keedy	3	4	10	MIDDLE	1	0	S	B	@	1	1	1	1	1	1	1	tchedy kechedy qokchey keedy qokor chedaiin dair qotchedy qotcheedy qekor	0	G787-S18
f116r	f116	f116r.15	al	keedy	al keedy	10	11	12	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	1	pchoetal otedal otal oteedy olr daiin okeedy qoky dar al keedy shdy	0	G787-S19
f116r	f116	f116r.20	chol	keedy	chol keedy	1	2	15	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	1	chol keedy ol cheey raiin y chedy otar o kal okain olar otedy qoty sfm	0	G787-S20
