surface	family_class	left_whole	raw_occurrences	raw_page_count	raw_pages	raw_physical_folio_count	raw_physical_folios	raw_locus_count	reader_exact_surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_pages	reader_exact_physical_folio_count	reader_exact_physical_folios	reader_exact_locus_count	exact_first	exact_middle	exact_last	exact_single	exact_paragraph_start_lines	exact_paragraph_end_lines	exact_true_paragraph_starts	exact_true_paragraph_ends	exact_register_distribution	current_alternate_reader_split_candidates	current_alternate_reader_split_loci	current_alternate_reader_split_sources	component_export_credit
alkeedy	LEFT_WHOLE_PLUS_KEEDY	al	2	2	f108r|f113v	2	f108|f113	2	1	2	2	f108r|f113v	2	f108|f113	2	0	1	1	0	1	1	0	1	S|B|3:2	0	NONE	NONE	0
arolkeedy	LEFT_WHOLE_PLUS_KEEDY	arol	1	1	f80v	1	f80	1	0	0	0	NONE	0	NONE	0	0	0	0	0	0	0	0	0	NONE	1	f80v.32	it2a	0
chalkeedy	LEFT_WHOLE_PLUS_KEEDY	chal	1	1	f108r	1	f108	1	1	1	1	f108r	1	f108	1	0	0	1	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
chekeedy	LEFT_WHOLE_PLUS_KEEDY	che	4	4	f33r|f41r|f75r|f111r	4	f33|f41|f75|f111	4	1	3	3	f33r|f75r|f111r	3	f33|f75|f111	3	0	3	0	0	0	0	0	0	B|B|2:1|H|B|2:1|S|B|3:1	0	NONE	NONE	0
cheolkeedy	LEFT_WHOLE_PLUS_KEEDY	cheol	2	2	f85r1|f108v	2	f85|f108	2	1	1	1	f108v	1	f108	1	0	1	0	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
chkeedy	LEFT_WHOLE_PLUS_KEEDY	ch	1	1	f83r	1	f83	1	1	1	1	f83r	1	f83	1	0	1	0	0	0	0	0	0	B|B|2:1	0	NONE	NONE	0
chokeedy	LEFT_WHOLE_PLUS_KEEDY	cho	2	2	f108r|f115v	2	f108|f115	2	1	2	2	f108r|f115v	2	f108|f115	2	0	1	1	0	0	0	0	0	S|B|3:2	0	NONE	NONE	0
cholkeedy	LEFT_WHOLE_PLUS_KEEDY	chol	3	3	f108v|f113r|f115v	3	f108|f113|f115	3	1	1	1	f115v	1	f115	1	0	1	0	0	0	0	0	0	S|B|3:1	1	f108v.34	it2a	0
dchekeedy	LEFT_WHOLE_PLUS_KEEDY	dche	1	1	f66v	1	f66	1	0	0	0	NONE	0	NONE	0	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
dolkeedy	LEFT_WHOLE_PLUS_KEEDY	dol	1	1	f115r	1	f115	1	1	1	1	f115r	1	f115	1	0	1	0	0	0	0	0	0	S|B|@:1	0	NONE	NONE	0
dykeedy	LEFT_WHOLE_PLUS_KEEDY	dy	1	1	f79r	1	f79	1	1	1	1	f79r	1	f79	1	0	1	0	0	1	0	0	0	B|B|2:1	0	NONE	NONE	0
keedy	BARE_KEEDY	NONE	59	31	f33v|f34v|f41r|f46r|f55r|f66v|f75r|f75v|f76r|f76v|f77r|f78r|f78v|f80r|f80v|f81v|f103r|f104v|f106r|f106v|f107v|f108r|f108v|f111r|f111v|f112r|f112v|f113v|f114r|f115r|f116r	23	f33|f34|f41|f46|f55|f66|f75|f76|f77|f78|f80|f81|f103|f104|f106|f107|f108|f111|f112|f113|f114|f115|f116	59	1	22	16	f34v|f46r|f66v|f75r|f76r|f76v|f81v|f106v|f108r|f111r|f111v|f112r|f112v|f114r|f115r|f116r	13	f34|f46|f66|f75|f76|f81|f106|f108|f111|f112|f114|f115|f116	22	0	22	0	0	10	1	0	0	B|B|2:5|H|B|2:2|H|B|5:1|S|B|3:12|S|B|@:1|T|B|2:1	0	NONE	NONE	0
lkeedy	LEFT_WHOLE_PLUS_KEEDY	l	37	21	f48r|f55r|f66r|f76r|f78v|f82r|f103r|f103v|f104r|f104v|f106r|f107v|f108r|f108v|f111r|f112r|f112v|f113v|f114r|f115r|f115v	16	f48|f55|f66|f76|f78|f82|f103|f104|f106|f107|f108|f111|f112|f113|f114|f115	35	1	23	13	f55r|f76r|f103r|f104r|f104v|f106r|f108r|f108v|f111r|f112r|f112v|f113v|f115v	10	f55|f76|f103|f104|f106|f108|f111|f112|f113|f115	21	0	20	3	0	2	4	0	1	H|B|2:1|S|B|3:21|T|B|2:1	0	NONE	NONE	0
lokeedy	LEFT_WHOLE_PLUS_KEEDY	lo	2	2	f103r|f111r	2	f103|f111	2	0	0	0	NONE	0	NONE	0	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
oekeedy	LEFT_WHOLE_PLUS_KEEDY	oe	1	1	f76v	1	f76	1	1	1	1	f76v	1	f76	1	0	1	0	0	0	0	0	0	B|B|2:1	0	NONE	NONE	0
okeedy	LEFT_WHOLE_PLUS_KEEDY	o	94	46	f26r|f31r|f33v|f34v|f43r|f43v|f46r|f46v|f50v|f55v|f66v|f75r|f75v|f76r|f76v|f78r|f78v|f79v|f80v|f81r|f81v|f82v|f83r|f94r|f94v|f95r2|f99v|f103r|f103v|f104v|f105r|f105v|f106r|f106v|f107r|f108r|f108v|f111r|f111v|f112r|f112v|f113r|f113v|f114r|f114v|f116r	31	f26|f31|f33|f34|f43|f46|f50|f55|f66|f75|f76|f78|f79|f80|f81|f82|f83|f94|f95|f99|f103|f104|f105|f106|f107|f108|f111|f112|f113|f114|f116	90	1	49	29	f26r|f31r|f46r|f75r|f75v|f76r|f76v|f78r|f78v|f79v|f81r|f82v|f94v|f103r|f103v|f104v|f105r|f106r|f106v|f107r|f108r|f108v|f111v|f112r|f112v|f113r|f114r|f114v|f116r	21	f26|f31|f46|f75|f76|f78|f79|f81|f82|f94|f103|f104|f105|f106|f107|f108|f111|f112|f113|f114|f116	48	1	43	5	0	10	7	0	1	B|B|2:13|H|B|2:3|H|B|3:1|S|B|3:29|T|B|2:3	0	NONE	NONE	0
okokeedy	LEFT_WHOLE_PLUS_KEEDY	oko	1	1	f105v	1	f105	1	0	0	0	NONE	0	NONE	0	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
olkchokeedy	LEFT_WHOLE_PLUS_KEEDY	olkcho	1	1	f105r	1	f105	1	1	1	1	f105r	1	f105	1	1	0	0	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
olkeedy	LEFT_WHOLE_PLUS_KEEDY	ol	42	25	f50r|f75r|f79v|f80v|f81v|f82v|f83r|f83v|f85r1|f86v5|f86v6|f94r|f95r1|f104r|f105r|f105v|f106r|f106v|f107r|f107v|f108v|f112r|f112v|f113r|f114r	19	f50|f75|f79|f80|f81|f82|f83|f85|f86|f94|f95|f104|f105|f106|f107|f108|f112|f113|f114	42	1	25	19	f75r|f79v|f80v|f81v|f82v|f83r|f83v|f85r1|f86v5|f86v6|f95r1|f104r|f105r|f105v|f107v|f112r|f112v|f113r|f114r	15	f75|f79|f80|f81|f82|f83|f85|f86|f95|f104|f105|f107|f112|f113|f114	25	1	23	1	0	5	2	0	1	B|B|2:9|H|B|3:1|S|B|3:11|T|B|2:4	0	NONE	NONE	0
oykeedy	LEFT_WHOLE_PLUS_KEEDY	oy	1	1	f43v	1	f43	1	0	0	0	NONE	0	NONE	0	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
pcholkeedy	LEFT_WHOLE_PLUS_KEEDY	pchol	1	1	f112r	1	f112	1	0	0	0	NONE	0	NONE	0	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
polkeedy	LEFT_WHOLE_PLUS_KEEDY	pol	1	1	f112r	1	f112	1	0	0	0	NONE	0	NONE	0	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
qoeekeedy	LEFT_WHOLE_PLUS_KEEDY	qoee	1	1	f76v	1	f76	1	1	1	1	f76v	1	f76	1	0	1	0	0	0	0	0	0	B|B|2:1	0	NONE	NONE	0
