page	physical_folio	locus	left_surface	right_surface	separated_pair	left_token_ordinal	right_token_ordinal	line_token_count	line_position_of_keedy	paragraph_start_line	paragraph_end_line	section	language	hand	left_reader_exact	keedy_reader_exact	both_tokens_reader_exact	zl3b_exact_pair_count	it2a_exact_pair_count	rf1b_exact_pair_count	all_three_readers_preserve_pair	current_line	component_export_credit
f33v	f33	f33v.8	sheey	keedy	sheey keedy	3	4	14	MIDDLE	0	0	H	B	2	1	0	0	1	1	0	0	dar ar sheey keedy okchy okar okedy chy daiin dy dy dar aiin okary	0
f34v	f34	f34v.7	chey	keedy	chey keedy	3	4	13	MIDDLE	0	0	H	B	2	0	0	0	1	1	0	0	olchdaiin chedy chey keedy chy kedy dy qokedy okey s air chkain otain	0
f34v	f34	f34v.9	qokeey	keedy	qokeey keedy	3	4	11	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	1	lsheody cphy qokeey keedy kchdy chedy qokedy chdy kal shs oldaiin	0
f41r	f41	f41r.5	dchedy	keedy	dchedy keedy	5	6	8	MIDDLE	0	1	H	B	5	0	0	0	1	0	0	0	qotchy sal yteedy kchdy dchedy keedy dchedy dalain	0
f46r	f46	f46r.6	shee	keedy	shee keedy	3	4	12	MIDDLE	1	0	H	B	2	1	1	1	1	1	1	1	tedy dytedy shee keedy ypchedy chdalor sheedy odos aiin opchedy dykedy chdam	0
f55r	f55	f55r.11	chey	keedy	chey keedy	2	3	10	MIDDLE	0	0	H	B	2	1	0	0	1	1	0	0	lor chey keedy dy qokal okam dal shdy otal otaldiin	0
f66v	f66	f66v.8	qokol	keedy	qokol keedy	4	5	8	MIDDLE	0	1	H	B	5	1	1	1	1	1	1	1	dchekeedy cheody qokchdy qokol keedy cheky chety kody	0
f66v	f66	f66v.10	dshal	keedy	dshal keedy	1	2	10	MIDDLE	0	0	H	B	5	0	0	0	1	0	0	0	dshal keedy qok or okaiin dol kaldaiin otal dokal okag	0
f75r	f75	f75r.13	pchedy	keedy	pchedy keedy	1	2	8	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	1	pchedy keedy qokedy qokedy qokedy qokedy qokain olshedy	0
f75r	f75	f75r.36	sol	keedy	sol keedy	1	2	7	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	1	sol keedy qokeedy qokey okar otar dardardy	0
f75r	f75	f75r.40	dal	keedy	dal keedy	5	6	7	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	1	dar shedy qokain shedy dal keedy rshedy	0
f75r	f75	f75r.41	dy	keedy	dy keedy	5	6	7	MIDDLE	0	0	B	B	2	0	0	0	1	0	0	0	sokeedy qokeedy oteedy qoky dy keedy sy	0
f75v	f75	f75v.16	qolol	keedy	qolol keedy	7	8	9	MIDDLE	0	0	B	B	2	0	0	0	1	1	0	0	odchedy qolshdy shokshdy qokain or shedy qolol keedy qokalom	0
f76r	f76	f76r.51	shey	keedy	shey keedy	3	4	11	MIDDLE	1	0	T	B	2	1	1	1	1	1	1	1	qkor shedy shey keedy sal raiin opchdy dar chedy qopchedy rorol	0
f76v	f76	f76v.2	sshedy	keedy	sshedy keedy	1	2	11	MIDDLE	0	0	B	B	2	0	0	0	1	0	0	0	sshedy keedy cholkeeey otedor okor shedy chedy qokeedy oly shey qoyky	0
f76v	f76	f76v.28	l	keedy	l keedy	7	8	9	MIDDLE	0	0	B	B	2	0	0	0	1	0	0	0	saiin sheckhy cheolchey qokedy sair sheckhy l keedy lchedy	0
f76v	f76	f76v.39	ol	keedy	ol keedy	7	8	11	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	1	sshey lshedy qokaiin shedy okedy san ol keedy sor qoky dedy	0
f77r	f77	f77r.33	qol	keedy	qol keedy	3	4	9	MIDDLE	0	0	B	B	2	1	0	0	1	1	0	0	daiin chedy qol keedy qoteeedy sar oiiiin cheety dy	0
f78r	f78	f78r.9	schedy	keedy	schedy keedy	1	2	8	MIDDLE	0	0	B	B	2	0	0	0	1	1	0	0	schedy keedy qokedy chckhd qokain chedy qotedy dy	0
f78r	f78	f78r.33	ol	keedy	ol keedy	8	9	10	MIDDLE	0	0	B	B	2	1	0	0	1	1	0	0	ytedy daiin ykedy y olsheey qokeey okal ol keedy dyky	0
f78r	f78	f78r.39	l	keedy	l keedy	4	5	5	LAST	0	0	B	B	2	0	0	0	1	0	0	0	qotaiin qokaiin otedy l keedy	0
f78v	f78	f78v.4	ol	keedy	ol keedy	5	6	10	MIDDLE	0	0	B	B	2	1	0	0	1	1	0	0	ol chy lshdy lcheckhy ol keedy lcheckhey l olkedykain ol	0
f80r	f80	f80r.23	ol	keedy	ol keedy	10	11	14	MIDDLE	0	0	B	B	2	1	0	0	1	1	0	0	yshey l shey kaiin lor aiiin shcthy pchey ty ol keedy tar oky lar	0
f80v	f80	f80v.16	dy	keedy	dy keedy	6	7	11	MIDDLE	0	0	B	B	2	1	0	0	1	1	0	0	cheol key qotar dy qotal dy keedy qokain oty loldy tal	0
f81v	f81	f81v.1	shey	keedy	shey keedy	2	3	11	MIDDLE	1	0	B	B	2	1	1	1	1	1	1	1	par shey keedy shekal dal dar ol pchedy shek dain ofalsheky	0
f103r	f103	f103r.12	qokeol	keedy	qokeol keedy	5	6	9	MIDDLE	0	1	S	B	3	1	0	0	1	1	0	0	oain shey shckhy oteey qokeol keedy shar aiin otedy	0
f103r	f103	f103r.17	qokey	keedy	qokey keedy	3	4	10	MIDDLE	0	1	S	B	3	0	0	0	1	1	0	0	sar shey qokey keedy qokeey chckhy qokal oty or aiin	0
f103r	f103	f103r.52	qol	keedy	qol keedy	3	4	10	MIDDLE	1	0	S	B	3	0	0	0	1	1	0	0	pchedal oteey qol keedy qokeey qoty chepchy qopchey lkaiin otalsy	0
f104v	f104	f104v.41	l	keedy	l keedy	4	5	11	MIDDLE	1	0	S	B	3	0	0	0	1	0	0	0	tchedy qotechy otcheeo l keedy qoty raiin cheedy qotaiin otchdy qotain	0
f106r	f106	f106r.45	al	keedy	al keedy	9	10	11	MIDDLE	0	0	S	B	3	0	0	0	1	0	0	0	y sheedal okain okain otar kaiin chdalkair olkai al keedy okal	0
f106v	f106	f106v.32	sheky	keedy	sheky keedy	3	4	11	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	1	polos shdair sheky keedy qoeedy qofchedy sair al pchedy ypodaiin saram	0
f106v	f106	f106v.42	chy	keedy	chy keedy	10	11	12	MIDDLE	1	0	S	B	3	1	0	0	1	1	0	0	py chal shedy qoteedy cheyky okedaiin otedy odaiin chdy chy keedy lkey	0
f107v	f107	f107v.37	rol	keedy	rol keedy	8	9	11	MIDDLE	1	0	S	B	3	0	0	0	1	1	0	0	poraiin o kal chedy qolkeey lpcheedy qokol rol keedy okaiin otary	0
f108r	f108	f108r.21	shokal	keedy	shokal keedy	4	5	9	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	1	qolshy qoeedy lkealshedy shokal keedy qotedy qopchedy otal dkedam	0
f108v	f108	f108v.4	al	keedy	al keedy	7	8	8	LAST	0	1	S	B	3	1	0	0	1	1	0	0	dchedy shedy qokeed qoteedy qoteedy arain al keedy	0
f108v	f108	f108v.5	o	keedy	o keedy	7	8	11	MIDDLE	1	0	S	B	3	0	0	0	1	0	1	0	polaiin okedain okal otchedy qokeedy raraiin o keedy qokar qokal dam	0
f108v	f108	f108v.9	l	keedy	l keedy	8	9	12	MIDDLE	0	0	S	B	3	0	0	0	1	0	0	0	qokeeo dar chedam chlal okaldain sheed lchedy l keedy ched kel cthdy	0
f108v	f108	f108v.18	l	keedy	l keedy	2	3	15	MIDDLE	0	0	S	B	3	0	0	0	1	0	0	0	okeey l keedy okeal okey cheykedy qoeedy lo rair cheey ol l s aiin am	0
f108v	f108	f108v.36	alal	keedy	alal keedy	10	11	12	MIDDLE	0	0	S	B	3	0	0	0	1	0	0	0	daiin shechy qokedy qokain chor chal chal chedy dain alal keedy otalys	0
f108v	f108	f108v.48	al	keedy	al keedy	11	12	12	LAST	0	0	S	B	3	0	0	0	1	0	0	0	dair al checthy qol eeedy chckhey olchey sheey qokeeey qokeedar al keedy	0
f111r	f111	f111r.6	chdy	keedy	chdy keedy	10	11	13	MIDDLE	1	0	S	B	3	0	1	0	1	1	0	0	dain shedy qoky chedy qok shed olchedy qokeedy teedy chdy keedy qotchedy dary	0
f111r	f111	f111r.16	shtar	keedy	shtar keedy	10	11	11	LAST	0	0	S	B	3	1	0	0	1	1	0	0	dchedshey qokeedy okeodain shet sheota oteal tey lkeey sheedy shtar keedy	0
f111r	f111	f111r.17	oteed	keedy	oteed keedy	10	11	12	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	1	otes lchey lshedy qoteedy olcheody qokeey chey kal chekeedy oteed keedy otam	0
f111r	f111	f111r.22	l	keedy	l keedy	2	3	16	MIDDLE	0	0	S	B	3	0	0	0	1	0	0	0	ssheo l keedy dal tched checkhey okey qo ain qo chedy qokeor okeey keo cthedy qokey	0
f111r	f111	f111r.37	l	keedy	l keedy	8	9	15	MIDDLE	0	0	S	B	3	0	0	0	1	0	0	0	dain chol l cheeol keeol lkeeedy qokeey l keedy l kedy okeal kain chckhy ltedy	0
f111v	f111	f111v.2	cheol	keedy	cheol keedy	2	3	11	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	1	sheekeey cheol keedy qokair shecthy qokeol okechedy qokedy qopchedy qokedam chy	0
f111v	f111	f111v.26	kal	keedy	kal keedy	6	7	11	MIDDLE	1	0	S	B	3	1	0	0	1	1	0	0	polar ar okshey qokain chey kal keedy qopchedy qopchey ltchs alpchdar	0
f111v	f111	f111v.37	chey	keedy	chey keedy	8	9	12	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	1	polchey lkarshar ykain qokain shalky dy tor chey keedy lteedy r aldl	0
f112r	f112	f112r.21	sol	keedy	sol keedy	1	2	10	MIDDLE	0	0	S	B	3	0	0	0	1	0	0	0	sol keedy raiin chcthey okeedy qoteedy qeey rair al sy	0
f112r	f112	f112r.40	qokal	keedy	qokal keedy	6	7	10	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	1	sain okal lkeedy okar okchedy qokal keedy chkey oty oral	0
f112v	f112	f112v.17	chy	keedy	chy keedy	4	5	9	MIDDLE	0	0	S	B	3	0	0	0	1	0	0	0	daiin chear chedy chy keedy chdaiin cheedy qokain otaldal	0
f112v	f112	f112v.21	chol	keedy	chol keedy	5	6	10	MIDDLE	0	0	S	B	3	1	0	0	1	1	0	0	saiin chekain cheol qoeedy chol keedy qokaiin shedy qokeol kain	0
f112v	f112	f112v.32	shee	keedy	shee keedy	2	3	11	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	1	tchedor shee keedy otedar checphey qopchedy qopcheey kar opcheeo r a	0
f113v	f113	f113v.49	ltal	keedy	ltal keedy	9	10	10	LAST	0	1	S	B	3	1	0	0	1	1	0	0	yshey teeo oteedy qokeey otaiin olaiin cheokain lkeey ltal keedy	0
f114r	f114	f114r.29	oeedy	keedy	oeedy keedy	2	3	14	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	1	chol oeedy keedy cheey cheodeey keedeedy daiiin ald air ar shol chedy otchedy qoty	0
f115r	f115	f115r.10	qokchey	keedy	qokchey keedy	3	4	10	MIDDLE	1	0	S	B	@	1	1	1	1	1	1	1	tchedy kechedy qokchey keedy qokor chedaiin dair qotchedy qotcheedy qekor	0
f116r	f116	f116r.15	al	keedy	al keedy	10	11	12	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	1	pchoetal otedal otal oteedy olr daiin okeedy qoky dar al keedy shdy	0
f116r	f116	f116r.20	chol	keedy	chol keedy	1	2	15	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	1	chol keedy ol cheey raiin y chedy otar o kal okain olar otedy qoty sfm	0
f116r	f116	f116r.29	l	keedy	l keedy	11	12	14	MIDDLE	0	0	S	B	3	0	1	0	1	1	1	1	cthan cheey lkeeal lshey chl l lkain chear aiin chl l keedy raraiin ory	0
