edge_id	batch_id	page	physical_folio	locus	left_surface	separated_pair	fused_surface_if_observed	working_keedy_default_de	semantic_score_eligible	confirmed_plaintext	component_export_credit
G787-E001	GDT787_SEPARATED_X_KEEDY_SPANS	f34v	f34	f34v.9	qokeey	qokeey keedy	NONE	heißer Endzustand	0	0	0
G787-E002	GDT787_SEPARATED_X_KEEDY_SPANS	f46r	f46	f46r.6	shee	shee keedy	NONE	heißer Endzustand	0	0	0
G787-E003	GDT787_SEPARATED_X_KEEDY_SPANS	f66v	f66	f66v.8	qokol	qokol keedy	NONE	heißer Endzustand	0	0	0
G787-E004	GDT787_SEPARATED_X_KEEDY_SPANS	f75r	f75	f75r.13	pchedy	pchedy keedy	NONE	heißer Endzustand	0	0	0
G787-E005	GDT787_SEPARATED_X_KEEDY_SPANS	f75r	f75	f75r.36	sol	sol keedy	solkeedy	heißer Endzustand	0	0	0
G787-E006	GDT787_SEPARATED_X_KEEDY_SPANS	f75r	f75	f75r.40	dal	dal keedy	NONE	heißer Endzustand	0	0	0
G787-E007	GDT787_SEPARATED_X_KEEDY_SPANS	f76r	f76	f76r.51	shey	shey keedy	NONE	heißer Endzustand	0	0	0
G787-E008	GDT787_SEPARATED_X_KEEDY_SPANS	f76v	f76	f76v.39	ol	ol keedy	olkeedy	heißer Endzustand	0	0	0
G787-E009	GDT787_SEPARATED_X_KEEDY_SPANS	f81v	f81	f81v.1	shey	shey keedy	NONE	heißer Endzustand	0	0	0
G787-E010	GDT787_SEPARATED_X_KEEDY_SPANS	f106v	f106	f106v.32	sheky	sheky keedy	NONE	heißer Endzustand	0	0	0
G787-E011	GDT787_SEPARATED_X_KEEDY_SPANS	f108r	f108	f108r.21	shokal	shokal keedy	NONE	heißer Endzustand	0	0	0
G787-E012	GDT787_SEPARATED_X_KEEDY_SPANS	f111r	f111	f111r.17	oteed	oteed keedy	NONE	heißer Endzustand	0	0	0
G787-E013	GDT787_SEPARATED_X_KEEDY_SPANS	f111v	f111	f111v.2	cheol	cheol keedy	cheolkeedy	heißer Endzustand	0	0	0
G787-E014	GDT787_SEPARATED_X_KEEDY_SPANS	f111v	f111	f111v.37	chey	chey keedy	NONE	heißer Endzustand	0	0	0
G787-E015	GDT787_SEPARATED_X_KEEDY_SPANS	f112r	f112	f112r.40	qokal	qokal keedy	NONE	heißer Endzustand	0	0	0
G787-E016	GDT787_SEPARATED_X_KEEDY_SPANS	f112v	f112	f112v.32	shee	shee keedy	NONE	heißer Endzustand	0	0	0
G787-E017	GDT787_SEPARATED_X_KEEDY_SPANS	f114r	f114	f114r.29	oeedy	oeedy keedy	NONE	heißer Endzustand	0	0	0
G787-E018	GDT787_SEPARATED_X_KEEDY_SPANS	f115r	f115	f115r.10	qokchey	qokchey keedy	NONE	heißer Endzustand	0	0	0
G787-E019	GDT787_SEPARATED_X_KEEDY_SPANS	f116r	f116	f116r.15	al	al keedy	alkeedy	heißer Endzustand	0	0	0
G787-E020	GDT787_SEPARATED_X_KEEDY_SPANS	f116r	f116	f116r.20	chol	chol keedy	cholkeedy	heißer Endzustand	0	0	0
