surface	preferred_working_default_de	rival_1_de	rival_2_de	rival_2_mechanism_de	display_hypothesis_not_exportable	confidence_0_100_not_probability	confidence_label	confidence_basis	display_scope	lineage_decision	positive_evidence_de	counterevidence_de	raw_occurrences	raw_page_count	raw_physical_folio_count	reader_exact_surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_physical_folio_count	reader_exact_display_card	raw_reader_warning	gdt787_new_renderer_license	inherited_renderer_scope_unchanged	replaceable	portable_keedy_component_used	prior_gdt734_reading_id	prior_gdt734_default_de	prior_gdt734_score_not_probability	prior_gdt734_renderer_decision	gdt786_default_de	default_is_translation	confirmed_lexeme	confirmed_plaintext	specific_substance_confirmed	component_export_credit
alkeedy	Material I, heiß bis Endstufe	Material I, vollständig ausgekocht	Drogenportion I, lagerfertig	formgebundene Kompositionshypothese; kein Komponentenexport	MATERIAL|HOT|END_STAGE	44	C0_FORM_SPECIFIC_COMPOSITE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	FORM_SPECIFIC_COMPOSITE_LEAD	2/2 reader-exakt; exakte getrennte Brücke al keedy; al ist als vollständige Material-I-Karte belegt.	Nur zwei Ganzwortvorkommen; die Brücke beweist weder freie Bestandteile noch dieselbe Bedeutung in beiden Schreibungen.	2	2	2	1	2	2	2	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
arolkeedy	erhitzter Materialanteil, Endstufe	eingedickter Ansatzanteil	abgemessene Fertigdosis	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	MATERIAL|HOT|END_STAGE	18	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; ein anderer Leser trennt arol keedy und macht eine formgebundene Wärme-/Endstufenlesung prüfbar.	Kein reader-exaktes Ganzwortvorkommen; Stoff- und Anteilsrolle bleiben unbestätigt; keine Renderer-Lizenz.	1	1	1	0	0	0	0	0	1	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
chalkeedy	heiße Trockendroge, Endstufe	geröstete Pflanzendroge	eingedickter Extraktrückstand	gelernte Ganzwortkarte mit Schwesteranalogie	DRY|MATERIAL|HOT|END_STAGE	36	C0_EXPLORATORY_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_WITH_SISTER_LEAD	1/1 reader-exakt; chal ist eine vollständige Trockenmaterialkarte und chalkeey ist als formale Schwester vorhanden.	Singleton; keine exakte getrennte chal keedy-Brücke; Trägeridentität bleibt offen.	1	1	1	1	1	1	1	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
chekeedy	erhitzte Trockenzubereitung	ausgekochte Pflanzendroge	getrocknete Fertigarznei	gelernte Ganzwortkarte mit Schwesteranalogie	DRY|PREPARATION|HOT|END_STAGE	40	C0_EXPLORATORY_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_WITH_SISTER_LEAD	4 rohe und 3 reader-exakte Vorkommen; chekeey bildet eine gleich häufige formale Schwester; die Stellen liegen überwiegend spät in der Zeile.	Keine aktive Ganzwortkarte nach der späteren Bereinigung und keine getrennte che keedy-Brücke.	4	4	4	1	3	3	3	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
cheolkeedy	trockenes Material, heiß bis Endstufe	geröstetes Pflanzenmaterial	eingedickter Zubereitungsrückstand	formgebundene Kompositionshypothese; kein Komponentenexport	DRY|MATERIAL|HOT|END_STAGE	45	C0_FORM_SPECIFIC_COMPOSITE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	FORM_SPECIFIC_COMPOSITE_LEAD	2 rohe und 1 reader-exaktes Vorkommen; exakte getrennte Brücke cheol keedy; cheol ist eine vollständige Trockenmaterialkarte.	Singleton im reader-exakten Ganzwortbestand; kein freier cheol- oder keedy-Export.	2	2	2	1	1	1	1	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
chkeedy	heiß-trockener Endzustand	geröstete Droge	getrockneter Extrakt, gebrauchsfertig	gekürzte Ganzwortkarte statt Handlungszerlegung	DRY|HOT|END_STAGE	38	C0_SHORTENED_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	SHORTEN_OLD_SEQUENTIAL_ACTION	1/1 reader-exakt; chkeey ist die formale Schwester; der alte GDT665-Kern verbindet Trockenheit mit Wärme und Endstufe.	Die alte Handlungsfolge war aus Formteilen komponiert; Singleton und keine exakte ch keedy-Brücke.	1	1	1	1	1	1	1	1	0	0	1	1	0	chkeedy#GLOBAL	trocknen, dann vollständig erhitzen und abschließen	46	INHERITED_UNCHANGED	NONE	0	0	0	0	0
chokeedy	heiß-trockener Endansatz	eingekochter Trockenextrakt	geröstete Arzneimischung	übernommene Ganzwortkarte ohne CLOSED-Komponente	DRY|PREPARATION|HOT|END_STAGE	50	C0_PLUS_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_SHORTENED_REMOVE_CLOSE	2/2 reader-exakt auf zwei Seiten; chokeey ist eine starke vollständige Schwester und der alte Ganzwortkern trägt DRY|PREPARATION|HOT|END_STAGE.	Keine getrennte cho keedy-Brücke; CLOSED hatte keine spätere unabhängige Stütze.	2	2	2	1	2	2	2	1	0	0	1	1	0	chokeedy#GLOBAL	heiß-trockener Ansatz am Gradende, abgeschlossen	53	INHERITED_UNCHANGED	NONE	0	0	0	0	0
cholkeedy	getrocknetes Gut, heiß bis Endstufe	geröstete Trockendroge	verdampfter Extraktrückstand	formgebundene Kompositionshypothese; kein Komponentenexport	DRY|MATERIAL|HOT|END_STAGE	52	C0_FORM_SPECIFIC_COMPOSITE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	FORM_SPECIFIC_COMPOSITE_LEAD	3 rohe und 1 reader-exaktes Vorkommen; exakte chol keedy-Brücke, zusätzliche Lesertrennung und cholkeey-Schwester; chol ist eine starke vollständige Trockenkarte.	Nur ein reader-exaktes fusioniertes Ziel; die Grenzen lizenzieren keinen freien Bestandteil und erhöhen die Bedeutung nicht auf C1.	3	3	3	1	1	1	1	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
dchekeedy	erhitzte Trockenzubereitung, Endstufe	getrocknete Fertigarznei	Zubereitung der höchsten Gütestufe	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	DRY|PREPARATION|HOT|END_STAGE	18	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; chekeedy und d-nahe Qualitätsformen geben einen konkreten formgebundenen Rivalen vor.	Kein reader-exaktes Ganzwortvorkommen; sichtbares d erhält keine eigene Abschlussbedeutung; keine Renderer-Lizenz.	1	1	1	0	0	0	0	0	1	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
dolkeedy	erhitzte Materialdosis, Endstufe	abgemessene Abkochungsdosis	getrocknete Arzneiportion	formgebundene Kompositionshypothese; kein Komponentenexport	AMOUNT|MATERIAL|HOT|END_STAGE	32	C0_EXPLORATORY_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	FORM_SPECIFIC_COMPOSITE_LEAD	1/1 reader-exakt; dol ist als vollständige Materialmaß-Karte überliefert; der ausdrücklich nicht exportierbare C0-Familienprior liefert nur den Wärme-/Endstufenrivalen.	Singleton; keine dol keedy-Brücke und keine unabhängig identifizierte Maßeinheit.	1	1	1	1	1	1	1	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
