surface	source_pool	active_after_q152	q152_exact_excluded	balanced_four_cell_head	preexisting_semantic_sentinel	registered_prior_role	literal_credit	observed_source_pool	observed_source_role	source_pool_evidence_channel	source_role_evidence_channel	source_role_is_observed_identity	source_provenance	ed1_minimum_to_q152	ed1_safe_from_q152	head_status	component_export_credit
chckhedy	GDT760_AMOUNT_CONTENT	1	0	0	0	DRY|PREPARATION|CLOSE|MIDDLE_STAGE|END_STAGE	0	GDT760_AMOUNT_CONTENT	DRY|PREPARATION|CLOSE|MIDDLE_STAGE|END_STAGE	OBSERVED_SOURCE_MEMBERSHIP	INHERITED_SEMANTIC_PRIOR	0	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv	2	1	ACTIVE_EXACT_HEAD	0
chckhey	GDT760_AMOUNT_CONTENT	1	0	1	0	DRY|PREPARATION|MIDDLE_STAGE	0	GDT760_AMOUNT_CONTENT	DRY|PREPARATION|MIDDLE_STAGE	OBSERVED_SOURCE_MEMBERSHIP	INHERITED_SEMANTIC_PRIOR	0	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv	3	1	ACTIVE_EXACT_HEAD	0
cheal	GDT760_AMOUNT_CONTENT	1	0	1	0	DRY|MATERIAL|MIDDLE_STAGE	0	GDT760_AMOUNT_CONTENT	DRY|MATERIAL|MIDDLE_STAGE	OBSERVED_SOURCE_MEMBERSHIP	INHERITED_SEMANTIC_PRIOR	0	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv	1	0	ACTIVE_EXACT_HEAD	0
cheeol	GDT760_AMOUNT_CONTENT	1	0	0	0	DRY|MATERIAL|END_STAGE	0	GDT760_AMOUNT_CONTENT	DRY|MATERIAL|END_STAGE	OBSERVED_SOURCE_MEMBERSHIP	INHERITED_SEMANTIC_PRIOR	0	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv	1	0	ACTIVE_EXACT_HEAD	0
cheo	GDT760_AMOUNT_CONTENT	1	0	1	0	DRY|PREPARATION	0	GDT760_AMOUNT_CONTENT	DRY|PREPARATION	OBSERVED_SOURCE_MEMBERSHIP	INHERITED_SEMANTIC_PRIOR	0	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv	1	0	ACTIVE_EXACT_HEAD	0
cheor	GDT760_AMOUNT_CONTENT	1	0	0	0	DRY|PART|MATERIAL	0	GDT760_AMOUNT_CONTENT	DRY|PART|MATERIAL	OBSERVED_SOURCE_MEMBERSHIP	INHERITED_SEMANTIC_PRIOR	0	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv	1	0	ACTIVE_EXACT_HEAD	0
cheos	GDT760_AMOUNT_CONTENT	1	0	0	0	DRY|AMOUNT|PREPARATION	0	GDT760_AMOUNT_CONTENT	DRY|AMOUNT|PREPARATION	OBSERVED_SOURCE_MEMBERSHIP	INHERITED_SEMANTIC_PRIOR	0	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv	1	0	ACTIVE_EXACT_HEAD	0
cheoty	GDT760_AMOUNT_CONTENT	1	0	0	0	COLD|DRY|PREPARATION|BEGIN_STAGE	0	GDT760_AMOUNT_CONTENT	COLD|DRY|PREPARATION|BEGIN_STAGE	OBSERVED_SOURCE_MEMBERSHIP	INHERITED_SEMANTIC_PRIOR	0	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv	1	0	ACTIVE_EXACT_HEAD	0
chofol	GDT764_X_DAIIN	1	0	0	0	OPEN_FIELD	0	GDT764_X_DAIIN	OPEN_FIELD	OBSERVED_SOURCE_MEMBERSHIP	INHERITED_SEMANTIC_PRIOR	0	experiments/yolo/gdt764_bounded_value_field_dispatch/artifacts/X_DAIIN_9_EXACT_BIGRAM_ATLAS.tsv	1	0	ACTIVE_EXACT_HEAD	0
chokal	GDT760_AMOUNT_CONTENT	1	0	0	0	HOT|DRY|MATERIAL|PREPARATION|BEGIN_STAGE	0	GDT760_AMOUNT_CONTENT	HOT|DRY|MATERIAL|PREPARATION|BEGIN_STAGE	OBSERVED_SOURCE_MEMBERSHIP	INHERITED_SEMANTIC_PRIOR	0	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv	1	0	ACTIVE_EXACT_HEAD	0
