primary_window_id	link_id	event_id	head	axis	expanded_label	direction_label	pivot_surface	carrier	page	physical_folio	locus	pivot_token_index	signed_offsets	head_occurrence_edges	distinct_heads_in_window	primary_unique_head_window	weighted_sensitivity_weight	semantic_credit	component_export_credit
G809-U0001	G809-L0001	G808-E0009	sho	L	0	BASE	shol	sh	f2v	f2v	f2v.2	4	-1	1	1	1	1	0	0
G809-U0002	G809-L0002	G808-E0015	cthy	L	0	BASE	chol	ch	f3r	f3r	f3r.3	3	2	1	1	1	1	0	0
G809-U0003	G809-L0003	G808-E0035	sho	L	0	BASE	cthol	cth	f4v	f4v	f4v.8	3	1	1	1	1	1	0	0
G809-U0004	G809-L0004	G808-E0036	sheo	L	0	BASE	chol	ch	f4v	f4v	f4v.10	4	-2	1	1	1	1	0	0
G809-U0005	G809-L0005	G808-E0038	sho	L	1	EXPANDED	okeol	ok	f4v	f4v	f4v.12	3	-1	1	1	1	1	0	0
G809-U0006	G809-L0006	G808-E0045	dal	L	0	BASE	chol	ch	f5v	f5v	f5v.5	7	-1	1	1	1	1	0	0
G809-U0007	G809-L0007	G808-E0067	cthy	L	0	BASE	cthol	cth	f7v	f7v	f7v.2	7	1	1	1	1	1	0	0
G809-U0008	G809-L0008	G808-E0068	sho	L	0	BASE	shol	sh	f7v	f7v	f7v.4	7	-2	1	1	1	1	0	0
G809-U0009	G809-L0009	G808-E0071	sho	L	0	BASE	shol	sh	f8r	f8r	f8r.14	3	2	1	1	1	1	0	0
G809-U0010	G809-L0010	G808-E0083	sho	L	0	BASE	kchol	kch	f8v	f8v	f8v.7	2	-1	1	1	1	1	0	0
G809-U0011	G809-L0011	G808-E0092	cthy	L	0	BASE	shol	sh	f9r	f9r	f9r.5	6	-2	1	1	1	1	0	0
G809-U0012	G809-L0012	G808-E0105	cthy	L	0	BASE	chol	ch	f10r	f10r	f10r.5	3	1	1	1	1	1	0	0
G809-U0013	G809-L0013	G808-E0110	qoty	L	0	BASE	qokol	qok	f10v	f10v	f10v.6	6	-2	1	1	1	1	0	0
G809-U0014	G809-L0016	G808-E0118	qoty	L	0	BASE	shol	sh	f11v	f11v	f11v.1	5	-1	1	1	1	1	0	0
G809-U0015	G809-L0017	G808-E0137	cthy	L	0	BASE	chol	ch	f15r	f15r	f15r.3	5	1	1	1	1	1	0	0
G809-U0016	G809-L0018	G808-E0140	choky	L	0	BASE	shol	sh	f15v	f15v	f15v.4	3	-1	1	1	1	1	0	0
G809-U0017	G809-L0021	G808-E0144	ody	L	0	BASE	kol	k	f16r	f16r	f16r.2	3	2	1	1	1	1	0	0
G809-U0018	G809-L0022	G808-E0155	olaiin	L	0	BASE	qokol	qok	f17r	f17r	f17r.4	3	2	1	1	1	1	0	0
G809-U0019	G809-L0023	G808-E0158	odaiin	L	0	BASE	okol	ok	f17v	f17v	f17v.2	4	1	1	1	1	1	0	0
G809-U0020	G809-L0024	G808-E0173	cheo	L	1	EXPANDED	oteol	ot	f17v	f17v	f17v.15	6	-2	1	1	1	1	0	0
G809-U0021	G809-L0027	G808-E0203	cheo	DY	1	EXPANDED	cheody	ch	f20r	f20r	f20r.8	4	-2	1	1	1	1	0	0
G809-U0022	G809-L0028	G808-E0208	cthy	DY	1	EXPANDED	keody	k	f20v	f20v	f20v.9	2	2	1	1	1	1	0	0
G809-U0023	G809-L0031	G808-E0233	cthy	L	0	BASE	qokol	qok	f22v	f22v	f22v.8	3	-1	1	1	1	1	0	0
G809-U0024	G809-L0032	G808-E0244	sho	L	0	BASE	shol	sh	f23v	f23v	f23v.7	4	-1	1	1	1	1	0	0
G809-U0025	G809-L0033	G808-E0245	sho	L	0	BASE	qokol	qok	f23v	f23v	f23v.7	5	-2	1	1	1	1	0	0
G809-U0026	G809-L0034	G808-E0251	cheor	L	0	BASE	cthol	cth	f24r	f24r	f24r.7	6	-1	1	1	1	1	0	0
G809-U0027	G809-L0035	G808-E0256	odaiin	L	0	BASE	okol	ok	f24v	f24v	f24v.4	3	2	1	1	1	1	0	0
G809-U0028	G809-L0036	G808-E0269	sheo	DY	0	BASE	qokedy	qok	f26r	f26r	f26r.7	2	2	1	1	1	1	0	0
G809-U0029	G809-L0037	G808-E0275	odar	DY	0	BASE	chedy	ch	f26v	f26v	f26v.3	9	-1	1	1	1	1	0	0
G809-U0030	G809-L0038	G808-E0276	odar	DY	0	BASE	ytedy	yt	f26v	f26v	f26v.3	10	-2	1	1	1	1	0	0
G809-U0031	G809-L0039	G808-E0291	choky	L	0	BASE	cthol	cth	f28r	f28r	f28r.4	5	2	1	1	1	1	0	0
G809-U0032	G809-L0040	G808-E0305	cheor	L	1	EXPANDED	kcheol	kch	f29r	f29r	f29r.5	1	1	1	1	1	1	0	0
G809-U0033	G809-L0041	G808-E0333	sho	L	1	EXPANDED	keol	k	f32v	f32v	f32v.10	2	-1	1	1	1	1	0	0
G809-U0034	G809-L0042	G808-E0344	dal	DY	0	BASE	qokedy	qok	f34r	f34r	f34r.7	1	1	1	1	1	1	0	0
G809-U0035	G809-L0043	G808-E0358	sho	L	0	BASE	shol	sh	f35v	f35v	f35v.7	3	1	1	1	1	1	0	0
G809-U0036	G809-L0044	G808-E0359	sho	L	0	BASE	kol	k	f35v	f35v	f35v.7	5	-1	1	1	1	1	0	0
G809-U0037	G809-L0045	G808-E0368	ytchor	L	0	BASE	cthol	cth	f36r	f36r	f36r.8	2	-1	1	1	1	1	0	0
G809-U0038	G809-L0046	G808-E0385	qoty	L	0	BASE	chol	ch	f38v	f38v	f38v.5	3	-2	1	1	1	1	0	0
G809-U0039	G809-L0047	G808-E0392	qoty	L	0	BASE	chol	ch	f39v	f39v	f39v.2	4	1	1	1	1	1	0	0
G809-U0040	G809-L0048	G808-E0426	sho	L	0	BASE	okol	ok	f42r	f42r	f42r.20	4	1	1	1	1	1	0	0
G809-U0041	G809-L0049	G808-E0433	cheal	L	0	BASE	kchol	kch	f42v	f42v	f42v.11	4	1	1	1	1	1	0	0
G809-U0042	G809-L0050	G808-E0435	chokey	L	0	BASE	chol	ch	f42v	f42v	f42v.15	2	-1	1	1	1	1	0	0
G809-U0043	G809-L0051	G808-E0439	ody	DY	0	BASE	qotedy	qot	f43r	f43r	f43r.10	4	-1	1	1	1	1	0	0
G809-U0044	G809-L0052	G808-E0448	sheo	DY	1	EXPANDED	cheody	ch	f43v	f43v	f43v.11	5	2	1	1	1	1	0	0
G809-U0045	G809-L0053	G808-E0465	cthy	L	0	BASE	otol	ot	f44v	f44v	f44v.3	4	2	1	1	1	1	0	0
G809-U0046	G809-L0054	G808-E0466	cthy	L	0	BASE	shol	sh	f44v	f44v	f44v.5	2	1	1	1	1	1	0	0
G809-U0047	G809-L0055	G808-E0471	odaiin	L	0	BASE	shol	sh	f44v	f44v	f44v.8	4	-1	1	1	1	1	0	0
G809-U0048	G809-L0056	G808-E0476	cthy	L	0	BASE	tchol	tch	f45r	f45r	f45r.8	1	1	1	1	1	1	0	0
G809-U0049	G809-L0057	G808-E0478	dal	L	1	EXPANDED	cheol	ch	f45r	f45r	f45r.10	8	1	1	1	1	1	0	0
G809-U0050	G809-L0058	G808-E0481	cthy	L	0	BASE	chol	ch	f45v	f45v	f45v.9	3	-1	1	1	1	1	0	0
G809-U0051	G809-L0059	G808-E0488	cthy	DY	0	BASE	otedy	ot	f46r	f46r	f46r.7	10	-1	1	1	1	1	0	0
G809-U0052	G809-L0060	G808-E0489	cthy	DY	0	BASE	chedy	ch	f46r	f46r	f46r.7	11	-2	1	1	1	1	0	0
G809-U0053	G809-L0061	G808-E0515	sho	L	0	BASE	kol	k	f47v	f47v	f47v.4	3	1	1	1	1	1	0	0
G809-U0054	G809-L0062	G808-E0545	sheor	L	1	EXPANDED	cheol	ch	f49r	f49r	f49r.18	2	-1	1	1	1	1	0	0
G809-U0055	G809-L0063	G808-E0550	choky	L	0	BASE	cthol	cth	f49v	f49v	f49v.22	2	2	1	1	1	1	0	0
G809-U0056	G809-L0066	G808-E0578	cheor	L	0	BASE	qokol	qok	f51r	f51r	f51r.15	1	1	1	1	1	1	0	0
G809-U0057	G809-L0067	G808-E0605	cthy	L	0	BASE	shol	sh	f53v	f53v	f53v.2	5	1	1	1	1	1	0	0
G809-U0058	G809-L0068	G808-E0610	chckhey	DY	1	EXPANDED	ctheody	cth	f53v	f53v	f53v.5	5	-2	1	1	1	1	0	0
G809-U0059	G809-L0071	G808-E0629	cthy	L	0	BASE	chol	ch	f56r	f56r	f56r.15	3	1	1	1	1	1	0	0
G809-U0060	G809-L0072	G808-E0636	sho	L	0	BASE	shol	sh	f56v	f56v	f56v.13	5	-1	1	1	1	1	0	0
G809-U0061	G809-L0075	G808-E0640	cheal	DY	1	EXPANDED	cheody	ch	f58r	f58r	f58r.13	6	-1	1	1	1	1	0	0
G809-U0062	G809-L0076	G808-E0643	dal	L	0	BASE	chol	ch	f58r	f58r	f58r.22	3	1	1	1	1	1	0	0
G809-U0063	G809-L0077	G808-E0658	cheal	L	0	BASE	kol	k	f58v	f58v	f58v.32	9	-2	1	1	1	1	0	0
G809-U0064	G809-L0080	G808-E0678	sheor	DY	1	EXPANDED	oteody	ot	f66r	f66r	f66r.75	3	-1	1	1	1	1	0	0
G809-U0065	G809-L0081	G808-E0682	oteey	L	1	EXPANDED	sheol	sh	f66r	f66r	f66r.79	1	1	1	1	1	1	0	0
G809-U0066	G809-L0084	G808-E0688	sheo	DY	1	EXPANDED	keody	k	f66v	f66v	f66v.6	7	-1	1	1	1	1	0	0
G809-U0067	G809-L0085	G808-E0707	qoty	DY	0	BASE	shedy	sh	f75r	f75r	f75r.27	5	-2	1	1	1	1	0	0
G809-U0068	G809-L0086	G808-E0729	dal	L	0	BASE	tol	t	f75v	f75v	f75v.46	9	-1	1	1	1	1	0	0
G809-U0069	G809-L0087	G808-E0736	chckhey	DY	0	BASE	shedy	sh	f75v	f75v	f75v.68	3	2	1	1	1	1	0	0
G809-U0070	G809-L0088	G808-E0737	chckhey	L	0	BASE	otol	ot	f75v	f75v	f75v.68	4	1	1	1	1	1	0	0
G809-U0071	G809-L0089	G808-E0742	qoty	DY	0	BASE	otedy	ot	f76r	f76r	f76r.3	8	2	1	1	1	1	0	0
G809-U0072	G809-L0090	G808-E0743	qoty	L	0	BASE	shol	sh	f76r	f76r	f76r.3	9	1	1	1	1	1	0	0
G809-U0073	G809-L0091	G808-E0776	olaiin	L	0	BASE	shol	sh	f76r	f76r	f76r.49	4	-2	1	1	1	1	0	0
G809-U0074	G809-L0092	G808-E0781	dal	DY	0	BASE	chedy	ch	f76r	f76r	f76r.54	3	-2	1	1	1	1	0	0
G809-U0075	G809-L0093	G808-E0789	qopchdy	DY	0	BASE	shedy	sh	f76v	f76v	f76v.10	5	-2	1	1	1	1	0	0
G809-U0076	G809-L0094	G808-E0818	chckhedy	L	0	BASE	otol	ot	f76v	f76v	f76v.32	9	-1	1	1	1	1	0	0
G809-U0077	G809-L0095	G808-E0844	dal	DY	0	BASE	chedy	ch	f77r	f77r	f77r.25	7	-1	1	1	1	1	0	0
G809-U0078	G809-L0096	G808-E0864	dal	DY	0	BASE	chedy	ch	f77v	f77v	f77v.11	6	1	1	1	1	1	0	0
G809-U0079	G809-L0097	G808-E0875	sheor	DY	0	BASE	shedy	sh	f77v	f77v	f77v.26	2	2	1	1	1	1	0	0
G809-U0080	G809-L0098	G808-E0878	dal	L	1	EXPANDED	pcheol	pch	f77v	f77v	f77v.29	6	-2	1	1	1	1	0	0
G809-U0081	G809-L0099	G808-E0910	chckhedy	DY	0	BASE	tedy	t	f78r	f78r	f78r.12	7	1	1	1	1	1	0	0
G809-U0082	G809-L0100	G808-E0914	dal	DY	0	BASE	qokedy	qok	f78r	f78r	f78r.15	3	2	1	1	1	1	0	0
G809-U0083	G809-L0101	G808-E0920	olkain	DY	0	BASE	chedy	ch	f78r	f78r	f78r.30	6	-2	1	1	1	1	0	0
G809-U0084	G809-L0102	G808-E0927	dal	DY	0	BASE	otedy	ot	f78v	f78v	f78v.2	5	2	1	1	1	1	0	0
G809-U0085	G809-L0103	G808-E0946	dal	DY	0	BASE	chedy	ch	f78v	f78v	f78v.14	6	2	1	1	1	1	0	0
G809-U0086	G809-L0104	G808-E0947	chckhey	DY	0	BASE	tedy	t	f78v	f78v	f78v.15	7	-1	1	1	1	1	0	0
G809-U0087	G809-L0105	G808-E0952	dal	DY	0	BASE	qokedy	qok	f78v	f78v	f78v.18	3	1	1	1	1	1	0	0
G809-U0088	G809-L0106	G808-E0961	cheor	L	1	EXPANDED	sheol	sh	f78v	f78v	f78v.32	3	-1	1	1	1	1	0	0
G809-U0089	G809-L0107	G808-E0965	cheor	L	0	BASE	okol	ok	f79r	f79r	f79r.10	4	-1	1	1	1	1	0	0
G809-U0090	G809-L0108	G808-E0973	oteey	DY	0	BASE	shedy	sh	f79r	f79r	f79r.25	6	1	1	1	1	1	0	0
G809-U0091	G809-L0109	G808-E1027	olkain	DY	0	BASE	qotedy	qot	f80v	f80v	f80v.2	2	1	1	1	1	1	0	0
G809-U0092	G809-L0110	G808-E1040	olkain	L	0	BASE	qokol	qok	f80v	f80v	f80v.12	6	1	1	1	1	1	0	0
G809-U0093	G809-L0111	G808-E1048	dal	DY	0	BASE	shedy	sh	f80v	f80v	f80v.22	7	-2	1	1	1	1	0	0
G809-U0094	G809-L0112	G808-E1050	qoty	L	0	BASE	qotol	qot	f80v	f80v	f80v.24	5	-1	1	1	1	1	0	0
G809-U0095	G809-L0113	G808-E1074	odaiin	DY	0	BASE	chedy	ch	f81r	f81r	f81r.20	3	2	1	1	1	1	0	0
G809-U0096	G809-L0114	G808-E1117	dal	DY	0	BASE	chedy	ch	f82r	f82r	f82r.21	8	2	1	1	1	1	0	0
G809-U0097	G809-L0115	G808-E1120	qoty	DY	0	BASE	qotedy	qot	f82r	f82r	f82r.29	8	1|2	2	1	1	1	0	0
